,reward
0,478.0
1,-555.0
2,-579.0
3,-579.0
4,-579.0
5,-578.0
6,-579.0
7,-579.0
8,-579.0
9,-579.0
10,-579.0
11,-579.0
12,-579.0
13,-579.0
14,-579.0
15,-579.0
16,-579.0
17,-579.0
18,-579.0
19,-642.0
20,-584.0
21,-579.0
22,-579.0
23,-579.0
24,-579.0
25,473.0
26,-551.0
27,-579.0
28,-579.0
29,-579.0
30,-579.0
31,-579.0
32,-579.0
33,-608.0
34,-713.0
35,-687.0
36,420.0
37,-634.0
38,-573.0
39,-583.0
40,-593.0
41,-612.0
42,-593.0
43,-620.0
44,-573.0
45,-575.0
46,-591.0
47,-568.0
48,-587.0
49,-567.0
50,-584.0
51,-572.0
52,-576.0
53,-599.0
54,-583.0
55,-567.0
56,-572.0
57,-592.0
58,-625.0
59,-569.0
60,-568.0
61,-570.0
62,-581.0
63,-568.0
64,381.0
65,-587.0
66,-628.0
67,-617.0
68,-629.0
69,-566.0
70,-578.0
71,-600.0
72,-673.0
73,-627.0
74,455.0
75,-597.0
76,461.0
77,-586.0
78,-572.0
79,-571.0
80,-631.0
81,-573.0
82,-591.0
83,467.0
84,-599.0
85,415.0
86,-563.0
87,470.0
88,-590.0
89,468.0
90,-671.0
91,-580.0
92,-571.0
93,447.0
94,441.0
95,423.0
96,-564.0
97,477.0
98,-553.0
99,-650.0
100,-571.0
101,470.0
102,-550.0
103,440.0
104,447.0
105,447.0
106,-581.0
107,464.0
108,-604.0
109,464.0
110,-599.0
111,-572.0
112,-585.0
113,483.0
114,-595.0
115,454.0
116,-571.0
117,460.0
118,-582.0
119,460.0
120,-566.0
121,469.0
122,-577.0
123,472.0
124,409.0
125,-565.0
126,471.0
127,-610.0
128,-581.0
129,-573.0
130,-569.0
131,454.0
132,-576.0
133,-582.0
134,457.0
135,-564.0
136,-565.0
137,463.0
138,-576.0
139,-577.0
140,-576.0
141,-575.0
142,-569.0
143,-584.0
144,-567.0
145,465.0
146,-579.0
147,-575.0
148,463.0
149,417.0
150,-594.0
151,-570.0
152,469.0
153,464.0
154,466.0
155,-588.0
156,-573.0
157,-581.0
158,-568.0
159,474.0
160,-565.0
161,-569.0
162,454.0
163,434.0
164,-580.0
165,-578.0
166,-573.0
167,-576.0
168,-579.0
169,482.0
170,-550.0
171,458.0
172,431.0
173,-570.0
174,-569.0
175,-565.0
176,463.0
177,460.0
178,-569.0
179,464.0
180,-584.0
181,-592.0
182,464.0
183,-603.0
184,-577.0
185,-569.0
186,470.0
187,-550.0
188,469.0
189,-579.0
190,451.0
191,-592.0
192,452.0
193,439.0
194,-617.0
195,-572.0
196,469.0
197,428.0
198,430.0
199,-570.0
200,-566.0
201,471.0
202,456.0
203,-567.0
204,458.0
205,-580.0
206,464.0
207,-614.0
208,422.0
209,-563.0
210,-572.0
211,476.0
212,-550.0
213,463.0
214,468.0
215,-593.0
216,-570.0
217,464.0
218,-577.0
219,-575.0
220,-576.0
221,-575.0
222,460.0
223,-568.0
224,-567.0
225,-578.0
226,458.0
227,-563.0
228,-574.0
229,-571.0
230,470.0
231,-608.0
232,-566.0
233,-579.0
234,-572.0
235,481.0
236,-557.0
237,435.0
238,427.0
239,-578.0
240,-585.0
241,487.0
242,-554.0
243,470.0
244,429.0
245,-620.0
246,456.0
247,470.0
248,-557.0
249,463.0
250,455.0
251,460.0
252,463.0
253,-570.0
254,448.0
255,-560.0
256,-578.0
257,472.0
258,-550.0
259,-569.0
260,-584.0
261,-572.0
262,474.0
263,-550.0
264,480.0
265,-550.0
266,473.0
267,-583.0
268,455.0
269,-565.0
270,463.0
271,-567.0
272,465.0
273,431.0
274,-590.0
275,467.0
276,-570.0
277,461.0
278,-633.0
279,-577.0
280,-576.0
281,-575.0
282,443.0
283,447.0
284,-584.0
285,-583.0
286,455.0
287,-626.0
288,475.0
289,-555.0
290,-583.0
291,464.0
292,471.0
293,-578.0
294,472.0
295,-563.0
296,455.0
297,-608.0
298,461.0
299,-560.0
300,-574.0
301,-571.0
302,483.0
303,453.0
304,-567.0
305,469.0
306,-579.0
307,461.0
308,-570.0
309,468.0
310,-623.0
311,454.0
312,-577.0
313,455.0
314,-561.0
315,-572.0
316,453.0
317,448.0
318,458.0
319,-601.0
320,484.0
321,437.0
322,436.0
323,-552.0
324,465.0
325,-617.0
