,reward
0,582.0
1,-590.0
2,-772.0
3,-526.0
4,-470.00000000000006
5,-790.0
6,-628.0
7,-548.0
8,-1526.0
9,-790.0
10,-782.0
11,-772.0
12,-458.0
13,-790.0
14,580.0
15,-598.0
16,-482.00000000000006
17,-484.0
18,-1542.0
19,-1996.0
20,-1490.0
21,-812.0000000000001
22,-884.0000000000002
23,-588.0000000000005
24,-602.0000000000005
25,-856.0000000000001
26,22.0
27,-636.0000000000005
28,-1008.0000000000002
29,-808.0000000000002
30,-500.00000000000057
31,-630.0000000000005
32,-598.0000000000002
33,-660.0000000000005
34,-592.0000000000005
35,-1032.0000000000005
36,-648.0000000000005
37,-1102.0000000000002
38,-672.0000000000001
39,-700.0000000000005
40,-570.0000000000005
41,-822.0
42,-728.0000000000001
43,-532.0000000000005
44,-556.0000000000003
45,-602.0000000000002
46,-628.0
47,-938.0000000000002
48,-556.0000000000002
49,-654.0000000000002
50,-716.0000000000001
51,-584.0000000000006
52,-652.0000000000005
53,-626.0000000000005
54,-654.0000000000005
55,-616.0000000000005
56,-688.0
57,-490.0000000000002
58,-646.0000000000005
59,-788.0
60,-1272.0000000000005
61,-522.0000000000002
62,-688.0000000000005
63,-1144.0000000000005
64,-844.0000000000001
65,-944.0000000000005
66,-520.0000000000002
67,-624.0000000000005
68,-598.0000000000001
69,-610.0000000000007
70,-502.00000000000034
71,-722.0
72,-678.0000000000003
73,-754.0000000000001
74,-890.0000000000002
75,-632.0000000000005
76,-766.0000000000002
77,-642.0000000000005
78,-684.0000000000005
79,-516.0000000000005
80,-580.0000000000007
81,-1030.0000000000002
82,-930.0000000000005
83,-542.0000000000007
84,-584.0000000000001
85,-750.0000000000001
86,-626.0000000000005
87,-680.0000000000002
88,-850.0000000000001
89,-742.0000000000002
90,-562.0000000000002
91,-576.0000000000005
92,-638.0000000000002
93,-888.0000000000002
94,-1172.0000000000002
95,-618.0000000000005
96,-896.0000000000002
97,-698.0000000000005
98,-534.0000000000002
99,-968.0000000000002
100,-548.0
101,-684.0000000000001
102,-584.0000000000007
103,-600.0000000000001
104,-552.0000000000007
105,-946.0000000000001
106,-798.0000000000001
107,-682.0000000000005
108,-1256.0000000000002
109,-516.0000000000007
110,-614.0000000000007
111,-678.0000000000005
112,-700.0
113,-1170.0000000000007
114,-514.0000000000006
115,416.0
116,-572.0
117,-632.0000000000001
118,-608.0000000000002
119,-634.0000000000001
120,-762.0
121,-608.0000000000002
122,-650.0000000000002
123,-980.0000000000002
124,-876.0000000000002
125,-858.0000000000003
126,-628.0000000000003
127,-1184.0000000000002
128,-666.0000000000005
129,-746.0000000000001
130,-724.0000000000005
131,-626.0
132,-1066.0000000000002
133,-740.0
134,-716.0000000000005
135,-582.0000000000002
136,-924.0
137,-1240.0000000000005
138,-648.0000000000003
139,-660.0000000000005
140,-536.0
141,-1218.0000000000002
142,-666.0000000000005
143,-1026.0000000000005
144,-1162.0000000000002
145,-1070.0
146,-618.0000000000006
147,-600.0000000000002
148,-606.0000000000002
149,-918.0000000000002
150,-654.0000000000002
151,-628.0000000000005
152,-564.0000000000002
153,-980.0000000000005
154,-644.0000000000005
155,-1328.0000000000005
156,-676.0000000000003
157,-1050.0000000000005
158,-798.0000000000001
159,-676.0000000000002
160,-584.0000000000006
161,-618.0000000000005
162,-636.0000000000003
163,-452.0000000000005
164,-592.0000000000005
165,-632.0000000000002
166,-1128.0000000000005
167,-1086.0000000000002
168,-586.0000000000005
169,-566.0000000000005
170,-816.0000000000003
171,-656.0000000000005
172,-664.0000000000002
173,-570.0000000000005
174,-656.0000000000002
175,-528.0
176,-732.0000000000001
177,-522.0000000000003
178,-1038.0000000000005
179,-640.0000000000005
180,-574.0000000000005
181,-914.0000000000002
182,-1060.0000000000005
183,-596.0000000000001
184,-668.0000000000005
185,-668.0000000000002
186,-576.0000000000005
187,422.0
188,-1010.0000000000006
189,-614.0000000000006
190,-632.0000000000005
191,-1082.0000000000002
192,-592.0000000000005
193,-590.0000000000005
194,-686.0000000000005
195,-672.0000000000005
196,-612.0000000000005
197,-452.00000000000074
198,-632.0000000000005
199,-566.0000000000003
200,-592.0000000000002
201,-1148.0000000000005
202,-568.0000000000007
203,-770.0000000000002
204,-650.0000000000007
205,-570.0000000000002
206,-848.0000000000001
207,-990.0000000000002
208,-968.0000000000001
209,-858.0000000000002
210,-1172.0000000000005
211,-1170.0000000000005
212,-1164.0000000000005
213,87.99999999999972
214,-572.0
215,-654.0
216,-522.0000000000003
217,-924.0000000000003
218,-548.0000000000005
219,-954.0000000000005
220,-1152.0000000000005
221,-904.0000000000002
222,-1088.0000000000005
223,-940.0000000000002
224,-1032.0000000000005
225,-650.0000000000005
226,-632.0000000000005
227,-726.0
228,-640.0000000000007
229,-604.0000000000006
230,-570.0000000000007
231,-550.0000000000005
232,-1046.0000000000002
233,-750.0
234,-910.0000000000002
235,-616.0000000000003
236,-698.0000000000002
237,-1264.0000000000005
238,-638.0
239,-718.0000000000001
240,437.99999999999994
241,-506.00000000000074
242,-938.0000000000006
243,-602.0000000000005
244,-1172.0
245,-640.0000000000002
246,-1246.0000000000002
247,-606.0000000000003
248,-806.0
249,-1074.0000000000005
250,-990.0000000000002
251,-972.0000000000002
252,-620.0000000000002
253,-836.0000000000002
254,-592.0000000000006
255,-616.0000000000002
256,-568.0000000000005
257,-582.0000000000001
258,-548.0000000000003
259,-582.0000000000002
260,-644.0000000000001
261,-648.0000000000003
262,-688.0000000000002
263,-632.0000000000005
264,-1164.0000000000002
265,-792.0000000000001
266,-558.0000000000005
267,-1018.0000000000002
268,-590.0000000000002
269,-1160.0000000000005
270,-550.0000000000001
271,-592.0000000000005
272,-552.0000000000001
273,-538.0000000000005
274,-1106.0000000000005
275,-576.0000000000001
276,-780.0000000000002
277,-534.0000000000006
278,-1076.0000000000005
279,-642.0000000000005
280,-574.0000000000005
281,-872.0000000000002
282,-646.0000000000002
283,-658.0000000000002
284,-928.0000000000005
285,-952.0000000000003
286,-626.0000000000005
287,-570.0000000000005
288,-648.0000000000005
289,-532.0000000000005
290,-674.0000000000002
291,-494.0000000000005
292,-646.0000000000007
293,-692.0000000000001
294,-1012.0000000000003
295,-1078.0000000000005
296,-1098.0000000000005
297,-596.0000000000005
298,-690.0
299,-866.0000000000002
300,-802.0000000000001
301,-558.0000000000005
302,-662.0000000000002
303,-714.0000000000002
304,-524.0000000000007
305,-566.0000000000001
306,-690.0000000000003
307,-606.0000000000002
308,-880.0
309,-710.0000000000005
310,-546.0000000000007
311,-624.0000000000007
312,-526.0000000000002
313,-632.0000000000002
314,-752.0000000000005
315,-690.0000000000005
316,-760.0
317,-720.0000000000005
318,-1256.0000000000005
319,-650.0000000000002
320,-908.0
321,-700.0000000000005
322,-996.0000000000001
323,-740.0
324,-584.0000000000005
325,-676.0000000000002
326,-700.0000000000005
327,-1150.0000000000005
328,-626.0000000000002
329,-722.0000000000001
330,-1150.0000000000005
331,-524.0000000000006
332,-740.0000000000002
