,loss
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,-22248.99017214613
46,-33418.83465494792
47,-42163.76286489521
48,-47109.94692095588
49,-54613.397486979164
50,-63012.95190042163
51,-72092.16505208334
52,-82595.93802083333
53,-93578.52190104166
54,-100982.83938953489
55,-108703.88184895834
56,-121109.38171875
57,-130695.94434862013
58,-140011.6777068662
59,-152562.77780100334
60,-165026.9106427936
61,-176664.91089684016
62,-188148.72608646954
63,-200723.24442708332
64,-213693.2146875
65,-226964.22484375
66,-239892.0253125
67,-253064.43817708333
68,-266366.52265625
69,-277816.55633223685
70,-289414.8536458333
71,-302745.02416666667
72,-316187.39437071915
73,-329169.59270833334
74,-337205.3459051724
75,-345397.46802083333
76,-358374.6123958333
77,-371755.6425
78,-385260.41208333336
79,-398498.37145833333
80,-411552.5210416667
81,-424630.39166666666
82,-437473.78458333336
83,-449739.4272859922
84,-461717.7721875
85,-474702.5832291667
86,-482051.66569767444
87,-488758.8571735395
88,-500924.81591796875
89,-513006.7598958333
90,-524902.0081986692
91,-536664.234375
92,-549461.7579166667
93,-561970.4877083333
94,-571625.5661337209
95,-576136.6215277778
96,-582979.4375
97,-591747.572172619
98,-601512.3454166667
99,-611157.3918269231
100,-620335.073125
101,-632496.1104166667
102,-645279.52375
103,-657382.48625
104,-669417.6655172413
105,-680143.9730342742
106,-688949.3534149484
107,-696866.9875710227
108,-706209.3658333333
109,-718171.0154166666
110,-730508.3245833333
111,-742313.9089583333
112,-751172.2418269231
113,-759415.0845833333
114,-768641.7397798742
115,-777412.9004166666
116,-785679.5176282051
117,-793479.754375
118,-806415.2997916667
119,-823972.1414583334
120,-837070.7153253425
121,-851573.630625
122,-864598.1320564516
123,-877061.35
124,-889939.1739583333
125,-901093.3974489796
126,-912004.6464583334
127,-924067.2554166666
128,-935928.5147916666
129,-943923.5758928572
130,-950596.7471330275
131,-960730.1960416667
132,-972561.8760416667
133,-984171.529375
134,-993091.1598101265
135,-1001887.3670833333
136,-1013350.4685416666
137,-1025219.6554166666
138,-1036712.4697916667
139,-1044141.2023026316
140,-1050937.1202083332
141,-1062379.1308333334
142,-1072085.1435643565
143,-1081610.2129166666
144,-1092815.0845833332
145,-1104333.6091666666
146,-1115704.9191666667
147,-1126924.7375
148,-1138267.5541666667
149,-1148433.3355263157
150,-1158588.115
151,-1165946.4210526317
152,-1173220.4679166668
153,-1184505.395
154,-1195576.2179166668
155,-1206595.6008333333
156,-1216145.4761627908
157,-1225377.9708333334
158,-1236692.24125
159,-1247450.7783333333
160,-1258481.7641666667
161,-1269308.5245833334
162,-1280001.3329166668
163,-1290973.04375
164,-1299558.420138889
165,-1308323.9066666667
166,-1319164.7358333333
167,-1329529.2791666666
168,-1340304.7975
169,-1350730.67
170,-1361320.0533333332
171,-1369853.3877005347
172,-1376561.6301775149
173,-1384687.9804166667
174,-1395043.08625
175,-1405239.1541666666
176,-1415926.4270833333
177,-1425909.1547833935
178,-1435259.1294642857
179,-1445199.3616666666
180,-1455613.3904166666
181,-1466027.66625
182,-1473571.874
183,-1477510.8327205882
184,-1482737.123397436
185,-1486321.458984375
186,-1492470.3670833334
187,-1502586.4316666666
188,-1512554.9466666668
189,-1521575.6176108373
190,-1530037.81
191,-1539912.1166666667
192,-1550191.8120833333
193,-1558578.2408376962
194,-1566637.95375
195,-1576824.2891666666
196,-1587497.6158333332
197,-1597733.5308333333
198,-1607616.4645833333
199,-1617577.4233333333
200,-1627429.905
201,-1636623.1118913859
202,-1645931.9854166666
203,-1655863.7666666666
204,-1665602.7483333333
205,-1675204.3679166667
206,-1684782.85875
207,-1694452.5495833333
208,-1704182.3908333334
209,-1713784.57875
210,-1722374.818367347
211,-1728533.05625
212,-1735400.1275
213,-1745382.5141666667
214,-1755135.4579166668
215,-1763252.5005813953
216,-1770402.46563745
217,-1778957.61875
218,-1788427.7875
219,-1797094.9877929688
220,-1805556.1645833333
221,-1814301.1845238095
222,-1822909.4820833334
223,-1832218.7054166666
224,-1841509.2308333332
225,-1850115.887037037
226,-1855549.8795180724
227,-1860646.0085877862
228,-1866908.2672697369
229,-1871067.8706896552
230,-1877414.66875
231,-1884264.393404908
232,-1889948.9720833334
233,-1899185.9416666667
234,-1906495.282436709
235,-1911994.046875
236,-1918330.7468905472
237,-1921622.4621212122
238,-1926837.97875
239,-1933271.9146634615
240,-1937028.9908940396
241,-1943717.2708333333
242,-1952693.825
243,-1961637.5895833333
244,-1967294.3847402597
245,-1972757.6075
246,-1981635.7275
247,-1987441.7789473685
248,-1993270.4725
249,-2001824.87
250,-2010602.04875
251,-2019526.8320833333
252,-2028045.2966666666
253,-2036688.73375
254,-2042201.2583333333
255,-2045165.8731884058
256,-2049495.8596625766
257,-2055201.375
258,-2062847.1108333333
259,-2069145.1836734693
260,-2075496.7029166666
261,-2082908.5265486725
262,-2088761.064102564
263,-2095724.2716666667
264,-2104272.69875
265,-2112688.473333333
266,-2120990.7397260275
267,-2128081.6261160714
268,-2133913.966931217
269,-2140517.91
270,-2148754.58
271,-2157295.4075
272,-2165454.848333333
273,-2173704.0275
274,-2181943.95
275,-2188919.8485576925
276,-2195829.553333333
277,-2200608.7934782607
278,-2205051.2115384615
279,-2209599.2317073173
280,-2214204.973333333
281,-2222262.6391666667
282,-2230358.2025
283,-2237767.4903846155
284,-2245232.5108333332
285,-2253196.7025
286,-2261160.7758333334
287,-2267685.7903645835
288,-2274212.0025
289,-2279310.881443299
290,-2284711.165
291,-2290632.3265625
292,-2296693.7075
293,-2304599.5516666668
294,-2312422.3941666665
295,-2320306.8525
296,-2328058.2941666665
297,-2333414.2055084747
298,-2338960.785
299,-2346685.4991666665
300,-2354439.785833333
301,-2362128.5475
302,-2369606.7716666665
303,-2377336.7941666665
304,-2384785.055
305,-2391616.2886266094
306,-2398352.8091666666
307,-2405795.6708333334
308,-2412541.9601769913
309,-2416512.920886076
310,-2421302.1033333335
311,-2427495.15625
312,-2433821.845833333
313,-2438491.095238095
314,-2442063.540794979
315,-2447498.8128078817
316,-2453588.4408333334
317,-2459617.9720588233
318,-2465281.1325
319,-2472590.629166667
320,-2477858.032
321,-2483170.5375
322,-2490391.884166667
323,-2497663.3558333335
324,-2504951.2016666667
325,-2512069.2516666665
326,-2518968.7762681157
327,-2525951.7
328,-2531584.7513812156
329,-2537270.8825
