,reward
0,479.0
1,-555.0
2,-576.0
3,-576.0
4,-576.0
5,-576.0
6,-576.0
7,-577.0
8,-577.0
9,-577.0
10,-576.0
11,-577.0
12,-577.0
13,-576.0
14,-577.0
15,-576.0
16,-576.0
17,-576.0
18,-576.0
19,-576.0
20,-577.0
21,-576.0
22,-576.0
23,-577.0
24,-577.0
25,-576.0
26,-576.0
27,-576.0
28,-582.0
29,-577.0
30,-581.0
31,476.0
32,-552.0
33,-576.0
34,-576.0
35,-577.0
36,-576.0
37,-576.0
38,-580.0
39,-577.0
40,-576.0
41,-576.0
42,-576.0
43,-577.0
44,-577.0
45,-699.0
46,-300.0
47,-716.0
48,-634.0
49,-300.0
50,-801.0
51,-300.0
52,-300.0
53,-300.0
54,-635.0
55,-300.0
56,-300.0
57,-703.0
58,-833.0
59,-848.0
60,-830.0
61,-818.0
62,-828.0
63,-300.0
64,-300.0
65,-300.0
66,-300.0
67,-300.0
68,-300.0
69,-777.0
70,-300.0
71,-300.0
72,-841.0
73,-300.0
74,-607.0
75,-300.0
76,-300.0
77,-300.0
78,-300.0
79,-300.0
80,-300.0
81,-300.0
82,-300.0
83,-806.0
84,-300.0
85,-300.0
86,-592.0
87,-840.0
88,-805.0
89,-300.0
90,-812.0
91,-300.0
92,-300.0
93,-300.0
94,-721.0
95,-603.0
96,-811.0
97,-717.0
98,-300.0
99,-705.0
100,-300.0
101,-300.0
102,-300.0
103,-300.0
104,-839.0
105,-797.0
106,-743.0
107,-725.0
108,-300.0
109,-300.0
110,-300.0
111,-300.0
112,-679.0
113,-300.0
114,-708.0
115,-300.0
116,-666.0
117,-300.0
118,-300.0
119,-300.0
120,-695.0
121,-300.0
122,-673.0
123,-300.0
124,-300.0
125,-794.0
126,-300.0
127,-300.0
128,-300.0
129,-661.0
130,-767.0
131,-300.0
132,-300.0
133,-300.0
134,-707.0
135,-300.0
136,-300.0
137,-300.0
138,-300.0
139,-625.0
140,-300.0
141,-300.0
142,-751.0
143,-300.0
144,-300.0
145,-300.0
146,-300.0
147,-300.0
148,-300.0
149,-796.0
150,-300.0
151,-644.0
152,-300.0
153,-300.0
154,-300.0
155,-300.0
156,-764.0
157,-300.0
158,-300.0
159,-300.0
160,-300.0
161,-300.0
162,-300.0
163,-300.0
164,-729.0
165,-300.0
166,-300.0
167,-300.0
168,-300.0
169,-300.0
170,-300.0
171,-736.0
172,-718.0
173,-300.0
174,-300.0
175,-300.0
176,-300.0
177,-826.0
178,-829.0
179,-300.0
180,-300.0
181,-300.0
182,-674.0
183,-685.0
184,-705.0
185,-613.0
186,-300.0
187,-300.0
188,-300.0
189,-752.0
190,-300.0
191,-300.0
192,-300.0
193,-740.0
194,-300.0
195,-300.0
196,-300.0
197,-300.0
198,-300.0
199,-300.0
200,-300.0
201,-816.0
202,-300.0
203,-300.0
204,-300.0
205,-300.0
206,-300.0
207,-300.0
208,-300.0
209,-300.0
210,-794.0
211,361.0
212,-300.0
213,-300.0
214,-300.0
215,-764.0
216,-800.0
217,-300.0
218,-300.0
219,-805.0
220,-300.0
221,-801.0
222,-300.0
223,-300.0
224,-300.0
225,-819.0
226,-632.0
227,-811.0
228,-701.0
229,-665.0
230,-300.0
231,-712.0
232,-300.0
233,-300.0
234,-707.0
235,-765.0
236,300.0
237,-582.0
238,-300.0
239,-653.0
240,-700.0
241,-300.0
242,-300.0
243,-300.0
244,-626.0
245,-300.0
246,-300.0
247,-644.0
248,-300.0
249,-300.0
250,-300.0
251,-300.0
252,-300.0
253,-300.0
254,-624.0
255,-687.0
256,-712.0
257,-793.0
258,-300.0
259,354.0
260,-300.0
261,275.0
262,-744.0
263,-300.0
264,-300.0
265,-300.0
266,-841.0
267,-773.0
268,-738.0
269,-300.0
270,-300.0
271,-300.0
272,-300.0
273,-300.0
274,-300.0
275,-757.0
276,-300.0
277,-595.0
278,202.0
279,-590.0
280,-300.0
281,-300.0
282,-300.0
283,-809.0
284,-300.0
285,-300.0
286,-300.0
287,-741.0
288,-300.0
289,-646.0
290,-300.0
291,-709.0
292,-300.0
293,-300.0
294,-300.0
295,-300.0
296,-300.0
297,-667.0
298,-300.0
299,-300.0
300,-300.0
301,-300.0
302,-300.0
303,-300.0
304,-300.0
305,-782.0
306,-300.0
307,-300.0
308,-775.0
309,-628.0
310,-300.0
311,-749.0
312,-300.0
313,-612.0
314,-788.0
315,-752.0
316,-300.0
317,-719.0
318,-300.0
319,-300.0
320,-674.0
321,-300.0
322,-300.0
323,-300.0
324,-300.0
325,-300.0
326,-825.0
327,-300.0
328,-730.0
329,-300.0
330,-300.0
331,-621.0
332,424.0
333,-608.0
334,-300.0
335,-744.0
336,-300.0
337,-713.0
338,-300.0
339,-300.0
340,-800.0
341,-300.0
342,-300.0
343,-300.0
344,-640.0
345,-300.0
346,-300.0
347,-300.0
348,-300.0
349,-300.0
350,-300.0
351,-300.0
352,384.0
353,-618.0
354,-786.0
355,-300.0
356,-300.0
357,242.0
358,-300.0
359,-300.0
360,-849.0
361,-300.0
362,-300.0
363,-300.0
364,-779.0
365,-752.0
366,-300.0
367,-300.0
368,-300.0
369,-749.0
370,-614.0
371,-300.0
372,-300.0
373,274.0
374,-580.0
375,-738.0
376,482.0
377,-556.0
378,-702.0
379,-300.0
380,-300.0
381,-300.0
382,-665.0
383,-300.0
384,-300.0
385,-300.0
386,-300.0
387,-794.0
388,-300.0
389,-300.0
390,-300.0
391,-808.0
392,-675.0
393,-300.0
394,-829.0
395,-300.0
396,-664.0
397,-848.0
398,-763.0
399,-697.0
400,-300.0
401,-300.0
402,-623.0
403,-300.0
404,-300.0
405,-300.0
406,-300.0
407,-838.0
408,-690.0
409,-300.0
410,-570.0
411,-300.0
412,-768.0
413,-300.0
414,-738.0
415,-823.0
416,-300.0
417,-300.0
418,-300.0
419,-300.0
420,221.0
421,-550.0
422,-300.0
423,-300.0
424,-696.0
425,-300.0
426,-300.0
427,-824.0
428,-300.0
429,-300.0
430,-751.0
431,-663.0
432,-783.0
433,-300.0
434,-300.0
435,-728.0
436,-300.0
437,-300.0
438,-300.0
439,-640.0
440,-300.0
441,-300.0
442,-795.0
443,-693.0
444,-649.0
445,-300.0
446,-300.0
447,-300.0
448,-300.0
449,-300.0
450,-687.0
451,-300.0
452,286.0
453,-715.0
454,355.0
455,-794.0
456,-300.0
457,-300.0
458,-735.0
459,-300.0
460,-573.0
461,-743.0
462,-300.0
463,-300.0
464,-759.0
465,-300.0
466,-300.0
467,-300.0
468,-834.0
469,-599.0
470,-300.0
471,-826.0
472,-300.0
473,-300.0
474,-637.0
475,-697.0
476,-300.0
477,-654.0
478,-300.0
