,reward
0,477.0
1,-643.0
2,-666.0
3,-669.0
4,445.0
5,-610.0
6,-613.0
7,-564.0
8,-652.0
9,456.0
10,-551.0
11,-600.0
12,-595.0
13,-589.0
14,-569.0
15,-300.0
16,-300.0
17,-625.0
18,-671.0
19,-615.0
20,-725.0
21,-300.0
22,-586.0
23,-609.0
24,-557.0
25,-713.0
26,-778.0
27,-558.0
28,-556.0
29,-733.0
30,-567.0
31,-794.0
32,-300.0
33,-300.0
34,-595.0
35,-300.0
36,-722.0
37,-738.0
38,-300.0
39,-658.0
40,-662.0
41,-730.0
42,-675.0
43,-748.0
44,-558.0
45,-611.0
46,-594.0
47,-557.0
48,-761.0
49,-556.0
50,-572.0
51,-813.0
52,-593.0
53,-555.0
54,-558.0
55,-300.0
56,-692.0
57,-559.0
58,-616.0
59,-591.0
60,-300.0
61,-648.0
62,-616.0
63,-681.0
64,-559.0
65,-572.0
66,-300.0
67,-668.0
68,-591.0
69,-612.0
70,-594.0
71,-662.0
72,-619.0
73,-629.0
74,-730.0
75,-578.0
76,-300.0
77,-781.0
78,-713.0
79,412.0
80,-300.0
81,-580.0
82,-556.0
83,-555.0
84,-701.0
85,-595.0
86,-678.0
87,-597.0
88,-784.0
89,450.0
90,-761.0
91,-817.0
92,-586.0
93,-557.0
94,-583.0
95,-571.0
96,-300.0
97,-687.0
98,-300.0
99,-593.0
100,-557.0
101,-574.0
102,-300.0
103,-589.0
104,-676.0
105,-732.0
106,-715.0
107,-620.0
108,298.0
109,-754.0
110,-809.0
111,-649.0
112,-562.0
113,-597.0
114,-775.0
115,-300.0
116,-566.0
117,-300.0
118,-691.0
119,-793.0
120,-730.0
121,-646.0
122,-715.0
123,-606.0
124,-556.0
125,-589.0
126,-658.0
127,-587.0
128,-755.0
129,-604.0
130,-637.0
131,-640.0
132,-588.0
133,-620.0
134,-784.0
135,-606.0
136,-651.0
137,-749.0
138,-590.0
139,-578.0
140,-797.0
141,-779.0
142,-610.0
143,-840.0
144,-721.0
145,-563.0
146,-743.0
147,-569.0
148,-556.0
149,-599.0
150,-623.0
151,-567.0
152,-599.0
153,-729.0
154,-300.0
155,-604.0
156,-679.0
157,-639.0
158,-300.0
159,-622.0
160,-300.0
161,-708.0
162,-667.0
163,-809.0
164,-300.0
165,-811.0
166,-714.0
167,-780.0
168,-557.0
169,-560.0
170,-608.0
171,-300.0
172,-633.0
173,-300.0
174,-703.0
175,-652.0
