,loss
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,9145.384668562147
30,11099.106616210938
31,8405.90696858724
32,14712.849720052083
33,16295.803972942073
34,17892.38419921875
35,18795.170238597973
36,18885.80498046875
37,18668.194270833334
38,19944.581575520835
39,20803.172309027777
40,21081.358832465277
41,21847.365078125
42,22386.36213175456
43,23054.002803465137
44,23320.72328125
45,24469.412165715145
46,25108.08965494792
47,25923.217369791666
48,27489.158067046617
49,28538.843722747093
50,29722.284544270835
51,30171.316344442246
52,30856.690579927883
53,30960.866979166665
54,32180.536653645835
55,33090.487467447914
56,33853.55951891447
57,33397.13014973958
58,34671.35990234375
59,36617.18142578125
60,37954.92052734375
61,22526.8675
62,27786.10330491442
63,31585.424981299868
64,35212.21543619792
65,37171.858959680314
66,38611.57912844037
67,40428.60180338542
68,42211.86833521263
69,44786.8154296875
70,46513.364080255684
71,47737.502213541666
72,50045.75434895833
73,51536.53328804348
74,52927.3103125
75,54324.82791666667
76,56208.7
77,58176.40972222222
78,57444.05377956081
79,57887.353494623654
80,59388.990846354165
81,60917.950546875
82,64744.88796713918
83,65037.325559895835
84,67812.218828125
85,70652.1863671875
86,72089.91307536101
87,73524.02667942178
88,67010.99563802083
89,69297.80149739583
90,70884.3948046875
91,72944.4327439693
92,74674.26622395833
93,76799.88046875
94,79284.70453125
95,80817.086640625
96,83044.17891725352
97,84759.863203125
98,86083.00138020833
99,88216.959765625
100,89998.75104166666
101,91896.26625
102,93780.74621212122
103,96359.92908854167
104,98329.39744791666
105,99325.05984375
106,98392.184375
107,99901.22942483836
108,101016.063359375
109,104246.73663194444
110,107815.98947916667
111,110196.28763392857
112,111022.23361797481
113,112805.064296875
114,114181.91889044944
115,115820.60315104167
116,116672.85263020833
117,117774.16526442308
118,117981.9469313063
119,118620.02596354167
120,120349.3515625
121,121737.370546875
122,123034.42631392046
123,123955.82859375
124,126012.50158854167
125,127885.04390625
126,129215.69172731164
127,131068.02763020834
128,132576.71013020835
129,134063.24485167052
130,135339.46932291667
131,137318.635859375
132,138982.21848958332
133,140245.17685111464
134,141125.56131628787
135,142255.06225712434
136,144785.11090686274
137,147176.861875
138,150466.93859375
139,151773.0392803785
140,153248.63976377953
141,154305.03032635467
142,155626.39401041667
143,157322.49255208333
144,158577.15630208334
145,159938.73057291665
146,161310.92520680148
147,161952.96119791668
148,163384.38770833332
149,164503.31161556602
150,164267.12390625
151,165256.88973958333
152,165598.7927414021
153,166348.05197916666
154,167785.27213541666
155,168701.07060669456
156,169105.9934946498
157,169785.51427083334
158,170842.08271585053
159,171548.1886334197
160,170868.65405701756
161,171163.5660326087
162,172302.25807291668
163,173256.56625
164,174153.13262795276
165,175203.04453125
166,175876.84548611112
167,176173.53229166666
168,176501.08635416668
169,177733.46671875
170,178821.9483173077
171,178920.99947916667
172,179543.02083333334
173,178694.8564814815
174,179278.10510416667
175,179965.7766751126
176,180597.3927919708
177,180029.25598958333
178,181172.2765625
179,181601.06782407407
180,182869.4864130435
181,182191.3909375
182,183287.50061576354
183,184496.83072916666
184,185550.00359375
185,185917.618125
186,187394.29619791667
187,187770.75140625
188,189216.92541503906
189,190616.1840625
190,191704.14609375
191,193451.20348958333
192,194850.98125
193,196277.21519886365
194,197289.614375
195,197933.8283730159
196,198539.85625
197,199170.57112556562
198,200087.8022780374
199,200653.00125
200,202064.6596875
201,203902.40024038462
202,205742.73203125
203,207949.03119791666
204,208747.06508027524
205,208622.38667315175
206,208955.8316482843
207,209234.86029411765
208,210606.52145833333
209,212518.87572916667
210,213743.73351883562
211,216474.31604166667
212,217696.06385416666
213,219578.925
214,220998.99884868422
215,223835.6403864504
216,222424.32833333334
217,224561.05666666667
218,225724.4209375
219,225519.3060042135
220,226082.47161458334
221,227022.74182291667
222,229753.72825845197
223,230263.62738715278
224,231317.31442212302
225,231941.88973958333
226,233838.15484375
227,234686.61694587627
228,235749.69363636363
229,235225.68209745764
230,236349.31833333333
231,236776.79713541668
232,237389.30026041667
233,238552.72864583333
234,240264.39527925532
235,240788.6240625
236,242506.44265625
237,242161.02936921295
238,248972.91206219807
239,249722.45317708334
240,249764.34645833334
241,250678.26883561644
242,251608.94317708333
243,252532.8815625
244,253377.57203125
245,253266.58510416668
246,255532.4555625
247,256670.3421875
248,257606.59899475524
249,257242.82536764705
250,258668.81557291668
251,260554.86875
252,261582.68432291667
253,264863.7573958333
254,267501.5128125
255,269106.8990625
256,271231.609375
257,270416.7940972222
258,269243.02704326925
259,267821.0149147727
260,269765.89509911893
261,266633.2174369748
262,263178.2049479167
263,263801.56885822513
264,265298.11776041664
265,267918.96447916667
266,269416.946875
267,270280.5650930851
268,263704.5027083333
269,267069.9753645833
270,269892.01022727275
271,270466.81484375
272,273216.69635416666
273,274500.4159798535
274,275750.6239224138
275,278147.4092708333
276,279629.1123958333
277,281479.6328125
278,282968.30773305084
279,283154.64458333334
280,285077.5745570866
281,287426.2940340909
282,286944.8612028302
283,287868.76685855264
284,285178.56354166666
285,286597.04541666666
286,287480.17142857146
287,288250.5046875
288,288147.3157417012
289,289457.33677083335
290,289509.195625
291,290101.30503731343
292,291425.912188914
293,292309.1147916667
294,292649.1957291667
295,292533.81875
296,292045.7607291667
297,292939.54162985866
298,294390.73333333334
299,295139.66125
300,295757.3616727941
301,296792.5659375
302,297352.9688541667
303,297634.75395833334
304,296191.21517412935
305,297629.5409375
306,298081.1953125
307,299391.2914583333
308,302362.64794303797
309,303557.948156682
310,303934.0234375
311,304820.3215625
312,307651.22788915096
313,306975.62875
314,308792.34541666665
315,308972.1684375
316,310319.29260416667
317,310619.7034375
318,312031.3927083333
319,313000.39958333335
320,314868.969375
321,315432.6089583333
322,316656.63382056454
323,315984.7473060345
324,319737.48802083335
325,320195.5615458015
326,321434.23541666666
327,321853.2534520349
328,321254.17781986535
329,321273.78125
330,321849.9860294118
331,324994.7186458333
332,325325.4716981132
333,325901.5238541667
334,327319.18800403224
335,329969.62817028986
336,331887.35104166664
337,331873.48495802237
338,331432.1194852941
339,334147.4353125
340,335523.1115625
341,337074.5012755102
342,336265.43614583334
343,336361.32885416667
344,337318.6909375
345,338336.553125
346,337114.8786764706
347,337529.5107291667
348,338616.9423581933
349,341074.2655208333
350,337692.30270833336
351,336314.79942729085
352,333677.0905208333
353,335705.26472929935
354,335173.8334375
355,334852.35520833335
356,336529.92450350465
357,338556.60020833334
358,339762.7332461977
359,340259.6034375
360,340564.083125
361,340545.5821875
362,342233.2478966346
363,341827.83633474575
364,340062.980625
365,340529.64666666667
