,reward
0,425.3940087461568
1,-610.3359276363677
2,-969.8348330952497
3,-720.3724786629854
4,-987.0437310977428
5,-1221.948127352457
6,-971.5282927541725
7,-972.3250604036294
8,-772.6940746854657
9,-1217.416897500986
10,-1411.0303312297224
11,-968.596783135807
12,-971.6420684043983
13,-971.5132913540147
14,-655.2870852304035
15,-972.5641434767458
16,-972.1001955026406
17,-970.7659009555013
18,-717.5078529014569
19,-981.2665279298656
20,-920.1351212755383
21,-959.4607585330746
22,-681.8270759069234
23,-660.8831303993721
24,-972.2808450393145
25,-660.7736649103338
26,-969.6387183840818
27,-678.7077171716599
28,-974.151184124895
29,-1628.881653650441
30,-2650.955650869213
31,-1065.567755519372
32,-1041.3221751608066
33,-853.0044352329263
34,-1052.7698450726832
35,-666.7286512540545
36,-1171.3412209589758
37,-1243.8022448230613
38,-940.836434929473
39,-908.3771057134217
40,-781.1811086699595
41,-1460.385337690369
42,-1196.745970269731
43,-1373.0019600515684
44,-1086.3151614402568
45,-951.789364748968
46,-1252.9870090407712
47,-1758.1478919695687
48,-1473.1889734542435
49,-1350.4866044760893
50,-1106.1321032526382
51,-1158.603214472577
52,-1039.167936378914
53,-1142.9206439663315
54,-1116.2925546693468
55,-1108.349160065074
56,-1023.4026193818898
57,-1190.5401856880135
58,-1000.611913204823
59,-1116.4753033167165
60,-1757.9595750848373
61,-1186.7178305563502
62,-1516.8172056121634
63,-1148.0042874387445
64,-1269.0680479668463
65,-1384.0852708163584
66,-893.0212064521327
67,-1195.8416651643329
68,-1301.0163996556807
69,-1095.9246911335795
70,-1362.7640689759587
71,-1096.8193513192439
72,-962.487445183049
73,-1402.7652109809758
74,-1086.9217219282566
75,-1057.5777288763131
76,-1093.4775190898893
77,-802.3615474860457
78,-1281.6199278559516
79,-1105.905183443902
80,-1121.8246452364776
81,-1006.1408410601886
82,-1325.3430867112422
83,-1215.2826991704558
84,-1219.5138762211154
85,-1088.367780893525
86,-1538.575904949333
87,-1859.1932711407424
88,-959.9426586323428
89,-1192.6508764649263
90,-1088.516631236881
91,-1750.2469366424223
92,-1124.9778454023278
93,-1101.9944096613765
94,-1139.7599780421517
95,-1213.995375568628
96,-1391.1362200210197
97,-1120.6696454275093
98,-1084.6229935431643
99,-1097.4699120631244
100,-1019.7348929889348
101,-1056.278244937314
102,-1840.1421110872946
103,-1148.9989177355305
104,-1166.5634028805316
105,356.9260645042659
106,-614.7177776502785
107,-1443.9197434127032
108,-1098.7108816982443
109,-1424.5025117733173
110,-1106.2451214287614
111,-1323.2605218400613
112,-1449.9546210461535
113,-1087.1377803746477
114,-1501.4363268282918
115,-1127.154523610601
116,-1072.239983971403
117,-1108.2794600294737
118,-1211.9443944736727
119,-958.0385827867367
120,-1182.8757707733917
121,-1196.6135192058414
122,-1060.4541131732456
123,-1028.5105450107117
124,-1100.2762119157449
125,-1411.752946609643
126,-1740.3402305484383
127,-1369.6618331412758
128,-1224.3955079624825
129,-1490.8314407313342
130,-1295.3790890702355
131,-1131.812714724079
132,-953.5509283436352
133,-1327.702024312484
134,-1467.0203065150008
135,-1224.1375969333985
136,-683.8048374910875
137,-1183.9405324092322
138,-994.0404433321236
139,-1351.0970391003655
140,-1646.8175191593978
141,-1318.0538988543458
142,-1123.7684855691505
143,-1223.6420451117472
144,-959.380483251187
145,-1202.4659398913182
146,-1284.9944764761287
147,-1232.23648607204
148,-1115.9959251921885
149,-1157.2159352361316
150,-1109.663137077419
151,-1260.9573656992447
152,-1418.0396555124971
153,-1102.892605911732
154,-1056.3972407668057
155,-1559.4217661149792
156,-1592.3684667534721
157,-1059.8400147007471
158,-1198.2233120473209
159,-1594.5397354041888
160,-1676.1259873805495
161,170.62063246000156
162,-1013.7755713519975
163,-1236.0601067269965
164,-1080.2803848342414
165,-1050.9210746480637
166,-1297.7285915347038
167,-1357.1209318252997
168,-1081.3325009272621
169,-1118.6014466281867
170,-1129.5531086570363
171,-1086.1213776322472
172,-846.1762161117693
173,-856.3629855857923
174,-1015.6721919226414
175,-1673.3902120011298
176,-1271.7265763973692
177,-1051.9056105946668
178,-1214.1188446893068
179,-1630.2807884582066
180,-958.4251133472367
181,-1310.219774679903
182,-1538.1466481935872
183,-1166.85601544766
184,-1070.6427137568276
185,-1083.2203033339747
186,-1458.7342393937556
187,-1176.8741856472868
188,-1071.7780454822175
189,-1243.1169860757543
190,-1093.5237856595854
191,-1093.2768823927472
192,-1142.9064326437524
193,-1548.948342156506
194,-1112.919473248685
195,-787.1103077466139
196,-1005.8565443583323
197,-200.14799499984463
198,-1132.9481963530452
199,-1070.2489346333343
200,-1100.8379533518366
201,-1372.9249820658943
202,-1133.2342950583525
203,-1052.6023724532108
204,-1222.9154074505263
205,-1626.7961935760313
206,-1004.2982160375462
207,-922.4557565756264
208,-1187.0180761482886
209,-1091.2032530154943
210,-1140.0604572026148
211,-1039.1052243013887
212,-1001.3096646561896
213,-1223.1139977296996
214,-843.44911510183
215,-1247.7981121766675
216,-1082.4220410066837
217,-1074.8481808738156
218,-1137.4085764020545
219,-1046.4795738301684
220,-1237.249400734115
221,-1144.3231097862456
222,-1766.514055772688
223,-815.9964922427275
224,-1649.5495189860103
225,-1108.8323268823663
226,-1123.5107315327054
227,-1557.6166911496903
228,-1764.529907279575
229,-1800.2797538861278
230,-995.2467549302396
231,-1121.0974171647283
232,-977.5848669939763
233,-1007.7946458252057
234,-1709.0706390147277
235,-1267.1054868929439
236,-1039.165142888394
237,-1482.475276312706
238,-1477.1675526809177
239,-1157.8293546727868
240,-1015.5562288023563
241,-1046.7727405067785
242,-1226.912647296249
243,-1023.2017973857444
244,-1036.0290521352633
245,-1143.0518004619526
246,-1544.8951081080418
247,-1144.0800259623954
248,-1216.2630818782977
249,-1414.2902471118464
250,-1281.6817949025772
251,-1443.0803365760821
252,-1096.3241864886506
253,-1032.803574603225
254,-1367.517800588777
255,-1078.0113500635414
256,-990.3601487199313
257,-983.7682697470088
258,-1063.3444901375724
259,-714.354832790304
260,-1553.494393511078
261,-1664.0419787307555
262,-1028.0471459226137
263,-1503.6065668944564
264,-1088.4798449282034
265,-1001.7152717411991
266,-1323.231240854033
267,-1644.6546596521964
268,-1014.699873623007
269,-1122.6525285117443
270,-1804.3465097017752
271,-1275.2931355467044
272,-1068.2667788182712
273,-1707.0924761642766
274,-1675.4396650003466
275,-1040.282960610271
276,-1115.6836199689142
277,-1107.227549601047
278,-1451.7323874217332
279,-1237.004992571169
280,-1382.8994203792356
281,-932.1122553074654
282,-1568.5996621431102
283,-1523.4304242141934
284,-1001.8848105709598
285,-1149.2028954487891
286,-748.8609763136114
287,-1008.949073246157
288,-1675.7618609372657
289,-1000.5102625518286
290,-1170.8861213697612
291,-1711.321960603376
292,-1352.1699240950065
293,-1138.1166939162274
294,-1161.1573371676534
295,-1167.2618897462085
296,-1075.888922155811
297,-1809.5815990468664
298,-1280.2241608814734
299,-1022.9789065507755
300,-1013.6123745511406
301,-984.853367353495
302,-984.5426716077368
303,-1219.5006839831592
304,-1125.8432725325943
305,-1046.3358618751365
306,-1208.5755934677
307,-1080.0958395949317
308,-1372.1603058169776
309,-165.44262731374783
310,-546.1485937788525
311,-1158.8775762401106
312,-243.4081727767392
313,-1196.5314344256224
314,-1064.807547418429
315,-1179.3296031451916
316,-998.3321817515202
317,-1140.3446700860159
318,-1155.1554229871917
319,-1021.60844672842
320,-1076.9818920183307
321,-1119.8763679193612
322,-1140.3468497201284
323,-1268.785310627562
324,-1071.162263744414
325,-1696.8644414872572
326,-991.437434032005
327,-1308.3447200966493
328,-1815.7077103751687
329,-809.5479711511899
330,-1382.5568703185806
331,-1141.4925572747825
332,-1098.3637778189209
333,-1042.3059348961374
334,-1570.263655549651
335,-1622.2871860970527
336,-1183.299088527001
337,-1876.4353772363565
338,-771.0356607155682
339,-1185.1165143288006
340,-1167.2872981304808
341,-867.0013114660453
342,-1110.712108154173
343,-1242.8604625380813
344,-1170.3665320845937
345,-1005.5569459039673
346,-1283.6240303046616
347,-1205.2763052791288
348,-1552.9157012874743
349,-1290.7001369338825
350,-1115.3789859912863
351,-1701.3684843952487
352,-1170.456689777785
353,-1296.3802122106094
354,-1128.1032902518361
355,-1118.364345032157
356,-1569.6105147490061
357,-990.3144796289906
358,-1792.5230743746072
359,-1038.5666089870253
360,-1150.8976435687941
361,-1044.0822897773116
362,-119.6433245384917
363,-900.781777243649
364,-1134.3869215976945
365,-1200.1026664753792
366,-1170.8420643085256
367,-1197.490981257479
368,-1263.3747673320258
369,-1295.626970080705
370,-1170.3420989241663
371,-1105.2522254091791
372,-1184.468049495394
373,-1081.1315732923997
374,-1092.078732965411
375,-1042.4325685272463
376,-1240.895157322874
377,-1040.3669321051482
378,-1248.1823347938282
379,-1162.7712824448122
380,-1790.917884239339
381,-1164.9072134642095
382,-906.1338966432543
383,-1180.3531493903276
384,-1106.8246201863624
385,-1920.9402514998942
386,-1203.8984535053446
387,-1105.4358776932484
388,-1212.7693884029711
389,-1198.9345003712976
390,-1114.2844826264743
391,-1008.8412455627076
392,-1581.6516487347506
393,-1147.7069178130007
394,-1890.492658034931
395,-1643.4624264668112
396,-958.2388960725738
397,-1549.008626715809
398,-1071.8166867042364
399,-1026.6173644425091
400,-1209.1672613228639
401,-1123.5459772665051
402,-1072.3657716936145
403,-1161.8803536046285
404,-1460.1141372600355
405,-1524.9169178895502
406,-1011.6444386398972
407,-1422.2461423491475
408,-1102.3753190130312
409,-1132.123498212066
410,-1190.9564267699677
411,-1418.4711537541175
412,-1265.5781551096654
413,-1304.2678642001174
