,loss
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,41.17467596795824
19,1364.4268297227047
20,2278.4681334832703
21,2006.284328726835
22,860.6667770385742
23,19.397906857867575
24,-341.2566064091052
25,-539.4342927932739
26,-927.2611067635672
27,-1088.3459922075272
28,-1250.991729219081
29,-1768.5726111627393
30,-2008.6027639288652
31,-2222.9601015033145
32,-2761.2731279645645
33,-2962.777557373047
34,-3152.37149810791
35,-3486.9838624261506
36,-3734.5192999588817
37,-3474.0919731987847
38,-3536.8198525249095
39,-3523.203429291214
40,-3397.3931283615343
41,-4452.948914608713
42,-5494.683896484375
43,-6256.922119140625
44,-6582.556522253788
45,-6761.513223184122
46,-7241.831606108567
47,-8175.592956542969
48,-8527.656402191558
49,-9557.18306896174
50,-10404.435892740885
51,-10367.493034518495
52,-11063.649640511776
53,-11539.098430765087
54,-12116.178505345395
55,-12969.498828125
56,-13129.31827059659
57,-13485.434636896307
58,-14334.61981590758
59,-15092.722384982639
60,-16528.235570790817
61,-17065.41928100586
62,-17543.534756019468
63,-18045.67118932846
64,-18113.98239746094
65,-18770.586272321427
66,-19180.633671875
67,-19489.023322610294
68,-19672.283755095108
69,-20090.944407393294
70,-20899.164344618057
71,-21683.50799005682
72,-22349.95535714286
73,-22900.52276141827
74,-23167.629975818454
75,-23770.7955078125
76,-24081.572591145832
77,-24422.981496710527
78,-25151.37524723101
79,-26215.15135117828
80,-27147.62203663793
81,-27617.616091844513
82,-28043.102213541668
83,-28583.709758254718
84,-28998.335339604593
85,-29631.499053030304
86,-30036.405362215908
87,-30071.56972064394
88,-30179.348721590908
89,-30930.659409466913
90,-31421.199079241072
91,-31996.266157670456
92,-32548.43918059593
93,-33083.90701941288
94,-33335.81116832386
95,-33728.459846047794
96,-34566.810250197785
97,-35292.77168782552
98,-36043.87927246094
99,-36688.78301257622
100,-37412.829632675435
101,-38200.70941472457
102,-38872.66729910715
103,-39619.83728227459
104,-40469.71328125
105,-40621.02914663462
106,-41534.16939786585
107,-42537.9042570153
108,-42982.90392736487
109,-43459.40145596591
110,-44673.747395833336
111,-45584.17637087264
112,-46524.778645833336
113,-47329.46001059322
114,-48777.820505401236
115,-49315.27734375
116,-49731.807421875
117,-50815.66920230263
118,-51301.33984375
119,-51711.620857007576
120,-52383.01220703125
121,-53367.29017857143
122,-52671.796223958336
123,-53491.42339409722
124,-54379.77020089285
125,-54903.13534007353
126,-55911.21357685811
127,-56065.66096443965
128,-57003.13066007653
129,-57472.452674278844
130,-57933.70461309524
131,-58273.30440167683
132,-58873.25116502193
133,-59307.689174107145
134,-59879.36572265625
135,-60298.41000600962
136,-61289.595274390245
137,-61488.70558449074
138,-62171.34755608974
139,-62939.449810606064
140,-63605.74908088235
141,-64313.400553385414
142,-64554.881510416664
143,-65719.37591422872
144,-66572.05066464552
145,-67158.16973286291
146,-67971.72921875
147,-68303.61852384868
148,-69217.42824835527
149,-69867.93787202382
150,-70515.62169471153
151,-70386.51822916667
152,-71106.59405048077
153,-71695.45092773438
154,-72493.57645089286
155,-72240.6125
156,-72865.79119318182
157,-74223.515625
158,-73147.01521381579
159,-73632.43294270833
160,-74860.14949324324
161,-75600.87705592105
162,-75853.87378472222
163,-76618.41006097561
164,-77200.02625
165,-78197.01750578704
166,-79082.92568597561
167,-79725.66183035714
168,-79735.32107469512
169,-80398.94898897059
170,-81007.34662828948
171,-81573.3462890625
172,-81854.44094669117
173,-83441.91261160714
174,-84748.53757440476
175,-85306.82502693965
176,-86377.76798349057
177,-86464.05598958333
178,-86844.39590371621
179,-87697.76032366071
180,-88807.91674107143
181,-89446.88321314103
182,-89096.12086397059
183,-90184.48153409091
184,-90525.20805921052
185,-91243.90117872808
186,-92654.26658653846
187,-93821.64192708333
188,-94549.178125
189,-95002.709375
190,-96108.65852864583
191,-96551.48197115384
192,-97320.17931547618
193,-98316.41280691964
194,-98515.2041015625
195,-99678.33032226562
196,-99713.29831414473
197,-100431.95758928571
198,-101355.73163555194
199,-102323.27853260869
200,-102423.3447265625
201,-103566.82516891892
202,-104153.74914772727
203,-105356.77450980392
204,-106488.87797619047
205,-108271.12688873627
206,-109027.95024671052
207,-109050.50334821429
208,-109526.28828125
209,-110944.34945913461
210,-111143.8942397388
211,-112342.56463068182
212,-113271.962890625
213,-113348.74074074074
214,-114428.9609375
215,-114225.73013392858
216,-114778.95685096153
217,-115492.73369565218
218,-115923.46244959677
219,-116515.88610197368
220,-116635.15494791667
221,-117675.041015625
222,-118201.04478561046
223,-118292.34040178571
224,-118580.0078125
225,-118446.3125
226,-118425.28361742424
227,-118351.71875
228,-119159.07326858108
229,-120355.2153825431
230,-121523.97090126811
231,-122482.43716032608
232,-123936.41594827586
233,-125011.84286794355
234,-126025.63504464286
235,-126346.75950168919
236,-126763.52716619318
237,-127592.85008081897
238,-129112.36458333333
239,-128699.72367788461
240,-129716.6989694149
241,-130156.90375
242,-130805.155078125
243,-131254.66619318182
244,-132033.03144054877
245,-131937.65349264705
246,-132581.534765625
247,-133550.07620614034
248,-133934.27468039774
249,-134946.3205773305
250,-136340.61896929826
251,-136334.009477459
252,-137886.19485294117
253,-138465.28602430556
254,-139500.37362132352
255,-140572.2283203125
256,-142139.24157072368
257,-143630.9642857143
258,-144444.9279233871
259,-145213.57976973685
260,-145872.29166666666
261,-146031.9046875
262,-146939.015625
263,-148190.5603448276
264,-148419.6667564655
265,-150072.03365384616
266,-150267.98058712122
267,-151375.34719279662
268,-151770.29588607594
269,-153478.0
270,-154236.40625
271,-155283.48284313726
272,-155582.40767045456
273,-156642.9378633721
274,-157149.015625
275,-157985.50248579544
276,-158994.33738425927
277,-159357.72162828947
278,-160095.86474609375
279,-161129.42638221153
280,-162464.51061320756
281,-163386.16145833334
282,-163869.90601679104
283,-165113.53125
284,-165646.04017857142
285,-166349.47370426828
286,-166818.6858108108
287,-167764.4443359375
288,-171984.90625
289,-168047.33954326922
290,-169213.14425872092
291,-169753.65734011628
292,-170179.996875
293,-170875.916015625
294,-171124.65246212122
295,-172314.51208333333
296,-172798.3210495283
297,-174340.2537202381
298,-174809.7525201613
299,-174787.26131465516
300,-175017.43509615384
301,-175370.42766203705
302,-176588.33854166666
303,-176166.86600378787
304,-177014.08984375
305,-177137.25897606384
306,-178186.98781779662
307,-178929.7169117647
308,-179583.115625
309,-179065.88997395834
310,-180662.01822916666
311,-180474.31302083333
312,-181320.46458333332
313,-182084.465625
314,-182910.08910472973
315,-184076.9646381579
316,-184734.61071428572
317,-186557.326171875
318,-185176.43323863635
319,-185846.46354166666
320,-185248.46875
321,-185945.9493140244
322,-186723.1921875
323,-187889.87158203125
324,-188807.009477459
