,reward
0,479.0
1,-555.0
2,-576.0
3,-576.0
4,-576.0
5,456.0
6,-587.0
7,-576.0
8,-576.0
9,-576.0
10,-576.0
11,449.0
12,-580.0
13,-576.0
14,-576.0
15,-576.0
16,-576.0
17,-576.0
18,-576.0
19,-631.0
20,-576.0
21,-576.0
22,475.0
23,-550.0
24,-576.0
25,-576.0
26,-576.0
27,-576.0
28,479.0
29,-610.0
30,-576.0
31,-587.0
32,-683.0
33,-718.0
34,-645.0
35,-669.0
36,-585.0
37,-811.0
38,-736.0
39,-750.0
40,-707.0
41,-300.0
42,-753.0
43,-773.0
44,-300.0
45,-300.0
46,-300.0
47,-300.0
48,-300.0
49,-300.0
50,-656.0
51,-827.0
52,-627.0
53,-781.0
54,-300.0
55,-300.0
56,-300.0
57,-300.0
58,288.0
59,-583.0
60,-577.0
61,458.0
62,436.0
63,-571.0
64,485.0
65,-587.0
66,455.0
67,-613.0
68,445.0
69,-594.0
70,461.0
71,471.0
72,-600.0
73,-572.0
74,-569.0
75,-579.0
76,469.0
77,401.0
78,-601.0
79,455.0
80,458.0
81,462.0
82,456.0
83,405.0
84,428.0
85,463.0
86,-580.0
87,465.0
88,-550.0
89,-585.0
90,461.0
91,-612.0
92,455.0
93,-576.0
94,466.0
95,-601.0
96,480.0
97,432.0
98,-565.0
99,-571.0
100,-574.0
101,-569.0
102,455.0
103,-589.0
104,457.0
105,380.0
106,-623.0
107,459.0
108,-568.0
109,455.0
110,458.0
111,-558.0
112,457.0
113,452.0
114,-551.0
115,449.0
116,429.0
117,-597.0
118,452.0
119,424.0
120,-578.0
121,450.0
122,-581.0
123,448.0
124,-582.0
125,-573.0
126,460.0
127,417.0
128,-580.0
129,450.0
130,-589.0
131,451.0
132,-613.0
133,450.0
134,452.0
135,-560.0
136,-568.0
137,-579.0
138,-571.0
139,450.0
140,435.0
141,-577.0
142,487.0
143,444.0
144,-580.0
145,463.0
146,-590.0
147,453.0
148,-605.0
149,-567.0
150,-576.0
151,455.0
152,455.0
153,465.0
154,-561.0
155,454.0
156,-577.0
157,-571.0
158,-581.0
159,-566.0
160,454.0
161,-567.0
162,-581.0
163,463.0
164,444.0
165,-586.0
166,458.0
167,458.0
168,466.0
169,-558.0
170,-581.0
171,-576.0
172,-574.0
173,-570.0
174,452.0
175,-568.0
176,-572.0
177,458.0
178,429.0
179,-600.0
180,466.0
181,421.0
182,-620.0
183,446.0
184,-595.0
185,483.0
186,-559.0
187,446.0
188,-578.0
189,-574.0
190,-568.0
191,481.0
192,-550.0
193,-582.0
194,488.0
195,-555.0
196,-574.0
197,-573.0
198,470.0
199,463.0
200,463.0
201,-558.0
202,473.0
203,-550.0
204,486.0
205,-557.0
206,485.0
207,-553.0
208,-571.0
209,457.0
210,437.0
211,465.0
212,409.0
213,-625.0
214,458.0
215,474.0
216,-563.0
217,-571.0
218,-575.0
219,455.0
220,455.0
221,-604.0
222,429.0
223,-578.0
224,465.0
225,-565.0
226,-587.0
227,481.0
228,440.0
229,384.0
230,-558.0
231,-590.0
232,458.0
233,449.0
234,469.0
235,419.0
236,-590.0
237,456.0
238,-576.0
239,456.0
240,458.0
241,-579.0
242,-575.0
243,464.0
244,-569.0
245,-580.0
246,458.0
247,-601.0
248,-577.0
249,443.0
250,450.0
251,432.0
252,431.0
253,415.0
254,-598.0
255,479.0
256,-550.0
257,-567.0
258,-582.0
259,455.0
260,-567.0
261,-583.0
262,-577.0
263,455.0
264,429.0
265,459.0
266,-563.0
267,-571.0
268,467.0
269,448.0
270,-570.0
271,471.0
272,458.0
273,-563.0
274,472.0
275,-558.0
276,452.0
277,-615.0
278,-582.0
279,452.0
280,-564.0
281,457.0
282,445.0
283,-574.0
284,468.0
285,-628.0
286,-570.0
287,451.0
288,-559.0
289,467.0
290,-561.0
291,438.0
292,-570.0
293,460.0
294,-565.0
295,449.0
296,-578.0
297,-568.0
298,484.0
299,-553.0
300,466.0
301,457.0
302,-559.0
303,-587.0
304,469.0
305,-567.0
306,468.0
307,-567.0
308,490.0
309,-567.0
310,-579.0
311,467.0
312,-572.0
313,456.0
314,438.0
315,-580.0
316,469.0
317,-561.0
318,455.0
319,407.0
320,-559.0
321,459.0
322,405.0
323,452.0
324,-571.0
325,490.0
326,448.0
327,428.0
328,-603.0
329,457.0
330,432.0
331,-568.0
332,-577.0
333,464.0
334,-571.0
335,-582.0
336,491.0
337,444.0
338,448.0
339,454.0
340,-550.0
341,470.0
342,-586.0
343,472.0
344,-554.0
345,453.0
346,-587.0
347,462.0
348,-597.0
349,459.0
350,455.0
351,453.0
352,415.0
353,409.0
354,434.0
355,454.0
356,447.0
357,-641.0
358,-577.0
359,469.0
360,-565.0
361,462.0
362,-571.0
363,489.0
364,408.0
365,444.0
366,438.0
367,-551.0
368,-593.0
369,467.0
370,-561.0
371,445.0
372,-578.0
373,407.0
374,-550.0
375,-567.0
376,464.0
377,-577.0
378,457.0
379,-565.0
380,-574.0
381,-585.0
382,-573.0
383,458.0
384,433.0
385,455.0
386,-597.0
387,456.0
388,-575.0
389,459.0
390,417.0
391,471.0
392,455.0
393,456.0
394,-562.0
395,459.0
396,463.0
397,-553.0
398,472.0
399,-580.0
400,-579.0
401,461.0
402,-573.0
403,464.0
404,473.0
405,434.0
406,458.0
407,453.0
408,463.0
409,449.0
410,450.0
411,-607.0
412,461.0
413,439.0
414,450.0
415,446.0
416,-568.0
417,463.0
418,-574.0
419,-581.0
420,456.0
421,448.0
422,457.0
423,466.0
424,443.0
425,433.0
426,-559.0
427,468.0
428,456.0
429,449.0
430,430.0
431,450.0
432,457.0
433,448.0
434,-577.0
435,444.0
436,432.0
437,434.0
438,438.0
439,428.0
440,443.0
441,419.0
442,-618.0
443,-574.0
444,459.0
445,-566.0
446,-592.0
447,-587.0
448,459.0
449,425.0
450,431.0
451,453.0
452,-558.0
453,-607.0
454,453.0
455,420.0
456,468.0
457,463.0
458,-618.0
459,-576.0
460,-598.0
461,480.0
462,457.0
463,426.0
464,451.0
465,448.0
466,-586.0
467,479.0
468,451.0
469,-582.0
470,-586.0
471,-575.0
472,465.0
473,408.0
474,474.0
475,-602.0
476,469.0
477,-562.0
478,459.0
479,-629.0
480,459.0
481,425.0
482,-591.0
483,-600.0
484,-571.0
485,465.0
486,-589.0
487,-582.0
488,-569.0
489,454.0
490,-580.0
491,442.0
492,472.0
493,468.0
494,461.0
495,-577.0
496,473.0
497,-563.0
498,462.0
499,424.0
500,-601.0
501,465.0
502,456.0
503,-614.0
504,463.0
505,454.0
506,451.0
507,427.0
508,-564.0
509,477.0
510,-554.0
511,460.0
512,410.0
513,456.0
514,424.0
