,reward
0,582.0
1,-620.1335778501299
2,-789.4686703063824
3,-801.0619333673407
4,-696.2995174725851
5,-465.3942859172821
6,-802.4908862908682
7,-497.658804708057
8,-799.8744498976955
9,-500.2393914770197
10,-1649.3614885277218
11,-795.5521594771633
12,-658.5786658922832
13,-798.0694612043875
14,-597.6225783295101
15,-799.3509787276939
16,-793.5503062672085
17,-548.6571122275459
18,-788.1324853897095
19,-459.995978611487
20,-797.4208004121427
21,-801.0524010393355
22,-795.0474560437378
23,-493.6816174542463
24,-801.646494521035
25,-489.0434331275799
26,-811.6908624525423
27,-811.9844859706031
28,-464.87312867023326
29,-1648.0
30,-1687.008813487159
31,553.2057307826148
32,-795.812914548097
33,-580.6079999517511
34,-601.6729957527584
35,-575.7103643505661
36,-680.3824707225517
37,-474.2529098192851
38,-493.5690729529769
39,-584.1033008098602
40,-803.2494417826335
41,-645.3088715517964
42,429.2613519650918
43,-643.1119035879772
44,-451.1840943672039
45,-586.6576880790569
46,-627.118357013773
47,-565.7757017524154
48,621.1796703426926
49,-607.3683518303765
50,640.0
51,-561.9623430216755
52,540.9582292415478
53,-598.1082559161716
54,-604.1681095494164
55,668.0
56,-496.11946922761433
57,-651.0634468396505
58,697.888740574872
59,-484.1009896684576
60,-726.2606502815529
61,666.0
62,-554.5211231973437
63,506.0
64,-576.4338355417605
65,-547.7977447598068
66,-436.20555061764185
67,-656.2470778359308
68,475.9423652136767
69,-544.1540602048238
70,-529.9259132809109
71,592.0
72,-689.3778726171564
73,-469.9380735821194
74,672.7850742163482
75,-526.8639765492192
76,652.0
77,-519.4532243940565
78,728.0
79,-507.1215700396785
80,758.2115537413845
81,-469.3667703734504
82,-492.13239313938
83,554.8431197272407
84,-528.9904096568073
85,-447.84271089235943
86,-517.9637436601851
87,760.0
88,893.9999999999998
89,634.0967174194477
90,-607.5972811469326
91,657.8949671498051
92,-557.7757677855316
93,799.8441832153884
94,-396.347536413758
95,650.7306905675817
96,-511.6399033422823
97,694.0
98,-665.3876879391846
99,648.8121566507551
100,786.0069115868321
101,-534.8171161192435
102,706.0
103,875.9999999999998
104,712.0197458355515
105,-629.2247873853754
106,-480.98119311862524
107,657.4496472411686
108,-576.9452879428864
109,-463.68061133667277
110,-514.1076583685699
111,622.781641209567
112,814.9776859548356
113,836.1429283442321
114,919.9999999999999
115,-559.6523181685695
116,708.0
117,-571.312145339118
118,772.0
119,674.0
120,-567.9485739866893
121,762.0
122,-533.7393638381251
123,640.6511582710125
124,1004.609843360053
125,-492.6129379802279
126,725.0964561921578
127,859.9999999999998
128,823.9999999999999
129,-488.3398713535733
130,724.0
131,817.9999999999999
132,902.0
133,-334.95594582734293
134,560.0
135,-590.2444466131705
136,-441.622042770739
137,688.0
138,-582.17758013584
139,698.0
140,-580.1063025880744
141,685.4337001200075
142,-280.77718202273064
143,704.0
144,-388.5218757435128
145,692.5323682802696
146,778.0
147,789.9999999999998
148,815.9999999999998
149,897.9999999999999
150,-590.3514538694311
151,-457.9409640806693
152,-508.8845536179013
153,754.0
154,639.3726626855355
155,-610.4896917166533
156,-464.52948673566186
157,-467.31863862496834
158,566.0
159,-595.2706160103833
160,506.3521342277527
161,873.3884525210769
162,-527.8024906405695
163,558.0
164,748.0
165,718.0
166,-619.4026829931472
167,724.0
168,-488.7475741969215
169,682.0
170,-612.3226405073095
171,701.1563853511104
172,775.9999999999998
173,908.0
174,-344.216569626773
175,663.1497107170246
176,-631.0051897631752
177,740.0692929073616
178,1030.4456663131712
179,-387.01770120196875
180,755.9999999999999
