,loss
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,-244.95261154174804
19,-2316.123457475142
20,183.55473486582437
21,-400.6654970305307
22,-356.17836244371205
23,-1272.0060515227142
24,-1838.763232000943
25,-2614.0160469386888
26,-2779.151792464718
27,-2994.9140123869242
28,-3607.986124674479
29,-3577.7431030273438
30,-3708.638289741848
31,-3790.4207724294356
32,-3981.1380260836695
33,-4179.313741629464
34,-4124.913012695312
35,-4156.049469866071
36,-4020.7194091796873
37,-4170.089486929087
38,-4199.367299397786
39,-4237.260082579495
40,-4043.4007364908853
41,-4188.0029629794035
42,-4200.4908447265625
43,-4308.871148003473
44,-4207.528901599702
45,-4084.9706587357955
46,-4219.643662489854
47,-4412.094008501838
48,-4871.861795479911
49,-4477.2723034274195
50,-4573.965181790865
51,-4493.565196161685
52,-4492.9323070629225
53,-4483.566786024306
54,-4503.433030731824
55,-4471.917499248798
56,-4398.601704915364
57,-4171.682492115458
58,-4507.1683349609375
59,-5103.288251953125
60,-4985.072163899739
61,-5086.507106236049
62,-5272.941009521484
63,-5220.595194498698
64,-5152.316537710337
65,-5388.514385516827
66,-5313.183606465657
67,-5202.4594837535515
68,-5555.4957275390625
69,-5723.905882504112
70,-5566.69921875
71,-5831.028210055443
72,-6008.402134486607
73,-6165.413504464285
74,-6116.241830008371
75,-6345.474400111607
76,-6634.970703125
77,-6895.21396484375
78,-6724.087095869349
79,-6864.9518044211645
80,-7069.63330078125
81,-7021.569409919508
82,-7044.942311604817
83,-7014.150800151209
84,-7082.551842730978
85,-7126.423059800092
86,-7022.221174568966
87,-6745.341796875
88,-7338.15607287837
89,-7722.078635992006
90,-7989.888470458985
91,-8170.985935899078
92,-8814.292432598038
93,-8327.106001420454
94,-8595.88380714699
95,-8819.848012115996
96,-9961.022420247396
97,-9848.44698392428
98,-9744.71802520752
99,-9908.489116053428
100,-9855.843933105469
101,-9852.769710286459
102,-10481.050181361607
103,-10832.681564331055
104,-10293.247998046874
105,-11530.885908410904
106,-11673.879603794643
107,-11973.883705950799
108,-11832.977476058468
109,-12486.58349609375
110,-12163.535145635191
111,-12966.448588053385
112,-12324.32275390625
113,-12605.2041015625
114,-13554.473547894022
115,-13236.46826171875
116,-13113.21089504076
117,-12668.1875
118,-12956.606689453125
119,-12285.150024414062
120,-13272.333697150736
121,-13112.98230561756
122,-12673.727864583334
123,-12910.033621651786
124,-13981.180401141826
125,-13026.807349795386
126,-13495.085818728885
127,-14653.2501953125
128,-15416.966851738061
129,-17132.736481584823
130,-17319.34123347356
131,-17917.989611037236
132,-18521.661017922794
133,-18260.4709765625
134,-18822.142485119046
135,-18257.748883928572
136,-19715.585639105902
137,-20347.339780061142
138,-20547.260387073864
139,-20451.404651988636
140,-21180.5329296875
141,-21643.466272865855
142,-21738.21924867021
143,-20516.01171875
144,-22042.767068614132
145,-21558.9240171371
146,-23631.02322048611
147,-23136.197576992752
148,-23323.096727324693
149,-23905.302180989584
150,-24863.524395636792
151,-25137.580180921053
152,-24618.210571289062
153,-25007.545458984376
154,-25256.47674005682
155,-25970.818617334906
156,-26043.41796875
157,-26727.714322916665
158,-26871.012822690216
159,-27493.71408420139
160,-28415.197690217392
161,-27842.85062839674
162,-28673.797094452246
163,-28740.493785511364
164,-29658.24710648148
165,-30209.553659539473
166,-30810.727430555555
167,-31134.07009548611
168,-31931.99711277174
169,-32952.746132046566
170,-32719.69486607143
171,-33669.203218005954
172,-29863.072265625
173,-33711.31125332447
174,-32611.521689967107
175,-35598.30191200658
176,-32754.75
177,-33089.3421875
178,-34428.97174944197
179,-34864.8826234879
180,-33390.07820638021
181,-36043.65053013393
182,-37777.451953125
183,-36875.430536684784
184,-37049.336741727944
185,-38589.30508961397
186,-38949.47842945772
187,-40732.47727272727
188,-40170.659505208336
189,-40469.79518581081
190,-41165.701171875
191,-41570.48046875
192,-40683.396223958334
193,-41877.45522836538
194,-42456.233570772056
195,-43636.677139945656
196,-43159.035819575474
197,-45150.34905133928
198,-45696.19690393518
199,-44286.62284482759
200,-45040.96703125
201,-48060.39453125
202,-42768.60816592262
203,-45031.99069010417
204,-46733.950294384056
205,-47333.019775390625
206,-48157.8514939693
207,-48580.169069102114
208,-49984.31852921196
209,-51076.83877840909
210,-50988.765490301725
211,-52176.16056743421
212,-51030.196875
213,-51147.060738357846
214,-51779.068298339844
215,-53408.013671875
216,-54525.907112418834
217,-55448.90211397059
218,-55901.51060267857
219,-55190.33372961957
220,-55958.85561342593
221,-56000.99073660714
222,-57374.389322916664
223,-56431.52844551282
224,-55751.79867788462
225,-58523.98904079861
226,-58223.147429435485
227,-57869.112432065216
228,-57295.91005608974
229,-58961.175537109375
230,-59738.194010416664
231,-60822.49287109375
232,-60459.648697916666
233,-60198.29794730392
234,-61854.96185980903
235,-63251.60009765625
236,-62693.44951171875
237,-62164.014122596156
238,-63233.68207465278
239,-61801.94456845238
240,-63867.350142045456
241,-65145.323918269234
242,-65332.81300951087
243,-65641.49776785714
244,-66969.85657269022
245,-67418.48096838663
246,-66745.14229910714
247,-68312.6946875
248,-68054.85251266892
249,-70828.28989955357
250,-72061.26345486111
251,-70993.02578125
252,-70821.2193359375
253,-72473.54248046875
254,-72901.828125
255,-71993.38994565218
256,-74700.03781467014
257,-75066.52435378087
258,-75679.68196128731
259,-76947.19405241935
260,-78311.38778409091
261,-77592.91658266129
262,-78351.66264204546
263,-78969.44140625
264,-78482.390625
265,-81531.63515625
266,-80738.53292410714
267,-81580.10648148147
268,-81812.67528044872
269,-82409.24431818182
270,-81967.00540865384
271,-83228.24544270833
272,-83696.94944852941
273,-84138.21388888889
274,-86245.72252155172
275,-85322.58735795454
276,-86283.21205357143
277,-86874.33072916667
278,-87883.98102678571
279,-88181.39131433824
280,-89820.5625
281,-88956.93548387097
282,-89541.025
283,-91091.92373511905
284,-91553.74575892858
285,-92611.27514648438
286,-92038.83380681818
287,-92559.25625
288,-94533.3359375
289,-94415.2209375
290,-94735.94578125
291,-95364.86311141304
292,-97166.46187033581
293,-97759.51302083333
294,-97870.53002929688
295,-98002.064453125
296,-99967.92057291667
297,-97713.56875
298,-98678.30304939517
299,-100650.01046080509
300,-101629.42421875
301,-102146.85305606617
302,-103494.69672131147
303,-104118.96502976191
304,-102924.02490234375
305,-104291.98928931452
306,-105958.36305147059
307,-106862.971875
308,-108193.7823275862
309,-106485.60309103261
310,-108815.19205729167
311,-109316.39955357143
312,-109216.90133928572
313,-110445.20970982143
314,-112699.80729166667
315,-113391.71607142857
316,-115460.521484375
317,-114288.96338619402
318,-113673.25180288461
319,-114527.33911132812
320,-115298.76119791667
321,-114987.89223345589
322,-115413.68615301725
