,reward
0,478.0
1,-643.0
2,-577.0
3,-577.0
4,-577.0
5,-588.0
6,-577.0
7,-577.0
8,-579.0
9,-577.0
10,-577.0
11,-579.0
12,-577.0
13,-579.0
14,-579.0
15,-577.0
16,-577.0
17,-577.0
18,-579.0
19,-579.0
20,-587.0
21,-577.0
22,-577.0
23,-577.0
24,-579.0
25,-579.0
26,-579.0
27,-577.0
28,-577.0
29,-577.0
30,-579.0
31,-577.0
32,236.0
33,-563.0
34,-633.0
35,-599.0
36,-578.0
37,-568.0
38,-569.0
39,-574.0
40,-572.0
41,-589.0
42,-583.0
43,-573.0
44,-593.0
45,-575.0
46,-567.0
47,-601.0
48,-618.0
49,410.0
50,-611.0
51,-570.0
52,490.0
53,-554.0
54,398.0
55,-614.0
56,-682.0
57,-567.0
58,-568.0
59,-609.0
60,-565.0
61,-566.0
62,-580.0
63,-603.0
64,-570.0
65,-573.0
66,453.0
67,-568.0
68,-572.0
69,-570.0
70,-574.0
71,-572.0
72,-570.0
73,-572.0
74,-583.0
75,468.0
76,-603.0
77,-569.0
78,-567.0
79,-590.0
80,-579.0
81,449.0
82,-563.0
83,445.0
84,399.0
85,-557.0
86,-570.0
87,-572.0
88,-584.0
89,-579.0
90,-582.0
91,469.0
92,-565.0
93,-573.0
94,-566.0
95,-579.0
96,-570.0
97,-578.0
98,-575.0
99,480.0
100,-553.0
101,-567.0
102,-570.0
103,482.0
104,-557.0
105,-569.0
106,-572.0
107,-578.0
108,-571.0
109,-589.0
110,-569.0
111,-575.0
112,-595.0
113,-577.0
114,456.0
115,-608.0
116,-583.0
117,-579.0
118,-577.0
119,-569.0
120,-588.0
121,-576.0
122,478.0
123,-556.0
124,-582.0
125,-577.0
126,-578.0
127,-579.0
128,-596.0
129,480.0
130,-553.0
131,-627.0
132,-582.0
133,-575.0
134,-580.0
135,451.0
136,-584.0
137,-581.0
138,-576.0
139,461.0
140,427.0
141,415.0
142,-611.0
143,-571.0
144,-566.0
145,449.0
146,-575.0
147,461.0
148,453.0
149,409.0
150,-575.0
151,479.0
152,453.0
153,459.0
154,-603.0
155,-583.0
156,-569.0
157,-579.0
158,-587.0
159,-598.0
160,392.0
161,380.0
162,-611.0
163,-575.0
164,-589.0
165,-581.0
166,459.0
167,-558.0
168,-577.0
169,-628.0
170,-582.0
171,-583.0
172,442.0
173,-589.0
174,-572.0
175,-568.0
176,458.0
177,-572.0
178,480.0
179,-586.0
180,-577.0
181,436.0
182,-560.0
183,459.0
184,-607.0
185,454.0
186,-563.0
187,466.0
188,-568.0
189,477.0
190,-553.0
191,459.0
192,-594.0
193,466.0
194,-552.0
195,456.0
196,-563.0
197,-580.0
198,455.0
199,-582.0
200,459.0
201,-580.0
202,485.0
203,-577.0
204,-575.0
205,461.0
206,-569.0
207,431.0
208,445.0
209,-559.0
210,-572.0
211,464.0
212,-564.0
213,-574.0
214,426.0
215,-555.0
216,-582.0
217,-571.0
218,460.0
219,355.0
220,-627.0
221,-572.0
222,450.0
223,-587.0
224,457.0
225,-580.0
226,439.0
227,-586.0
228,-572.0
229,-573.0
230,459.0
231,454.0
232,-637.0
233,-575.0
234,-572.0
235,-583.0
236,460.0
237,434.0
238,-601.0
239,-584.0
240,-584.0
241,467.0
242,-576.0
243,-586.0
244,-575.0
245,484.0
246,451.0
247,-558.0
248,-573.0
249,457.0
250,-573.0
251,477.0
252,-552.0
253,459.0
254,-594.0
255,415.0
256,-565.0
257,481.0
258,-550.0
259,449.0
260,-560.0
261,-567.0
262,-592.0
263,463.0
264,-583.0
265,490.0
266,-555.0
267,-569.0
268,-571.0
269,488.0
270,-554.0
271,447.0
272,-615.0
273,-571.0
274,449.0
275,-580.0
276,-584.0
277,-626.0
278,463.0
279,-608.0
280,-569.0
281,-588.0
282,456.0
283,444.0
284,452.0
285,-577.0
286,-571.0
287,462.0
288,446.0
289,-551.0
290,467.0
291,-557.0
292,-569.0
293,460.0
294,-564.0
295,485.0
296,439.0
297,466.0
298,-608.0
299,432.0
300,446.0
301,-613.0
302,482.0
303,-561.0
304,467.0
305,-559.0
306,456.0
307,-575.0
308,471.0
309,465.0
310,-601.0
311,485.0
312,-566.0
313,-573.0
314,-583.0
315,-591.0
316,483.0
317,-573.0
318,-567.0
319,-571.0
320,-571.0
321,437.0
322,-565.0
323,452.0
324,466.0
325,-580.0
326,-569.0
327,-567.0
328,454.0
329,435.0
330,446.0
331,-550.0
332,-587.0
333,457.0
334,-567.0
335,460.0
336,-609.0
337,-573.0
338,462.0
339,-595.0
340,-587.0
341,-572.0
342,-579.0
343,-587.0
344,-572.0
345,461.0
346,-569.0
347,464.0
348,-568.0
349,-589.0
350,463.0
351,446.0
352,-578.0
353,484.0
354,-556.0
355,-577.0
356,-573.0
357,-583.0
358,469.0
359,-551.0
360,462.0
361,-576.0
362,455.0
363,411.0
364,-630.0
365,-582.0
366,426.0
367,443.0
368,-559.0
369,437.0
370,394.0
371,449.0
372,-577.0
373,462.0
374,-585.0
375,-572.0
376,-576.0
377,-566.0
378,463.0
379,462.0
380,435.0
381,-555.0
382,-599.0
383,449.0
384,-573.0
385,483.0
386,-617.0
387,-572.0
388,-584.0
389,-571.0
390,474.0
391,-565.0
392,452.0
393,-565.0
394,-578.0
395,464.0
396,-590.0
397,454.0
398,-595.0
399,481.0
400,-557.0
401,-590.0
402,-587.0
403,-592.0
404,-574.0
405,435.0
406,448.0
407,-554.0
408,-576.0
409,-574.0
410,485.0
411,-588.0
412,-587.0
413,463.0
414,-598.0
415,458.0
416,-581.0
417,460.0
418,432.0
419,-569.0
420,456.0
421,-577.0
422,-595.0
423,-571.0
424,-573.0
425,-573.0
426,-569.0
427,459.0
428,-624.0
429,-573.0
430,-577.0
431,477.0
432,-551.0
433,489.0
434,-553.0
435,-567.0
436,457.0
437,-567.0
438,-571.0
439,-595.0
440,-582.0
441,-581.0
442,-571.0
443,456.0
444,-585.0
445,457.0
446,-564.0
447,-572.0
448,471.0
449,-569.0
450,487.0
451,-597.0
452,-578.0
453,-581.0
454,459.0
455,-566.0
456,-572.0
457,479.0
458,-598.0
459,465.0
460,-589.0
461,457.0
462,428.0
463,-577.0
464,459.0
465,447.0
466,-577.0
467,-588.0
468,-573.0
469,453.0
470,-621.0
471,-578.0
472,-644.0
473,468.0
474,432.0
475,-567.0
476,-575.0
477,-574.0
478,-574.0
479,464.0
480,-614.0
481,-578.0
482,459.0
483,420.0
484,-564.0
485,459.0
486,-613.0
487,427.0
488,-564.0
489,-570.0
490,463.0
491,-565.0
492,459.0
493,474.0
494,-578.0
495,456.0
496,-570.0
497,441.0
498,-582.0
499,456.0
500,470.0
501,-555.0
502,460.0
503,-567.0
504,451.0
505,399.0
506,-565.0
507,-585.0
508,460.0
509,426.0
510,464.0
511,-567.0
512,-577.0
513,456.0
514,463.0
515,-555.0
516,-575.0
517,-573.0
518,-581.0
519,472.0
520,457.0
521,445.0
522,459.0
523,-554.0
524,472.0
525,458.0
526,-557.0
527,459.0
528,446.0
529,404.0
530,463.0
531,423.0
532,-614.0
533,-579.0
534,-593.0
535,456.0
536,-626.0
537,467.0
538,-612.0
539,464.0
540,-565.0
541,-591.0
542,447.0
543,-563.0
544,465.0
545,463.0
546,-593.0
547,440.0
548,-576.0
549,465.0
550,-565.0
551,-581.0
552,-589.0
553,460.0
554,-575.0
555,-587.0
556,481.0
557,-557.0
558,-574.0
559,482.0
560,-551.0
561,429.0
562,-574.0
563,454.0
564,445.0
565,389.0
566,401.0
567,-566.0
568,-569.0
569,468.0
570,460.0
571,-590.0
572,467.0
573,-562.0
574,462.0
575,431.0
576,-560.0
577,434.0
578,-567.0
579,-567.0
580,444.0
581,478.0
582,-601.0
583,483.0
584,436.0
585,419.0
586,444.0
587,442.0
588,-602.0
589,425.0
590,416.0
591,-624.0
592,453.0
593,-571.0
594,461.0
595,455.0
596,-570.0
597,456.0
598,-617.0
599,432.0
600,-555.0
601,436.0
602,461.0
603,-593.0
604,-579.0
605,462.0
606,-566.0
607,445.0
608,389.0
609,-561.0
610,-580.0
611,453.0
612,448.0
613,-569.0
614,476.0
615,456.0
616,-552.0
617,457.0
618,420.0
619,-585.0
620,436.0
621,444.0
622,444.0
623,-590.0
624,458.0
625,421.0
626,465.0
627,386.0
628,-550.0
629,421.0
630,414.0
631,465.0
632,450.0
633,426.0
634,439.0
635,-595.0
636,385.0
637,-588.0
638,-576.0
639,441.0
640,-559.0
641,450.0
642,455.0
643,451.0
644,463.0
645,437.0
646,423.0
647,-641.0
648,473.0
649,466.0
650,-568.0
651,456.0
652,-603.0
653,467.0
654,464.0
655,-592.0
656,445.0
657,378.0
658,430.0
659,453.0
660,-663.0
661,416.0
662,-551.0
663,433.0
664,-604.0
665,430.0
666,445.0
667,448.0
668,457.0
669,466.0
670,457.0
671,435.0
672,-630.0
673,448.0
674,-581.0
675,427.0
676,408.0
677,446.0
678,-562.0
679,426.0
680,-554.0
681,435.0
682,417.0
683,388.0
684,464.0
685,448.0
686,437.0
687,410.0
688,-571.0
689,-580.0
690,-580.0
691,381.0
692,434.0
693,430.0
694,403.0
695,440.0
696,-620.0
697,458.0
698,-571.0
699,458.0
700,-591.0
701,444.0
702,409.0
703,459.0
704,427.0
705,459.0
706,447.0
707,426.0
708,-605.0
709,414.0
710,437.0
711,443.0
712,-583.0
713,465.0
714,446.0
715,460.0
716,-608.0
717,-641.0
718,465.0
719,414.0
720,-577.0
721,-587.0
722,-578.0
723,449.0
724,-596.0
725,452.0
726,440.0
727,-622.0
728,478.0
729,-551.0
730,460.0
731,469.0
732,461.0
733,-565.0
734,-596.0
735,425.0
736,-554.0
737,432.0
738,435.0
739,423.0
740,459.0
741,406.0
742,427.0
743,441.0
744,396.0
745,-617.0
746,-596.0
747,-587.0
748,451.0
749,-622.0
750,456.0
751,-686.0
752,-585.0
753,481.0
754,-550.0
755,-617.0
756,-647.0
757,-569.0
758,-569.0
759,451.0
760,385.0
761,-595.0
762,479.0
763,461.0
764,422.0
765,-616.0
766,-573.0
767,459.0
768,-571.0
769,-569.0
770,461.0
771,430.0
772,-656.0
773,466.0
774,435.0
775,-603.0
776,445.0
777,407.0
778,418.0
779,437.0
780,400.0
781,-617.0
782,-567.0
783,459.0
784,434.0
785,413.0
786,-557.0
787,411.0
788,434.0
789,431.0
790,-609.0
791,454.0
792,-639.0
793,461.0
794,464.0
795,468.0
796,430.0
797,441.0
798,447.0
799,-567.0
800,463.0
801,435.0
802,-561.0
803,471.0
804,-578.0
805,-594.0
806,-576.0
807,452.0
808,454.0
809,414.0
810,-610.0
811,-577.0
812,468.0
813,414.0
814,-611.0
815,460.0
816,-617.0
817,445.0
818,410.0
819,399.0
820,450.0
821,-590.0
822,452.0
823,456.0
824,-647.0
825,467.0
826,-584.0
827,437.0
828,-558.0
829,470.0
830,-560.0
831,467.0
832,464.0
833,-575.0
834,453.0
835,420.0
836,470.0
837,-573.0
838,452.0
839,411.0
840,447.0
841,436.0
842,450.0
843,366.0
844,-564.0
845,443.0
846,-595.0
847,433.0
848,-579.0
849,441.0
850,430.0
851,-610.0
852,446.0
853,-560.0
854,-585.0
855,477.0
856,436.0
857,-558.0
858,-580.0
859,-582.0
860,450.0
861,-577.0
862,462.0
863,-618.0
864,468.0
865,442.0
866,-566.0
867,-581.0
868,467.0
869,402.0
870,-616.0
871,-581.0
872,-579.0
873,449.0
874,450.0
875,-563.0
876,-580.0
877,-567.0
878,-581.0
879,468.0
880,-569.0
881,464.0
882,437.0
883,429.0
884,448.0
885,-619.0
886,469.0
887,-573.0
888,464.0
889,-625.0
890,-585.0
891,457.0
892,457.0
893,432.0
894,-571.0
895,449.0
896,425.0
897,460.0
898,-606.0
899,-575.0
900,462.0
901,461.0
902,-558.0
903,-591.0
904,444.0
905,442.0
906,440.0
907,443.0
908,462.0
909,451.0
910,420.0
911,-633.0
912,449.0
913,440.0
914,-598.0
915,-572.0
916,466.0
917,443.0
918,421.0
919,-591.0
920,-576.0
921,470.0
922,-576.0
923,447.0
924,427.0
925,429.0
926,-576.0
927,461.0
928,-567.0
929,468.0
930,-571.0
931,453.0
932,-585.0
933,461.0
934,-559.0
935,-587.0
936,421.0
937,-615.0
938,468.0
939,428.0
940,440.0
941,468.0
942,-568.0
943,-573.0
944,486.0
945,465.0
946,433.0
947,428.0
948,423.0
949,435.0
950,455.0
951,-553.0
952,456.0
953,-569.0
954,460.0
955,446.0
956,-552.0
957,479.0
958,-550.0
959,466.0
960,-570.0
961,457.0
962,430.0
963,443.0
964,-575.0
965,463.0
966,468.0
967,448.0
968,-580.0
969,460.0
970,467.0
971,453.0
972,423.0
973,460.0
974,-592.0
975,458.0
976,-592.0
977,465.0
978,462.0
979,473.0
980,-610.0
981,457.0
982,-582.0
983,-574.0
984,468.0
985,-599.0
986,-580.0
987,460.0
988,-569.0
989,464.0
990,462.0
991,-551.0
992,468.0
993,462.0
994,-556.0
995,456.0
996,454.0
997,442.0
998,446.0
999,-553.0
1000,449.0
