,loss
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,-36.96443928309849
18,3973.1660258992515
19,9442.701971028646
20,11858.1137890625
21,5113.784806518554
22,3701.3483659871417
23,5722.399732055664
24,8906.403570048014
25,12288.055300292968
26,14611.73266764323
27,19108.139724934896
28,22818.96181640625
29,27112.44272786458
30,32365.7107421875
31,38190.232259114586
32,44091.926432291664
33,50113.536158854164
34,54652.73783854167
35,59341.395416666666
36,65238.992799479165
37,71134.57407552084
38,74325.3458984375
39,80013.81838541667
40,85350.97553385417
41,92240.68591145833
42,97980.00927083334
43,103307.54859375
44,108869.34260416667
45,115339.94682291667
46,121795.90953125
47,127490.98236979167
48,134374.04130208332
49,139866.74317708332
50,146522.78575520834
51,152404.63252604168
52,156124.98151041666
53,164722.76940104167
54,168802.34432291667
55,176983.695625
56,184338.13901041666
57,190689.51755208333
58,195351.7684375
59,204601.44401041666
60,210726.22828125
61,213547.8084375
62,223440.81953125
63,230249.17286458332
64,236510.03
65,242066.96739583334
66,247836.7446875
67,252213.26005208332
68,258871.8640625
69,266534.075
70,267888.2178125
71,277556.44729166664
72,281516.69265625
73,287210.9111458333
74,282315.50286458334
75,276215.71875
76,254469.10994791667
77,242298.36078125
78,228547.91927083334
79,232772.06875
80,237204.8225
81,240526.31916666665
82,244451.97833333333
83,248294.95994791668
84,252661.32234375
85,256615.13385416666
86,260610.2359375
87,264198.70947916666
88,268710.84182291664
89,272297.02578125
90,276164.268125
91,279083.794375
92,282388.245
93,285949.3770833333
94,289503.60552083334
95,293104.0075
96,296967.0055208333
97,300119.41010416666
98,304381.2579166667
99,307375.689375
100,311223.4825
101,315238.9721875
102,318522.19458333333
103,321875.1323958333
104,325029.8709375
105,328682.8796875
106,332247.4216666667
107,336311.7040625
108,339450.8561458333
109,343287.20364583336
110,346620.2635416667
111,350108.6610416667
112,353468.49854166666
113,356757.4426041667
114,360766.823125
115,364068.4247916667
116,367722.7090625
117,370992.8178125
118,374118.8651041667
119,377193.0597916667
120,380501.09541666665
121,383428.36802083335
122,386659.9144791667
123,390060.30625
124,393209.7757291667
125,396170.5833333333
126,399298.736875
127,402920.29333333333
128,407410.2452083333
129,410045.15291666664
130,413109.8996875
131,416849.19604166667
132,420148.4590625
133,423326.05041666667
134,427760.993125
135,430749.4040625
136,433935.2002083333
137,436856.9671875
138,439821.7060416667
139,442449.47708333336
140,445503.8827083333
141,448437.040625
142,451481.881875
143,455478.5282291667
144,458524.2271875
145,460973.8310416667
146,464481.63708333333
147,467900.025625
148,471262.14666666667
149,475172.6053125
150,477867.7607291667
151,480624.60552083334
152,483948.2498958333
153,487722.9454166667
154,491002.7233333333
155,493933.0392708333
156,497371.5965625
157,500481.64177083335
158,504530.33510416665
159,507616.9266666667
160,511108.0858333333
161,514066.2945833333
162,516553.56135416665
163,519694.36333333334
164,522434.19708333333
165,525119.6386458334
166,528436.5172916667
167,531974.7491666666
168,535030.1886458333
169,537261.3608333333
170,540827.6179166667
171,543461.4408333333
172,546827.585625
173,549821.5885416666
174,553693.5760416667
175,556215.3679166667
176,559271.7727083333
177,562984.0402083333
178,565819.5335416667
179,568661.1085416666
180,572594.2445833334
181,575097.035
182,577534.2879166667
183,580342.0297916667
184,583675.7783333333
185,586323.969375
186,588821.7708333334
187,592069.939375
188,594847.3633333333
189,597393.4547916667
190,600040.8841666667
191,602724.8283333334
192,605406.7452083334
193,608068.256875
194,611051.1266666667
195,613534.8304166667
196,616694.9445833333
197,618772.618125
198,621583.3504166667
199,624399.9539583334
200,627197.89625
201,630051.9489583333
202,632566.1889583333
203,634885.8883333333
204,637966.5402083333
205,640621.9108333334
206,642903.65125
207,645943.101875
208,648613.7464583333
209,651196.6204166666
210,654054.0222916667
211,656482.5366666666
212,659170.273125
213,661757.49125
214,664306.2389583334
215,667076.2564583333
216,670027.72375
217,672763.5295833333
218,675454.131875
219,678256.1266666667
220,681346.88625
221,684097.929375
222,686344.6479166667
223,688904.600625
224,691731.7275
225,693974.315
226,696785.3964583334
227,699482.96625
228,701705.91875
229,704747.4679166666
230,707045.2372916667
231,709462.9054166666
232,711896.2258333333
233,714831.94625
234,717111.30875
235,719267.7735416667
236,721415.085
237,723644.2922916666
238,725925.5658333333
239,728383.1139583334
240,730879.284375
241,732986.1339583333
242,734933.4622916667
243,738118.2745833333
244,739933.059375
245,742767.0829166666
246,745292.6083333333
247,748336.8377083334
248,750215.1710416666
249,753422.979375
250,755344.4975
251,758111.7427083333
252,759911.005
253,762133.7320833333
254,764989.794375
255,766839.646875
256,769204.968125
257,771971.7108333333
258,773247.3797916666
259,775691.6641666667
260,777801.5329166667
261,780336.465625
262,782490.9902083334
263,785015.8347916667
264,787400.4289583333
265,789323.6639583333
266,791930.516875
267,794062.8372916667
268,796262.413125
269,798596.3441666666
270,801144.5422916666
271,803352.57375
272,805676.9558333333
273,807734.553125
274,810037.0175
275,812223.6966666667
276,814188.0395833333
277,816387.8397916667
278,818149.2497916666
279,820022.4297916667
280,822011.6470833333
281,824900.92
282,826428.3270833333
283,828626.7839583333
284,830920.1395833333
285,833225.8329166666
286,834943.7672916667
287,837307.3870833333
288,839213.5827083334
289,841600.3554166667
290,844012.0002083334
291,845967.4752083333
292,848405.134375
293,850442.8572916667
294,852260.2785416667
295,854547.3004166667
296,856334.025
297,859076.968125
298,860726.32375
299,862663.9722916667
300,864855.003125
301,866686.4970833333
302,868497.8102083333
303,870782.92125
304,872680.6772916666
305,875030.3333333334
306,876506.5385416667
307,878487.2945833333
308,880050.33
309,882247.1302083334
310,884441.5327083333
311,886470.9864583333
312,888195.05
313,890896.0160416666
314,892332.0260416666
315,894744.6325
316,896324.4747916666
317,897725.52375
318,900424.981875
319,902162.135
320,903944.88625
321,905831.2816666666
322,907151.281875
323,909408.6235416667
324,911339.5895833333
325,912932.175
326,914368.8072916666
327,916938.2139583334
328,918717.070625
329,920569.96
330,922283.8304166667
331,924078.1897916667
332,925874.845625
333,927941.1379166667
334,930177.8522916667
335,931795.4433333334
336,932937.8685416667
337,934462.4870833333
338,936109.379375
339,937575.1383333333
340,939559.7977083334
341,941029.97625
342,942609.9377083334
343,944232.5416666666
344,945696.9914583333
345,947814.33
346,949024.4366666666
347,951108.424375
348,952708.6666666666
349,954049.1995833333
350,956431.764375
351,957431.741875
352,959287.94625
353,960450.6491666667
354,962658.9475
355,963267.2127083334
356,965741.331875
357,967289.3516666667
358,969019.9291666667
359,970710.2175
360,971913.40375
361,973569.0495833333
362,975604.3575
363,977111.5460416666
364,978737.0970833333
365,980113.4204166667
366,982009.4304166667
367,983857.2285416666
368,985441.0514583334
369,987609.97125
370,988705.3852083334
