,loss
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,18.931740990767242
21,18.0381671778361
22,16.617858982086183
23,16.476771535873414
24,16.58837630016969
25,16.56171939531962
26,16.718346301173664
27,16.002027978897093
28,15.620401620864868
29,15.472884267171224
30,15.440038375854492
31,15.227663780848186
32,15.271605320748566
33,15.782691802507566
34,16.28983575105667
35,15.505055700937907
36,15.539752509004327
37,15.987587893803914
38,16.13061756807215
39,16.72939292420732
40,16.71542259625026
41,16.870512237548827
42,16.807380174001057
43,17.37226618891177
44,17.431742118199665
45,17.523809608322622
46,17.60455049196879
47,17.67891788482666
48,17.57298936717836
49,17.182907101313273
50,16.874295864105225
51,16.880023469924925
52,17.06528675100191
53,16.98761943348667
54,17.370847721099853
55,17.008832372029623
56,17.205635398228964
57,17.044124857584634
58,17.587414741516113
59,17.77284080474103
60,17.413370883826055
61,17.91185722033183
62,17.935691759183808
63,17.58917546272278
64,17.741986662546793
65,17.5864123202659
66,17.683245388666787
67,17.905512682596843
68,17.8152420202891
69,17.773400999704997
70,17.777606506501474
71,17.498836177190146
72,17.956549303247293
73,17.349344104131063
74,16.946219743092854
75,17.109985129421496
76,16.665409088134766
77,16.891876967748008
78,16.643227564493817
79,16.620315974950792
80,16.7650848031044
81,16.931873528162637
82,17.06096257209778
83,17.336842292596486
84,16.730979475864146
85,17.138125916792884
86,17.419920415878295
87,17.360510425864106
88,18.185960938589915
89,17.974042218526204
90,17.628998301823934
91,17.015569146474203
92,16.596136328379313
93,16.510612317493983
94,16.4739431031545
95,16.490000796455867
96,16.49758337988642
97,17.03591183253697
98,16.990027453104656
99,16.820341207362986
100,16.788875385920207
101,16.74577053705851
102,16.61379940032959
103,16.610935296683476
104,17.11972622235616
105,17.19251400060047
106,17.15233367919922
107,17.288684851328533
108,17.258063605626425
109,17.529851643385086
110,18.040325508117675
111,17.764088055292767
112,17.36778450813614
113,17.751465835571288
114,18.011885553995768
115,17.744102433522542
116,17.527419652938843
117,17.627868140538535
118,17.523598769505817
119,17.8011288134257
120,17.762573200861613
121,17.76145900408427
122,17.509406293233237
123,17.584685169855753
124,17.155058987935384
125,17.160032625198365
126,17.052043197429285
127,17.34638531736749
128,17.34009039878845
129,17.369129158655802
130,17.347385193506877
131,17.020398666001725
132,17.262255016962687
133,17.161822525660195
134,17.040682430267335
135,16.543848037719727
136,16.412728029886882
137,16.425127881368002
138,16.216925741099626
139,16.17740310743017
140,17.010307292938233
141,17.573637129465737
142,16.987285884221397
143,16.952986299499006
144,16.699837118784586
145,16.78914477030436
146,16.414494056894323
147,16.162470137278238
148,15.938535341148167
149,16.562645794550576
150,16.488601039250693
151,16.225276234944662
152,16.14948959350586
153,15.992387739817302
154,15.554035717646281
155,15.466229685503452
156,15.537052396317604
157,15.929705959955852
158,15.642687050501506
159,15.447075939178466
160,15.629065119234243
161,15.789366699854533
162,15.48038229306539
163,15.609952440299836
164,16.07316467123972
165,16.17883331298828
166,15.890538628896078
167,16.02665207227071
168,15.8320459206899
169,15.97945242881775
170,16.0033372577868
171,16.48699626604716
172,16.461148824691772
173,16.64558883700602
174,17.200678466161094
175,16.834336205446434
176,17.284446376164755
177,16.94097982788086
178,17.124123551050822
179,17.193777683169344
180,17.21444215986464
181,16.677909015019736
182,16.900698594007448
183,18.822097714742025
184,18.123980700174968
185,18.090335868199666
186,17.954353466033936
187,17.969202111562094
188,17.568180163701374
189,17.68705681392125
190,18.012873611450196
191,17.719888248443603
192,17.761353050867715
193,17.726308883704576
194,17.936778462727865
195,17.696328061421713
196,17.442409187952677
197,17.830874462127685
198,17.408256645202638
199,17.361597522099814
200,17.37581795306245
201,17.923274466196695
202,18.191513134323003
203,18.69197831587358
204,18.865157446885473
205,18.904665023830862
206,18.620801690419515
207,17.905842367808024
208,17.984637463887534
209,17.632645807266236
210,16.99030168215434
211,17.206956933339438
212,17.239906533559164
213,17.051594263712566
214,17.231931657791137
215,16.99205179532369
216,17.0572128645579
217,17.370957318474264
218,17.851631520589194
219,17.803089984770743
220,17.449116582870484
221,17.44133455027705
222,17.8006946512761
223,18.547993886536656
224,19.172826921617663
225,19.336384674467414
226,19.9925599321723
227,19.335276165524043
228,19.367804962793986
229,19.03458075841268
230,19.07568199752916
231,19.18071594874064
232,18.722547602235224
233,19.143922141393027
234,18.959347902933757
235,18.831461000924158
236,19.20403839747111
237,18.846675640741985
238,20.337380999610538
239,18.876698432759166
240,18.69951550777142
241,18.862860295830703
242,18.747111320495605
243,18.636131391525268
244,18.696029311195414
245,18.621610126495362
246,18.612377950880262
247,19.0861303229081
248,19.466241685606594
249,19.214272702534995
250,18.9541032409668
251,19.15393381436666
252,19.400359105763947
253,19.520978390375774
254,18.975676641464233
255,19.042625818252564
256,19.00785036087036
257,18.66312481244405
258,18.846415034511633
259,18.903195479710895
260,19.14748783043695
261,20.447088527679444
262,19.962310676574706
263,19.550202697118124
264,19.90861400961876
265,20.55871359049845
266,21.355487570062383
267,21.06100397427877
268,20.848779830932617
269,20.879665253957114
270,20.421344137191774
271,20.459440804630347
272,20.942466083325836
273,20.469121834437054
274,20.908414566465712
275,21.10519658724467
276,20.833175824483234
277,20.36743596712748
278,19.553231830596925
279,19.20663411500024
280,19.705358587900797
281,19.657650978169976
282,19.786803219769453
283,19.440540186564128
284,19.1562602074941
285,18.98823846761997
286,20.479054478236606
287,20.490021833284633
288,20.274451669657005
289,20.754441223144532
290,20.550441557658466
291,21.047654894728158
292,22.23737803777059
293,21.920591367085773
294,21.625823647181193
295,21.325813967682596
296,22.069245112761287
297,22.504664160410563
298,21.169822757746896
299,21.065273625055948
300,20.87605046590169
301,21.19160304096459
302,21.80140636444092
303,20.974974150609487
304,21.99467042287191
305,21.47891675874432
306,21.062254114249317
307,21.998306593705905
308,22.069835840861003
309,22.364586501825052
310,23.176334864298504
311,22.546010869344077
312,22.322882614135743
313,21.903331219355266
314,21.659474906921385
315,21.403469773997433
316,21.19840044679895
317,21.754022302627565
318,21.65834338768669
319,22.520934505462648
320,21.95465836207072
321,21.653338979791712
322,23.2724547958374
323,23.538403034210205
324,22.140580714588435
325,22.26628719329834
326,21.310936133066814
327,21.090044088363648
328,20.87580952194502
329,21.269234069188435
330,21.037175022761026
331,21.278832779791124
332,20.94947169076151
333,20.044451569065902
334,20.8366521581014
335,19.783305265638564
336,19.28225172360738
337,18.729234784444174
338,18.946658096313477
339,18.879758367538454
340,18.992927062511445
341,17.867114108403523
342,17.520427843729657
343,17.937962446639787
344,18.714037634531657
345,18.35609666188558
346,18.364335406621297
347,18.168479731877646
348,18.160531683864757
349,19.56424501859225
350,19.792366694320332
