,reward
0,478.0
1,-555.0
2,-657.0
3,-578.0
4,-578.0
5,-578.0
6,-578.0
7,-578.0
8,-578.0
9,-578.0
10,-578.0
11,-658.0
12,-578.0
13,-577.0
14,-578.0
15,-577.0
16,-577.0
17,-577.0
18,-578.0
19,-578.0
20,-300.0
21,-300.0
22,-300.0
23,-300.0
24,-751.0
25,-300.0
26,-740.0
27,-300.0
28,-300.0
29,-300.0
30,-300.0
31,-300.0
32,-722.0
33,420.0
34,-581.0
35,-300.0
36,-642.0
37,-300.0
38,-634.0
39,-737.0
40,-689.0
41,-300.0
42,-300.0
43,-618.0
44,-300.0
45,-772.0
46,-300.0
47,-805.0
48,-776.0
49,-300.0
50,-300.0
51,-300.0
52,-732.0
53,-777.0
54,-300.0
55,-300.0
56,-300.0
57,-300.0
58,-603.0
59,-793.0
60,-714.0
61,-300.0
62,347.0
63,-561.0
64,-300.0
65,-845.0
66,-300.0
67,-300.0
68,-300.0
69,-300.0
70,-797.0
71,-300.0
72,-658.0
73,-300.0
74,-300.0
75,252.0
76,-577.0
77,-300.0
78,-300.0
79,341.0
80,-629.0
81,-300.0
82,-300.0
83,-670.0
84,-678.0
85,-760.0
86,-300.0
87,-742.0
88,-724.0
89,-300.0
90,-300.0
91,-300.0
92,-300.0
93,-801.0
94,-300.0
95,-722.0
96,-752.0
97,-731.0
98,-300.0
99,-657.0
100,-300.0
101,-300.0
102,-300.0
103,-694.0
104,-300.0
105,-722.0
106,-300.0
107,-300.0
108,-300.0
109,-775.0
110,-300.0
111,-300.0
112,-668.0
113,-300.0
114,-300.0
115,-300.0
116,-300.0
117,-300.0
118,-300.0
119,-300.0
120,-300.0
121,-300.0
122,-300.0
123,-300.0
124,-300.0
125,-300.0
126,-775.0
127,-788.0
128,-300.0
129,-300.0
130,-300.0
131,-830.0
132,-669.0
133,-300.0
134,-300.0
135,-300.0
136,-300.0
137,-300.0
138,-827.0
139,-652.0
140,-749.0
141,-300.0
142,-300.0
143,-670.0
144,-300.0
145,-579.0
146,-747.0
147,-300.0
148,-732.0
149,-300.0
150,-300.0
151,-300.0
152,-300.0
153,-300.0
154,-300.0
155,-750.0
156,-833.0
157,-300.0
158,-300.0
159,-300.0
160,-682.0
161,-300.0
162,-300.0
163,-800.0
164,-691.0
165,-300.0
166,-300.0
167,-300.0
168,-300.0
169,-300.0
170,-587.0
171,-300.0
172,-300.0
173,-776.0
174,-300.0
175,-840.0
176,-300.0
177,-674.0
178,-300.0
179,-721.0
180,-774.0
181,-300.0
182,-760.0
183,-300.0
184,-300.0
185,-300.0
186,-300.0
187,-300.0
188,-300.0
189,-682.0
190,-300.0
191,-300.0
192,-300.0
193,-752.0
194,-300.0
195,-300.0
196,-300.0
197,-300.0
198,-300.0
199,-300.0
200,-670.0
201,-300.0
202,-811.0
203,-604.0
204,-746.0
205,-830.0
206,-300.0
207,-300.0
208,-300.0
209,-300.0
210,-300.0
211,-300.0
212,-300.0
213,-300.0
214,-300.0
215,-300.0
216,-300.0
217,-770.0
218,-300.0
219,-704.0
220,-300.0
221,-779.0
222,-811.0
223,-730.0
224,-771.0
225,-800.0
226,-677.0
227,-586.0
228,-300.0
229,-300.0
230,-690.0
231,-300.0
232,-777.0
233,-300.0
234,-300.0
235,-648.0
236,-300.0
237,-300.0
238,-570.0
239,-736.0
240,-653.0
241,255.0
242,-579.0
243,-300.0
244,-736.0
245,-300.0
246,-684.0
247,-644.0
248,-827.0
249,-300.0
250,-300.0
251,-300.0
252,-708.0
253,-300.0
254,-300.0
255,-300.0
256,-300.0
257,-300.0
258,-834.0
259,-300.0
260,-830.0
261,-300.0
262,-300.0
263,-300.0
264,-773.0
265,-688.0
266,-835.0
267,-300.0
268,-300.0
269,-300.0
270,-300.0
271,-722.0
272,-587.0
273,-300.0
274,-782.0
275,-300.0
276,-300.0
277,-300.0
278,-300.0
279,-671.0
280,-300.0
281,314.0
282,-586.0
283,-300.0
284,-300.0
285,-757.0
286,-654.0
287,-676.0
288,-602.0
289,-300.0
290,-756.0
291,-748.0
292,-300.0
293,-300.0
294,-300.0
295,-764.0
296,-811.0
297,-300.0
298,-843.0
299,-300.0
300,-300.0
301,-726.0
302,-300.0
303,-648.0
304,-300.0
305,-830.0
306,-743.0
307,-776.0
308,-300.0
309,-671.0
310,-300.0
