,reward
0,580.0
1,-570.0
2,-444.00000000000006
3,-774.0
4,-1214.86094350285
5,-782.0
6,-454.00000000000006
7,-774.0
8,-450.0
9,-782.0
10,-1108.8008145579586
11,-774.0
12,-782.0
13,-560.0
14,-536.0
15,600.0
16,-550.0
17,-1058.0
18,-1844.0
19,-2028.0
20,-2118.0
21,-2036.0
22,-1946.0
23,-2140.0
24,-2050.0
25,-1970.0
26,-2130.0
27,-2108.0
28,-2080.0
29,-2060.0
30,-2140.0
31,-2010.0
32,-2110.0
33,-2100.0
34,-2150.0
35,-1930.0
36,-2070.0
37,-1986.0
38,-2040.0
39,-2080.0
40,-2110.0
41,-2128.0
42,-2000.0
43,-2066.0
44,-1974.0
45,-2050.0
46,-2090.0
47,-2130.0
48,-1966.0
49,-2098.0
50,-2078.0
51,-2090.0
52,-1932.0
53,-2110.0
54,-2140.0
55,-2108.0
56,-2090.0
57,-2200.0
58,-1872.0
59,-2140.0
60,-2100.0
61,-1984.0
62,-2018.0
63,-2138.0
64,-2138.0
65,-2098.0
66,-2080.0
67,-1910.0
68,-2100.0
69,-2112.0
70,-1998.0
71,-2118.0
72,-2038.0
73,-2090.0
74,-2190.0
75,-2066.0
76,-2056.0
77,-1974.0
78,-2078.0
79,-2082.0
80,-2016.0
81,-1986.0
82,-2190.0
83,-2060.0
84,-2088.0
85,-1998.0
86,-2060.0
87,-1962.0
88,-2136.0
89,-2120.0
90,-2080.0
91,-2056.0
92,-2094.0
93,-2058.0
94,-1900.0
95,-2080.0
96,-2088.0
97,-2028.0
98,-2060.0
99,-2160.0
100,-2088.0
101,-2110.0
102,-2056.0
103,-2066.0
104,-2038.0
105,-2050.0
106,-2110.0
107,-2128.0
108,-2120.0
109,-2150.0
110,-2110.0
111,-2090.0
112,-2002.0
113,-2026.0
114,-2130.0
115,-2100.0
116,-2026.0
117,-2050.0
118,-2150.0
119,-2058.0
120,-2140.0
121,-2170.0
122,-2110.0
123,-1898.0
124,-2118.0
125,-2100.0
126,-2048.0
127,-2158.0
128,-2068.0
129,-2080.0
130,-2120.0
131,-1978.0
132,-2150.0
133,-2180.0
134,-2020.0
135,-2060.0
136,-2110.0
137,-2010.0
138,-2058.0
139,-1944.0
140,-2046.0
141,-1952.0
142,-2030.0
143,-2098.0
144,-2054.0
145,-2090.0
146,-2130.0
147,-2168.0
148,-2110.0
149,-2070.0
150,-2080.0
151,-2046.0
152,-2090.0
153,-2108.0
154,-2038.0
155,-2108.0
156,-1980.0
157,-2080.0
158,-2090.0
159,-2100.0
160,-1976.0
161,-2014.0
162,-2128.0
163,-1942.0
164,-2068.0
165,-1940.0
166,-2078.0
167,-1960.0
168,-2190.0
169,-2078.0
170,-1968.0
171,-2030.0
172,-1982.0
173,-2130.0
174,-2130.0
175,-2038.0
176,-2110.0
177,-2140.0
178,-2170.0
179,-2100.0
180,-2056.0
181,-2016.0
182,-2090.0
183,-2074.0
184,-1986.0
185,-2088.0
186,-2060.0
187,-2170.0
188,-1904.0
189,-1950.0
190,-2128.0
191,-1998.0
192,-2124.0
193,-2120.0
194,-2028.0
195,-2180.0
196,-2066.0
197,-2120.0
198,-2140.0
199,-2080.0
200,-2128.0
201,-1968.0
202,-2030.0
203,-2028.0
204,-2080.0
205,-2040.0
206,-2120.0
207,-2080.0
208,-2070.0
209,-2090.0
210,-2050.0
211,-2036.0
212,-2098.0
213,-2060.0
214,-2036.0
215,-2050.0
216,-2088.0
217,-2160.0
218,-2068.0
219,-2090.0
220,-2120.0
221,-2150.0
222,-2058.0
223,-2088.0
224,-2050.0
225,-2078.0
226,-1996.0
227,-2070.0
228,-2150.4432767408866
229,-2060.0
230,-2090.0
231,-2160.0
232,-2130.0
233,-1998.0
234,-2140.0
235,-2130.0
236,-2100.0
237,-2088.0
238,-2012.0
239,-2010.0
240,-2140.0
241,-2140.0
242,-2076.0
243,-1978.0
244,-2060.0
245,-2008.0
246,-2180.0
247,-2030.0
248,-2130.0
249,-2200.0
250,-2128.0
251,-2150.0
252,-2046.0
253,-2140.0
254,-1980.0
255,-2030.0
256,-2000.0
257,-2034.0
258,-2008.0
259,-1926.0
260,-2110.0
261,-2038.0
262,-2100.0
263,-2090.0
264,-2128.0
265,-2018.0
266,-2070.0
267,-2130.0
268,-1960.0
269,-2110.0
270,-2030.0
271,-1932.0
272,-1956.0
273,-2006.0
274,-2016.0
275,-2038.0
276,-2060.0
277,-2050.0
278,-2138.0
279,-2016.0
280,-2110.0
