,loss
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,3035.292547380602
23,6028.298081054688
24,11327.661018880208
25,14892.30478515625
26,15408.650174611175
27,14472.078452797203
28,14127.24032877604
29,16387.88099283854
30,19399.329557291665
31,21584.2969921875
32,24089.841846838663
33,24490.989772135417
34,25894.0083984375
35,27525.062395833334
36,29759.297102864584
37,31955.238411458333
38,35447.517838541666
39,36381.42897727273
40,38791.09632161458
41,40133.84932875359
42,42294.41102864583
43,44247.038138020835
44,45765.05310504106
45,48882.084446614586
46,50321.88620476974
47,52261.16760706018
48,53312.18580163043
49,55897.38201822917
50,58379.04228515625
51,58256.055536684784
52,62418.73535807292
53,64649.586139269115
54,66481.54773949795
55,69953.95784970238
56,72017.51262642635
57,76141.11147135416
58,75134.51176443713
59,76734.80466145833
60,77787.92649343923
61,82431.52721354166
62,84333.05678013393
63,83737.5138671875
64,84837.8800636574
65,88113.91303385417
66,89276.73153645833
67,92783.32712105724
68,92071.467890625
69,93824.96127604166
70,89144.12979166667
71,69071.07116699219
72,59955.350234375
73,55076.75399116848
74,40734.76918859649
75,40040.384817708335
76,41513.43791015625
77,43745.92893229167
78,43614.75377604167
79,43798.08792465157
80,44560.414088628764
81,46428.99256510416
82,46992.92334222561
83,47889.76569010417
84,49513.24652276011
85,49575.979231770834
86,49636.6674832274
87,50518.05078125
88,50711.17860677083
89,51515.03076822917
90,52793.7183203125
91,52020.564817708335
92,51536.32297585227
93,52595.592991504855
94,53980.71338541667
95,54459.066705729165
96,55882.1564112672
97,62739.73235677083
98,62910.293997395835
99,61294.911471354164
100,61990.45147897013
101,59520.11822916667
102,59927.91894081221
103,61088.533359375
104,61602.4462109375
105,61743.48085252193
106,61447.766627604164
107,60427.289322916666
108,60775.4730859375
109,56107.614557291665
110,55009.49950520833
111,54790.1838671875
112,54408.66678873698
113,54501.0055488782
114,53841.788927801725
115,54033.96750710227
116,53709.049609375
117,53532.6108984375
118,53548.39369419643
119,53136.61924479167
120,52953.39953125
121,53794.891953125
122,53999.212552083336
123,54578.044661458334
124,55052.99428385417
125,55023.90735677083
126,54445.715154474434
127,54672.409928385416
128,55021.7364696558
129,54729.93509114583
130,55069.871640625
131,52711.71608113354
132,53229.51780641234
133,52614.28596354167
134,52907.21460087435
135,52502.243395618556
136,52314.899591619316
137,51725.4135546875
138,52245.67458333333
139,51871.8894921875
140,51681.200859375
141,51540.431340144234
142,50894.9720703125
143,51929.58291131423
144,51750.33808117378
145,51844.8345703125
146,52560.51597481343
147,53136.226822916666
148,53504.32154304029
149,54354.48423177083
150,54034.61669270833
151,53397.790076147154
152,53992.95127467105
153,53047.82576069079
154,53227.00155101103
155,53173.42786458333
156,53141.996744791664
157,52383.4419140625
158,52349.03477864584
159,52711.071015625
160,51616.65123697917
161,51688.26252604167
162,53486.50312768471
163,56131.03311567164
164,57147.09788602941
165,55183.124140625
166,55447.127802309784
167,59158.01481770833
168,59548.74354166666
169,60203.161119791665
170,60459.159612596646
171,60771.52204037409
172,63442.374348958336
173,64223.565169270834
174,63758.679472477066
175,63392.99835356405
176,63664.231119791664
177,64538.11096343361
178,65658.602734375
179,65101.853854166664
180,69093.31626302084
181,69265.7174609375
182,69548.9911328125
183,69621.26521381579
184,72637.91420572916
185,71590.95885416666
186,72643.45346354166
187,73403.46383205935
188,74399.06359011628
189,74123.08701822917
190,73287.69185223918
191,71495.1294140625
192,70497.94601779514
193,69272.82690104167
194,65440.68145833333
195,65427.3509765625
196,63920.601015625
197,63377.04287109375
198,63080.78481119792
199,63934.711549479165
200,63853.206419270835
201,62986.94971354167
202,63061.605807291664
203,64315.00901041667
204,64890.37880208333
205,63913.67678213968
206,64505.91846354167
207,67129.8709375
208,66573.58441051136
209,68424.71796875
210,67403.82429956897
211,67776.4154296875
212,68319.87140012255
213,63447.58803803066
214,64103.031949626864
215,62890.72708333333
216,60075.15435348732
217,58838.43223958334
218,55686.740709635415
219,51531.33824607878
220,53080.95790375256
221,52077.73175392316
222,47330.19733723958
223,43693.94725215517
224,43311.693926532454
225,43805.86179361979
226,42909.665381243845
227,46321.15556640625
228,46067.71081054687
229,44825.53981282552
230,46925.88535481771
231,48458.19888517172
232,47253.283055013024
233,47556.65115559896
234,49029.938228665866
235,48723.824273255814
236,47175.43522460938
237,50391.83203125
238,49625.144140625
239,50343.81276765047
240,53598.547062235666
241,56450.178566088514
242,57366.34409427966
243,56785.09382485845
244,58010.79689839072
245,56658.82094401042
246,57805.63325471698
247,55241.392115885414
248,54159.430787760415
249,56806.109487897396
250,55072.30070233586
251,54995.37481299867
252,52564.76510054977
253,50955.93394512997
254,50252.61645833333
255,50700.651331380206
256,50486.28899739583
257,47126.57298496791
258,46684.81374267578
259,44844.912388392855
260,46344.36305175781
261,46055.74945475261
262,47143.44196603687
263,50397.16076171875
264,51556.650083821616
265,52535.83994140625
266,47944.71123097474
267,56500.06796875
268,54342.86836011482
269,53423.1541078629
270,49269.52594563802
271,46935.57101151316
272,45005.9016796875
273,41876.736692708335
274,40522.95198887416
275,39551.37812961368
276,40097.58194905599
277,36833.40082194011
278,33380.95909098307
279,36152.92367553711
280,28346.513865751378
281,26894.04178548177
282,19449.676974487305
283,19889.172487229567
284,13144.439719616526
285,7670.4679451497395
286,2088.3196832958797
287,691.1140618896484
288,-5400.491810372206
289,-9048.23298433744
290,-6729.214712088448
291,-8948.39388264974
292,-14238.925674026077
293,-8378.852685343425
294,-12790.01253540039
295,-15721.309361572266
296,-15137.389165039063
297,-17467.102917431836
298,-11057.410631452289
299,-12844.027217610677
300,-18962.789943033855
301,-21883.76443142361
302,-16260.246511285955
303,-24407.88103841146
304,-32645.538584391277
305,-30953.013556315105
306,-40534.335390625
307,-46079.685267857145
308,-40429.1394012603
309,-46812.03629351266
310,-18727.339192708332
311,-44143.2472265625
312,-51657.135946950606
313,-47092.087986537386
314,-43300.5480984158
315,-48704.35380906325
316,-52125.04298812624
317,-50002.324793562104
318,-62052.200814596035
319,-55106.68094554228
320,-59783.17348971225
321,-68858.91969936709
322,-71282.49551123903
323,-76669.01869240786
324,-69545.69419508714
325,-73406.94073903338
326,-81541.4972795759
327,-78496.59577205882
328,-80622.7734375
329,-74941.55612362133
330,-76464.09039135514
331,-71402.84134397646
332,-72905.86243393843
333,-49854.65858598189
334,-53524.45568470119
335,-60421.92381803654
336,-56669.84637200343
337,-50008.88279594809
338,-60614.506703694664
339,-67619.12298916903
340,-51855.822265625
341,-67259.4029053597
342,-68163.39711626839
343,-76279.68072735822
344,-76950.55786132812
345,-85823.31234975961
346,-77972.64770974324
347,-71322.66491699219
