,reward
0,581.9924657538539
1,-1033.2058862775914
2,-802.0428734549412
3,-576.7056161839571
4,-947.4625839983439
5,-870.8638860088639
6,-885.0262025294323
7,-539.8881271944364
8,-885.916179003289
9,-933.1877352129541
10,-592.457938937496
11,-803.664324921134
12,-873.0868681189323
13,-775.4605999513359
14,-880.3254628884056
15,-552.0208132351095
16,-901.7817081507865
17,-668.6184388601254
18,-904.3671436309698
19,-739.1474634344194
20,-646.5382045882056
21,-900.0153681097976
22,-926.3230865771084
23,-896.8761932553671
24,-908.6545999891378
25,-672.6287389215543
26,-838.3142828338812
27,-568.8252197626225
28,-855.2804274093538
29,-515.8726180152835
30,-850.9597293116642
31,-833.1750291462595
32,-899.4401850704378
33,-579.0454520986206
34,-679.4040571840021
35,-909.4593662618047
36,-856.3813924614574
37,-888.4572384635005
38,-873.6978711422803
39,-515.84233579902
40,-2398.580084728459
41,-1013.6115191543537
42,-396.9952846594075
43,-606.0000515391479
44,-839.6893401109085
45,-560.1474413763664
46,-377.1457313747144
47,-973.245890238941
48,-461.45486434895895
49,-525.1340424482704
50,-500.0110002472256
51,-1105.4679480992518
52,-2234.5762952965356
53,-416.6353392471311
54,-496.00064900628445
55,-510.1339569594259
56,-526.2771542635772
57,-558.4141428374774
58,-1413.6390974745652
59,-1085.1189957070478
60,-1006.0365792731143
61,-408.000023831171
62,-470.03234343830565
63,-1695.3483293349898
64,-1574.8480044841895
65,-428.000399767892
66,-373.026087871005
67,-468.0000798969941
68,-905.6823387010531
69,-657.4431856412037
70,-454.2715732030567
71,-1604.3428863454556
72,-546.0186159364871
73,-576.0001403336762
74,-983.502691558208
75,-1350.3580051770564
76,-1462.2825519416656
77,-945.272197129362
78,-1353.3524420093624
79,-821.0914063990413
80,-1324.2420489551744
81,-468.0000845509314
82,-1334.2184419980222
83,199.9955289162964
84,-790.0080326579493
85,-522.3113748269656
86,-748.510631255881
87,-558.0012037556054
88,-1357.4007479187176
89,-669.3592135033518
90,-488.0015209204775
91,-506.07864888518276
92,-464.0018271372126
93,-918.6214948574135
94,-596.1998110637369
95,-422.0221593928767
96,-526.0001102223875
97,-487.9610094171373
98,-410.0018057812104
99,-490.0008909909627
100,-505.4513925013473
101,-398.00001169504486
102,-486.0004622851766
103,-415.84357311186443
