,reward
0,479.0
1,-555.0
2,-576.0
3,-576.0
4,-576.0
5,-576.0
6,-576.0
7,-576.0
8,-576.0
9,-632.0
10,-576.0
11,-576.0
12,474.0
13,-550.0
14,-632.0
15,-576.0
16,-576.0
17,-576.0
18,-576.0
19,-576.0
20,-576.0
21,-632.0
22,-781.0
23,-654.0
24,-300.0
25,-300.0
26,-787.0
27,-300.0
28,-300.0
29,-300.0
30,-640.0
31,-640.0
32,-672.0
33,394.0
34,-566.0
35,443.0
36,-605.0
37,401.0
38,-616.0
39,-579.0
40,-566.0
41,-597.0
42,-609.0
43,438.0
44,-570.0
45,466.0
46,441.0
47,423.0
48,-559.0
49,464.0
50,-563.0
51,454.0
52,-590.0
53,453.0
54,-613.0
55,-589.0
56,483.0
57,-553.0
58,453.0
59,409.0
60,-565.0
61,-610.0
62,-652.0
63,-611.0
64,-592.0
65,432.0
66,-562.0
67,-577.0
68,-568.0
69,445.0
70,-596.0
71,452.0
72,431.0
73,468.0
74,422.0
75,-557.0
76,481.0
77,-552.0
78,-578.0
79,483.0
80,-551.0
81,-572.0
82,462.0
83,-556.0
84,457.0
85,-577.0
86,-572.0
87,467.0
88,466.0
89,-550.0
90,-589.0
91,-591.0
92,-579.0
93,481.0
94,-561.0
95,-576.0
96,-570.0
97,-566.0
98,458.0
99,-615.0
100,458.0
101,-582.0
102,-574.0
103,-579.0
104,-573.0
105,456.0
106,-565.0
107,-573.0
108,-585.0
109,461.0
110,410.0
111,-604.0
112,-585.0
113,461.0
114,-628.0
115,-582.0
116,-567.0
117,-578.0
118,464.0
119,-623.0
120,482.0
121,-582.0
122,441.0
123,-576.0
124,473.0
125,-550.0
126,-567.0
127,465.0
128,414.0
129,-556.0
130,463.0
131,-564.0
132,457.0
133,-571.0
134,446.0
135,-564.0
136,470.0
137,412.0
138,-580.0
139,469.0
140,450.0
141,450.0
142,-582.0
143,-577.0
144,464.0
145,430.0
146,-557.0
147,-571.0
148,465.0
149,-598.0
150,-571.0
151,-570.0
152,453.0
153,-559.0
154,483.0
155,-552.0
156,480.0
157,-554.0
158,-570.0
159,462.0
160,437.0
161,469.0
162,-559.0
163,474.0
164,-550.0
165,-579.0
166,461.0
167,430.0
168,-591.0
169,440.0
170,435.0
171,-561.0
172,480.0
173,-550.0
174,-587.0
175,-567.0
176,473.0
177,-552.0
178,-565.0
179,458.0
180,-572.0
181,460.0
182,-573.0
183,-585.0
184,-567.0
185,-599.0
186,-567.0
187,462.0
188,405.0
189,-631.0
190,446.0
191,-570.0
192,464.0
193,-610.0
194,-579.0
195,458.0
196,-568.0
197,445.0
198,445.0
199,-559.0
200,486.0
201,442.0
202,467.0
203,-577.0
204,451.0
205,-597.0
206,466.0
207,434.0
208,463.0
209,454.0
210,450.0
211,448.0
212,473.0
213,470.0
214,-565.0
215,-581.0
216,-573.0
217,460.0
218,-568.0
219,462.0
220,-555.0
221,459.0
222,427.0
223,-579.0
224,-570.0
225,-587.0
226,-572.0
227,463.0
228,404.0
229,-579.0
230,446.0
231,-633.0
232,-609.0
233,-583.0
234,-572.0
235,450.0
236,-608.0
237,458.0
238,-612.0
239,479.0
240,-587.0
241,460.0
242,-553.0
243,457.0
244,-550.0
245,462.0
246,453.0
247,-555.0
248,438.0
249,447.0
250,471.0
251,463.0
252,-564.0
253,-572.0
254,459.0
255,-616.0
256,-579.0
257,462.0
258,-562.0
259,468.0
260,-564.0
261,465.0
262,429.0
263,-595.0
264,457.0
265,466.0
266,-559.0
267,456.0
268,-622.0
269,470.0
270,-552.0
271,-580.0
272,456.0
273,462.0
274,-554.0
275,-589.0
276,460.0
277,-579.0
278,481.0
279,468.0
280,469.0
281,-568.0
282,-574.0
283,470.0
284,455.0
285,-569.0
286,-568.0
287,-572.0
288,452.0
289,-606.0
290,473.0
291,-551.0
292,446.0
293,-595.0
294,462.0
295,435.0
296,-572.0
297,461.0
298,-573.0
299,482.0
300,471.0
301,438.0
302,445.0
303,445.0
304,-550.0
305,452.0
306,444.0
307,459.0
308,-556.0
309,463.0
310,446.0
311,-587.0
312,463.0
313,463.0
314,464.0
315,-591.0
316,462.0
317,454.0
318,470.0
319,448.0
320,468.0
321,-575.0
322,-572.0
323,-569.0
324,475.0
325,-550.0
326,447.0
327,462.0
328,419.0
329,-561.0
330,447.0
331,-585.0
332,-573.0
333,465.0
334,-583.0
335,467.0
336,404.0
337,421.0
338,449.0
339,-597.0
340,457.0
341,-579.0
342,-579.0
343,468.0
344,-579.0
345,460.0
346,-587.0
347,477.0
348,-566.0
349,462.0
350,431.0
351,-564.0
352,466.0
353,469.0
354,438.0
355,451.0
356,-598.0
357,-602.0
358,447.0
359,-568.0
360,447.0
361,437.0
362,-563.0
363,441.0
364,-577.0
365,-574.0
366,470.0
367,-601.0
368,-572.0
369,444.0
370,453.0
371,454.0
372,458.0
373,-583.0
374,453.0
375,-614.0
376,489.0
377,451.0
378,-601.0
379,473.0
380,471.0
381,-573.0
382,486.0
383,472.0
384,-569.0
385,-592.0
386,464.0
387,436.0
388,435.0
389,456.0
390,-572.0
391,-572.0
392,462.0
393,437.0
394,-573.0
395,484.0
396,-585.0
397,446.0
398,-574.0
399,-570.0
400,465.0
401,394.0
402,424.0
403,-557.0
404,-584.0
405,475.0
406,-560.0
407,464.0
408,-584.0
409,475.0
410,436.0
411,452.0
412,461.0
413,-564.0
414,-575.0
415,460.0
416,-596.0
417,461.0
418,-562.0
419,-571.0
420,460.0
421,-583.0
422,-570.0
423,-579.0
424,-575.0
425,467.0
426,447.0
427,465.0
428,-594.0
429,454.0
430,393.0
431,-634.0
432,455.0
433,434.0
434,447.0
435,-570.0
436,452.0
437,-553.0
438,468.0
439,-568.0
440,461.0
441,444.0
442,-581.0
443,454.0
444,-579.0
445,450.0
446,434.0
447,-556.0
448,484.0
449,459.0
450,475.0
451,414.0
452,448.0
453,452.0
454,460.0
455,-574.0
456,463.0
457,-617.0
458,457.0
459,433.0
460,416.0
461,-568.0
462,464.0
463,467.0
464,427.0
465,457.0
466,476.0
467,-572.0
468,457.0
469,431.0
470,426.0
471,432.0
472,460.0
473,407.0
474,418.0
475,-556.0
476,-569.0
477,-575.0
478,458.0
479,463.0
480,416.0
481,438.0
482,454.0
483,439.0
484,-582.0
485,-570.0
486,448.0
487,366.0
488,452.0
489,466.0
490,450.0
491,437.0
492,-579.0
493,457.0
494,434.0
495,-568.0
496,484.0
497,-570.0
498,470.0
499,422.0
500,428.0
501,-565.0
502,-576.0
503,455.0
504,430.0
505,-595.0
506,-582.0
507,445.0
508,459.0
509,426.0
510,-599.0
511,-579.0
512,461.0
513,414.0
514,-591.0
