,reward
0,478.0
1,-649.0
2,-577.0
3,-578.0
4,-578.0
5,-590.0
6,-579.0
7,-577.0
8,-577.0
9,-577.0
10,-578.0
11,-579.0
12,-577.0
13,-590.0
14,-577.0
15,-578.0
16,-577.0
17,-577.0
18,-577.0
19,-578.0
20,-577.0
21,-576.0
22,478.0
23,-649.0
24,-699.0
25,-300.0
26,-686.0
27,-774.0
28,-300.0
29,-300.0
30,-842.0
31,-704.0
32,-726.0
33,-601.0
34,-844.0
35,-300.0
36,-300.0
37,-300.0
38,-300.0
39,-300.0
40,-627.0
41,-805.0
42,-770.0
43,484.0
44,-300.0
45,-300.0
46,-654.0
47,-300.0
48,-716.0
49,-757.0
50,-733.0
51,-300.0
52,-719.0
53,-774.0
54,-300.0
55,-300.0
56,-730.0
57,-830.0
58,-300.0
59,-300.0
60,-722.0
61,-616.0
62,-300.0
63,-300.0
64,-300.0
65,-711.0
66,-617.0
67,-791.0
68,-693.0
69,-716.0
70,-300.0
71,-300.0
72,-727.0
73,-300.0
74,-801.0
75,-300.0
76,-300.0
77,-586.0
78,-623.0
79,-689.0
80,-300.0
81,-799.0
82,-300.0
83,-842.0
84,-754.0
85,-685.0
86,-300.0
87,-782.0
88,-300.0
89,-300.0
90,-734.0
91,-753.0
92,-300.0
93,-300.0
94,-300.0
95,-300.0
96,-300.0
97,-660.0
98,-588.0
99,-743.0
100,-762.0
101,-728.0
102,-300.0
103,-757.0
104,-737.0
105,-783.0
106,-300.0
107,-771.0
108,-300.0
109,-794.0
110,-300.0
111,-300.0
112,-300.0
113,431.0
114,-300.0
115,-300.0
116,-300.0
117,-643.0
118,-800.0
119,-699.0
120,-733.0
121,-716.0
122,-300.0
123,-790.0
124,-300.0
125,-300.0
126,-778.0
127,-578.0
128,-300.0
129,-675.0
130,-825.0
131,-300.0
132,-609.0
133,-300.0
134,-794.0
135,-714.0
136,-300.0
137,-679.0
138,-689.0
139,-634.0
140,-300.0
141,-300.0
142,-817.0
143,-635.0
144,-300.0
145,-614.0
146,-655.0
147,-635.0
148,-300.0
149,-772.0
150,-300.0
151,-757.0
152,-300.0
153,-778.0
154,-300.0
155,-300.0
156,-810.0
157,-300.0
158,-745.0
159,-709.0
160,-300.0
161,-602.0
162,-300.0
163,-657.0
164,-300.0
165,-836.0
166,-300.0
167,-300.0
168,-300.0
169,-733.0
170,-715.0
171,-300.0
172,-300.0
173,-714.0
174,-587.0
175,-300.0
176,-300.0
177,-710.0
178,-300.0
179,-300.0
180,-656.0
181,-300.0
182,-300.0
183,-733.0
184,-621.0
185,-674.0
186,-300.0
187,-651.0
188,-300.0
189,-300.0
190,-300.0
191,-300.0
192,-300.0
193,-300.0
194,-300.0
195,-639.0
196,-300.0
197,-565.0
198,-300.0
199,-806.0
200,-804.0
201,-584.0
202,-300.0
203,-300.0
204,-300.0
205,-300.0
206,-300.0
207,-300.0
208,-300.0
209,-300.0
210,-300.0
211,-838.0
212,-300.0
213,-762.0
214,-300.0
215,-733.0
216,-703.0
217,-300.0
218,-300.0
219,-701.0
220,-300.0
221,-300.0
222,-300.0
223,-300.0
224,-300.0
225,-631.0
226,-767.0
227,-652.0
228,-300.0
229,-672.0
230,-300.0
231,-650.0
232,-300.0
233,-620.0
234,-654.0
235,-759.0
236,-652.0
237,-796.0
238,-738.0
239,452.0
240,-710.0
241,-608.0
242,-300.0
243,-603.0
244,-300.0
245,-300.0
246,-300.0
247,-300.0
248,-300.0
249,-300.0
250,-300.0
251,-700.0
252,-604.0
253,-629.0
254,-730.0
255,-300.0
256,-800.0
257,-683.0
258,-300.0
259,-300.0
260,-300.0
261,-300.0
262,-706.0
263,-300.0
264,-774.0
265,-300.0
266,-300.0
267,-300.0
268,-300.0
269,-771.0
270,-300.0
271,-300.0
272,-683.0
273,-300.0
274,-300.0
275,-300.0
276,-300.0
277,-602.0
278,-300.0
279,-654.0
280,-580.0
281,-591.0
282,-300.0
283,-708.0
284,-756.0
285,-300.0
286,-568.0
287,-300.0
288,-300.0
289,-300.0
290,-830.0
291,-766.0
292,-300.0
293,-300.0
294,-300.0
295,-709.0
296,-300.0
297,-668.0
298,-300.0
299,-300.0
300,-300.0
301,-691.0
302,-300.0
303,-300.0
304,-734.0
305,-599.0
306,-732.0
307,-300.0
308,-753.0
309,-734.0
310,-708.0
311,-300.0
312,-639.0
313,-300.0
314,-643.0
315,-300.0
316,-765.0
317,-300.0
318,-597.0
319,-300.0
320,-845.0
321,-300.0
322,-300.0
323,-300.0
324,-775.0
325,-687.0
326,-300.0
327,-300.0
328,-779.0
329,-738.0
330,-847.0
331,-670.0
332,-300.0
333,-835.0
334,-300.0
335,-823.0
336,-300.0
337,-300.0
338,-787.0
339,-300.0
340,-830.0
341,-701.0
342,-752.0
343,-300.0
344,-719.0
345,422.0
346,-300.0
347,-300.0
348,-300.0
349,-800.0
350,-300.0
351,-300.0
352,-617.0
353,-579.0
354,-300.0
355,-300.0
356,-730.0
357,-741.0
358,-698.0
359,-300.0
360,-727.0
361,-765.0
362,-300.0
363,-300.0
364,-300.0
365,-300.0
366,-605.0
367,-300.0
368,-300.0
369,-300.0
370,-300.0
371,-300.0
372,-823.0
373,-300.0
374,-300.0
375,-718.0
376,-300.0
377,-692.0
378,-713.0
379,-300.0
380,-300.0
381,-774.0
382,-780.0
383,-300.0
384,-633.0
385,-756.0
386,-582.0
387,-300.0
388,-300.0
389,-300.0
390,-801.0
391,-300.0
392,-300.0
393,-300.0
394,-300.0
395,-300.0
396,-300.0
397,-768.0
398,-710.0
399,-300.0
400,-300.0
401,-704.0
402,-300.0
403,-586.0
404,-300.0
405,-300.0
406,-300.0
407,341.0
408,-300.0
409,-809.0
410,-300.0
411,-631.0
412,-300.0
413,-300.0
414,-300.0
415,-300.0
416,-720.0
417,-300.0
418,-300.0
419,-749.0
420,-300.0
421,414.0
422,-612.0
423,-300.0
424,-300.0
425,-300.0
426,-716.0
427,-800.0
428,-603.0
429,-300.0
430,-300.0
431,-300.0
432,-300.0
433,-300.0
434,-684.0
435,-300.0
436,-300.0
437,-300.0
438,-695.0
439,-300.0
440,-300.0
441,-300.0
442,-660.0
443,-757.0
444,-704.0
445,-300.0
446,-300.0
447,-783.0
448,-728.0
449,350.0
450,-300.0
451,-654.0
452,-300.0
453,-300.0
454,-300.0
455,-300.0
456,-300.0
457,-792.0
458,-802.0
459,-701.0
460,-300.0
461,-810.0
462,-300.0
463,-300.0
464,-300.0
465,-798.0
466,-300.0
467,-706.0
468,-744.0
