,reward
0,582.0
1,-606.0
2,-766.0
3,-766.0
4,-766.0
5,-468.00000000000006
6,-556.0
7,-766.0
8,-486.00000000000006
9,-598.0
10,-766.0
11,-766.0
12,-766.0
13,-504.00000000000006
14,-756.0
15,-526.0
16,-556.0
17,-766.0
18,-736.0
19,-766.0
20,-532.0
21,-766.0
22,-436.0
23,-766.0
24,-452.0
25,-766.0
26,-766.0
27,-766.0
28,-766.0
29,-766.0
30,-766.0
31,-766.0
32,-756.0
33,-766.0
34,-1700.0
35,-1590.0
36,-930.0
37,-704.0
38,-994.0
39,-476.0
40,-854.0000000000001
41,-700.0
42,-456.0
43,-464.0
44,-608.0
45,-600.0
46,-428.0
47,-668.0000000000001
48,-614.0000000000001
49,-490.0
50,542.0
51,-590.0
52,-684.0000000000001
53,-806.0000000000001
54,-784.0
55,337.9999999999999
56,-804.0
57,-484.0
58,-614.0
59,-742.0
60,706.0
61,-456.0
62,704.0
63,847.9999999999999
64,713.9999999999999
65,-504.0
66,-484.00000000000006
67,-468.0
68,608.0
69,676.0
70,-516.0
71,642.0
72,855.9999999999998
73,704.0
74,883.9999999999998
75,-496.0
76,751.9999999999999
77,646.0
78,-480.0
79,740.0
80,-398.0000000000001
81,574.0
82,-472.0
83,596.0
84,-532.0
85,-556.0
86,774.0
87,830.0
88,-236.0000000000001
89,548.0
90,-512.0
91,730.0
92,-446.0
93,700.0
94,900.0
95,713.9999999999999
96,883.9999999999999
97,919.9999999999999
98,-590.0
99,-474.0
100,668.0
101,738.0
102,-494.00000000000006
103,-458.0
104,688.0
105,973.9999999999998
106,628.0
107,-562.0
108,-456.0
109,768.0
110,-438.0
111,-430.0
112,-496.0
113,-464.0
114,-466.0
115,-458.0
116,570.0
117,-380.0000000000001
118,659.9999999999999
119,-452.00000000000006
120,688.0
121,-452.0
122,590.0
123,-314.00000000000006
124,658.0
125,832.0
126,807.9999999999998
127,-494.0
128,-490.0
129,-506.0
130,-472.0
131,656.0
132,670.0
133,-212.0000000000001
134,-436.0
135,738.0
136,-526.0
137,548.0
138,692.0
139,819.9999999999998
140,-288.00000000000017
141,714.0
142,-286.00000000000006
143,-442.0
144,-468.00000000000006
145,-466.0
146,-454.00000000000006
147,692.0
148,-426.0
149,-460.0
150,704.0
151,-502.0
152,572.0
153,-568.0
154,684.0
155,-575.9999999999999
156,-548.0
157,538.0
158,-614.0
159,676.0
160,698.0
161,-450.0
162,774.0
163,672.0
164,-232.0000000000001
165,716.0
166,737.9999999999999
167,-212.00000000000006
168,-474.00000000000006
169,-456.0
170,-474.0
171,690.0
172,-528.0
173,-466.0
174,-470.0
175,-452.0
176,-478.0
177,-476.0
178,791.9999999999998
179,-396.00000000000006
180,722.0
181,-434.0
182,650.0
183,-520.0
184,602.0
185,648.0
186,-216.00000000000006
187,574.0
188,-558.0
189,712.0
190,-226.0000000000001
191,-436.0
192,-474.0
193,754.0
194,656.0
195,-550.0
196,706.0
197,790.0
198,-496.0
199,648.0
200,857.9999999999999
201,744.0
