,loss
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,3375.277375988011
28,1548.208180205153
29,1314.646872098518
30,1577.4302020405614
31,1532.6276642685636
32,1740.2604395200128
33,2065.9693931021343
34,2446.364977966002
35,2221.37353515625
36,2572.4964085629113
37,2699.8048075244415
38,3143.5695452008927
39,3281.5400364373318
40,3693.271018839771
41,4064.523231620219
42,4323.801344651442
43,4737.738373658367
44,5155.969664616371
45,5570.836631774902
46,5972.79694500448
47,6673.956831988166
48,7165.598404134114
49,7702.809010163014
50,8851.70384172712
51,9230.098823442851
52,9659.225717220666
53,10024.21696993671
54,10459.73788248698
55,11046.923168164954
56,11587.475657552084
57,12303.96251953125
58,12980.940179036459
59,13634.264538091455
60,14057.277809244792
61,14798.538199869792
62,15419.12455078125
63,16202.36765625
64,16995.779095052083
65,17795.29064453125
66,18657.412001953126
67,19044.78703567217
68,19512.716516927085
69,20217.81166015625
70,20939.526665296053
71,21694.733834635415
72,22564.06505859375
73,23172.663545496325
74,23206.919596354168
75,24795.993111979165
76,25780.8708203125
77,26851.004407626915
78,27971.39521350599
79,28321.39547413793
80,28853.515716145834
81,29943.061015625
82,30813.649459635417
83,31887.280299479167
84,32893.11942708334
85,33904.51262369792
86,34957.46406901041
87,35635.925330010774
88,36448.19290364583
89,36798.664765625
90,37748.09730529785
91,38427.65806361607
92,38952.25803385417
93,39906.647825520835
94,40648.60901391807
95,41394.014036458335
96,41991.65514026989
97,42398.30618489583
98,43086.96010416667
99,43856.440794270835
100,44929.48451822917
101,45742.470859375
102,46695.77372395834
103,47433.33970424107
104,47746.661041666666
105,48325.30356770833
106,49077.80717447917
107,49522.722250600964
108,50499.990703125
109,51100.38299239309
110,51505.430703125
111,51956.13933454241
112,52374.884114583336
113,53036.569365530304
114,53359.86799479167
115,54041.21018229167
116,54702.5894140625
117,55613.675520833334
118,56269.478671875
119,56690.215494791664
120,57564.916315104165
121,58295.16225961538
122,58548.49307528409
123,58135.681731770834
124,58554.924830729164
125,58975.39237253289
126,59187.99124710648
127,59918.12747395833
128,60513.2384765625
129,60600.5376953125
130,61027.44776041667
131,61444.295260416664
132,61788.41647135417
133,61459.54111979167
134,62018.53704427083
135,62809.095073084674
136,62094.379921875
137,62460.2182421875
138,63711.964804292926
139,62712.96506510417
140,63183.5009375
141,64593.507109375
142,65569.80747395834
143,65482.68624371859
144,65754.236484375
145,67767.704296875
146,68405.47111979166
147,69137.52236880896
148,69102.45369897959
149,69731.93946614584
150,70551.95252403847
151,73293.6635237069
152,74559.53213541667
153,74894.01593864051
154,75928.69683801776
155,75614.08796875
156,75344.96639933628
157,76466.57450520834
158,77573.28755208333
159,79053.027109375
160,79093.92684977579
161,79945.54760416667
162,80827.226171875
163,80569.14069010416
164,80853.0585140306
165,80326.73883928571
166,81260.57648577009
167,80465.85135416666
168,80841.78846354167
169,80567.73609375
170,80944.16173664122
171,81724.28947368421
172,81218.42829623287
173,81613.425078125
174,81312.85627604167
175,81226.13424479167
176,82417.79799479166
177,81758.39924479167
178,82537.66010416667
179,82077.91497395834
180,82444.73239583333
181,82459.80140625
182,83722.509296875
183,84798.485078125
184,84972.83830729166
185,85903.08888020834
186,86400.30705729166
187,86373.66307291666
188,89659.92075520834
189,90831.89020833334
190,89207.66372395834
191,89785.620859375
192,90585.05432412791
193,91233.72700520833
194,91577.66346507354
195,92041.83760416666
196,92002.692578125
197,93279.58497395834
198,94768.23264898256
199,94262.12338541666
200,93739.86502757353
201,94677.280234375
202,94990.89671875
203,96340.38563829787
204,95770.39118907943
205,96156.25475933908
206,97426.501953125
207,97350.600625
208,98807.400625
209,98930.292734375
210,100112.59390625
211,99688.01330729167
212,99162.30454078638
213,100033.87059895834
214,101268.34140625
215,100400.63096354167
216,101264.82984375
217,101499.386328125
218,103093.46450520834
219,103759.57283854167
220,103541.14814268867
221,102643.32555650685
222,103719.24507615546
223,104835.99096354167
224,106292.78629701327
225,106024.04979166666
226,106353.00598958334
227,106430.05296610169
228,110831.78317708333
229,112689.00994791667
230,112369.08541666667
231,112711.86619791666
232,110361.01101434426
233,110013.00203339041
234,110303.68059895834
235,110995.98747395833
236,111673.21192528735
237,113120.96493120336
238,112262.993671875
239,112828.97752604166
240,117876.56044270833
241,118147.157734375
242,117430.343984375
243,117497.253984375
244,117029.64252604167
245,117684.746484375
246,118847.92038517442
247,121035.40408854166
248,121882.09955729167
249,121788.80595128676
250,121966.43059098639
251,122272.04419270833
252,123340.202734375
253,123890.17140625
254,124050.20276041667
255,123703.20444171349
256,122039.59619791666
257,121123.490390625
258,121451.13075520833
259,121019.39442708333
260,119115.58840880102
261,119600.96630208334
262,118539.76619791667
263,117018.61828125
264,117208.07674123616
265,117246.98361979167
266,116611.96088541667
267,118117.10057291666
268,116710.66294270834
269,116736.33505208333
270,120053.558984375
271,120068.65583333334
272,120006.73330729167
273,121457.038515625
274,119464.35261824324
275,121293.59848958334
276,119866.52752604167
277,120483.45166666666
278,120720.01002261513
279,118192.596171875
280,116304.72800925926
281,115524.03395432692
282,114607.53591145833
283,113724.55807291667
284,114177.948203125
285,116941.05422108209
286,115460.54364583333
287,117463.67252604167
288,115701.03861979167
289,118191.55254536291
290,116776.47507668711
291,117111.37666666666
292,116111.36067708333
293,117733.73177083333
294,117715.856328125
295,117913.50220131215
296,117429.22075520833
297,118068.81322916667
298,118739.43015160892
299,119438.85119267751
300,121551.349140625
301,122286.14527738764
302,123004.5294098657
303,123981.69674479167
304,122184.30244715074
305,122136.38916666666
306,121189.62556966145
307,116932.21421875
308,115987.62299479167
309,117580.32934895833
310,116642.16748046875
311,116813.57466264204
312,117130.90125
313,118727.65752604167
314,118213.08236034798
315,118979.75643229167
316,114852.73848083941
317,115484.12833180148
318,117843.44953125
319,116737.685234375
320,116197.55515202702
321,118015.87752604167
322,114429.49106770834
323,113149.52070691748
324,113545.62473060345
325,113165.60159866897
326,112540.49665178571
327,114268.9903157552
328,114280.50505208333
329,116902.80460211748
330,117161.47509765625
331,113887.57263020833
332,111929.14299479166
333,113547.74486979167
334,113623.6197817271
335,116575.857734375
336,118756.59033854166
337,119183.04692708333
338,122621.1540625
339,122684.06200520834
340,123702.26934895833
341,123974.61390817902
342,124447.72942708334
343,126167.65539965987
344,124260.56911458333
345,126046.69671285378
346,123237.74028645833
347,119720.17354166666
348,117516.49497395834
349,116788.50842161017
350,118747.95177083333
351,116841.025703125
352,113105.25366108786
353,113800.87773058252
354,111340.53736979167
355,113452.40868190661
356,113941.49825520834
357,115588.389453125
358,114124.87014279026
