,reward
0,478.0
1,-557.0
2,-590.0
3,-578.0
4,-579.0
5,-578.0
6,-578.0
7,-579.0
8,-580.0
9,-579.0
10,-579.0
11,-577.0
12,-579.0
13,-578.0
14,-578.0
15,-578.0
16,483.0
17,-559.0
18,-632.0
19,-578.0
20,-577.0
21,-578.0
22,482.0
23,-558.0
24,-578.0
25,-578.0
26,-578.0
27,-578.0
28,-578.0
29,-578.0
30,-578.0
31,-581.0
32,-578.0
33,-578.0
34,-578.0
35,-578.0
36,-592.0
37,-690.0
38,-600.0
39,-300.0
40,-300.0
41,-722.0
42,-758.0
43,-822.0
44,-300.0
45,-300.0
46,-300.0
47,-300.0
48,-300.0
49,-848.0
50,-300.0
51,-300.0
52,-300.0
53,-300.0
54,-834.0
55,-300.0
56,-843.0
57,-300.0
58,-300.0
59,-300.0
60,-815.0
61,-300.0
62,-712.0
63,-300.0
64,287.0
65,-300.0
66,-300.0
67,-300.0
68,-300.0
69,-300.0
70,-815.0
71,-300.0
72,-671.0
73,-300.0
74,262.0
75,-592.0
76,-831.0
77,-300.0
78,-300.0
79,-825.0
80,-793.0
81,-300.0
82,-758.0
83,-775.0
84,-660.0
85,-300.0
86,-300.0
87,-668.0
88,-300.0
89,-656.0
90,-300.0
91,-300.0
92,439.0
93,-629.0
94,-300.0
95,-300.0
96,-663.0
97,-300.0
98,-708.0
99,-300.0
100,-300.0
101,-717.0
102,-300.0
103,-807.0
104,-300.0
105,-821.0
106,-644.0
107,-626.0
108,-300.0
109,-717.0
110,-668.0
111,-300.0
112,-300.0
113,-783.0
114,-300.0
115,-737.0
116,-300.0
117,-803.0
118,-300.0
119,-759.0
120,-300.0
121,-730.0
122,-300.0
123,-300.0
124,-300.0
125,-845.0
126,-742.0
127,-661.0
128,-795.0
129,-300.0
130,-300.0
131,-300.0
132,399.0
133,-300.0
134,-300.0
135,-300.0
136,-300.0
137,-763.0
138,-300.0
139,-650.0
140,-300.0
141,-300.0
142,-747.0
143,-300.0
144,-300.0
145,-300.0
146,-300.0
147,-300.0
148,-668.0
149,-760.0
150,-300.0
151,-587.0
152,-300.0
153,-832.0
154,-692.0
155,-300.0
156,-715.0
157,-300.0
158,-300.0
159,-300.0
160,-837.0
161,-300.0
162,-670.0
163,-300.0
164,-300.0
165,-300.0
166,-772.0
167,-734.0
168,-300.0
169,-300.0
170,-757.0
171,-300.0
172,-300.0
173,-300.0
174,-779.0
175,-300.0
176,-720.0
177,-300.0
178,-300.0
179,-300.0
180,-733.0
181,-810.0
182,-300.0
183,-300.0
184,-810.0
185,-794.0
186,-300.0
187,-300.0
188,-745.0
189,-300.0
190,-300.0
191,-300.0
192,-300.0
193,-796.0
194,-614.0
195,-300.0
196,-300.0
197,-300.0
198,-300.0
199,-300.0
200,-300.0
201,-742.0
202,-786.0
203,-300.0
204,-663.0
205,-832.0
206,-300.0
207,-300.0
208,-300.0
209,-651.0
210,-300.0
211,-300.0
212,-689.0
213,-800.0
214,-300.0
215,-744.0
216,-300.0
217,-300.0
218,-799.0
219,-300.0
220,-300.0
221,-300.0
222,-300.0
223,-300.0
224,-300.0
225,-662.0
226,-300.0
227,-300.0
228,-300.0
229,-300.0
230,-638.0
231,-300.0
232,-300.0
233,-300.0
234,-816.0
235,-599.0
236,-300.0
237,-300.0
238,-763.0
239,-300.0
240,-300.0
241,-300.0
242,-300.0
243,-300.0
244,-300.0
245,-771.0
246,-739.0
247,-801.0
248,-577.0
249,-300.0
250,330.0
251,-691.0
252,-300.0
253,-300.0
254,-659.0
255,-743.0
256,-774.0
257,-670.0
258,-300.0
259,-769.0
260,-300.0
261,-300.0
262,-300.0
263,-300.0
264,-787.0
265,-668.0
266,-822.0
267,-300.0
268,-300.0
269,-300.0
270,-300.0
271,-300.0
272,-803.0
273,-300.0
274,-300.0
275,-300.0
276,-742.0
277,-704.0
278,-651.0
279,-781.0
280,-759.0
281,-680.0
282,-300.0
283,-610.0
284,-300.0
285,-300.0
286,-300.0
287,-723.0
288,-300.0
289,-300.0
290,-300.0
291,-811.0
292,-300.0
293,-769.0
294,-300.0
295,-300.0
296,-300.0
297,-300.0
298,-300.0
299,-300.0
300,-300.0
301,-300.0
302,-300.0
303,-702.0
304,-840.0
305,-300.0
306,-300.0
307,-300.0
308,-300.0
309,-795.0
310,-825.0
311,-300.0
312,-664.0
313,-845.0
314,-831.0
315,-300.0
316,-686.0
317,-300.0
318,-696.0
319,-300.0
320,-300.0
321,431.0
322,-300.0
323,-300.0
324,-748.0
325,-300.0
326,-300.0
327,-300.0
328,-619.0
329,-300.0
330,-825.0
331,-300.0
332,-300.0
333,-300.0
334,-776.0
335,-571.0
336,-300.0
337,-300.0
338,-300.0
339,-300.0
340,-300.0
341,-743.0
342,-300.0
343,-300.0
344,-300.0
345,-300.0
346,-604.0
347,-841.0
348,-300.0
349,-300.0
350,-300.0
351,-300.0
352,-300.0
353,-300.0
354,-723.0
355,-300.0
356,-300.0
357,-583.0
358,-711.0
359,-601.0
360,-812.0
361,-741.0
362,-300.0
363,-840.0
364,-300.0
365,-776.0
366,-770.0
367,-684.0
368,-775.0
369,-300.0
370,-300.0
371,-797.0
372,-709.0
373,-771.0
374,-300.0
375,-300.0
376,-300.0
377,-722.0
378,-300.0
379,-661.0
380,-771.0
381,-666.0
382,-300.0
383,-772.0
384,-300.0
385,-741.0
386,-300.0
387,-300.0
388,-300.0
389,-300.0
390,-300.0
391,341.0
392,-847.0
393,-300.0
394,-670.0
395,-300.0
396,-300.0
397,-300.0
398,-655.0
399,-300.0
400,-699.0
401,-838.0
402,-300.0
403,-300.0
404,-300.0
405,-813.0
406,-300.0
407,-780.0
408,-300.0
409,-828.0
410,-623.0
411,-786.0
412,-749.0
413,-664.0
414,-582.0
415,-801.0
416,-300.0
417,-300.0
