,reward
0,588.0
1,-590.0
2,-766.0
3,-766.0
4,-806.0
5,-774.0
6,-766.0
7,-450.00000000000006
8,-766.0
9,630.0
10,-974.0
11,-572.0
12,-766.0
13,-936.0
14,-766.0
15,-446.00000000000006
16,-766.0
17,-766.0
18,-806.0
19,-444.0
20,-458.00000000000006
21,-560.0000000000001
22,-766.0
23,-450.0
24,-806.0
25,-454.0
26,-1244.0
27,-914.0000000000002
28,-1052.0000000000005
29,203.99999999999983
30,-716.0000000000001
31,-726.0000000000002
32,-780.0000000000001
33,-780.0000000000001
34,-28.0
35,-572.0
36,-680.0
37,-966.0000000000003
38,540.0
39,-1206.0000000000002
40,-862.0000000000002
41,-774.0000000000002
42,-780.0000000000001
43,-938.0000000000002
44,-858.0000000000002
45,-850.0000000000002
46,-1142.0000000000002
47,-1048.0000000000005
48,-704.0000000000005
49,-1114.0000000000005
50,-1140.0000000000002
51,-1240.0000000000005
52,102.0
53,-774.0000000000001
54,-622.0000000000005
55,-992.0000000000002
56,-720.0000000000005
57,-694.0000000000005
58,-556.0000000000001
59,-840.0000000000003
60,-604.0
61,-516.0000000000005
62,-720.0000000000002
63,-690.0000000000005
64,-680.0000000000002
65,-620.0000000000005
66,-634.0000000000005
67,-740.0
68,-642.0000000000003
69,-668.0000000000007
70,-1176.0000000000002
71,-602.0000000000005
72,-598.0000000000005
73,-962.0000000000002
74,-562.0000000000002
75,-562.0000000000005
76,-616.0000000000007
77,-916.0000000000005
78,-1110.0000000000005
79,-708.0
80,-674.0000000000005
81,-608.0000000000005
82,-542.0000000000002
83,-752.0000000000005
84,-658.0000000000005
85,-618.0000000000007
86,-662.0000000000003
87,-1282.0000000000002
88,-638.0
89,-648.0000000000005
90,-1218.0000000000002
91,-920.0000000000002
92,-606.0000000000002
93,-602.0000000000006
94,-800.0
95,-634.0000000000007
96,-788.0000000000001
97,-640.0000000000005
98,-596.0000000000005
99,-704.0000000000002
100,-574.0000000000005
101,-616.0000000000002
102,-450.0000000000001
103,-770.0000000000001
104,-734.0000000000005
105,-726.0000000000005
106,-636.0000000000002
107,-1026.0000000000002
108,-572.0000000000007
109,-952.0000000000002
110,-596.0000000000005
111,-788.0000000000001
112,-566.0000000000005
113,-1098.0000000000005
114,-696.0000000000005
115,-666.0000000000005
116,-598.0000000000005
117,-688.0000000000005
118,-596.0000000000007
119,-668.0000000000003
120,-520.0000000000007
121,-990.0000000000002
122,-986.0000000000002
123,-686.0000000000001
124,-688.0000000000005
125,-1202.0000000000005
126,-954.0000000000002
127,-506.0000000000007
128,-636.0000000000003
129,-596.0000000000005
130,-658.0000000000005
131,-574.0000000000001
132,-720.0000000000005
133,-506.0000000000002
134,-652.0000000000002
135,-656.0
136,-672.0000000000002
137,-720.0000000000005
138,-728.0000000000001
139,-586.0000000000007
140,-518.0000000000007
141,-590.0
142,-590.0000000000002
143,-728.0000000000002
144,-624.0000000000007
145,-600.0000000000005
146,-678.0000000000003
147,-804.0
148,-948.0000000000007
149,-608.0000000000002
150,-1192.0000000000007
151,-984.0000000000005
152,-694.0000000000003
153,-968.0000000000006
154,-760.0000000000003
155,-694.0000000000005
156,-904.0000000000002
157,-588.0000000000001
158,-648.0000000000005
159,-566.0000000000005
160,-844.0000000000002
161,-646.0000000000005
162,-678.0000000000005
163,-858.0000000000001
164,414.0
165,-598.0
166,-960.0000000000005
167,-632.0000000000006
168,-566.0000000000005
169,-550.0000000000001
170,-936.0000000000002
171,572.0
172,-650.0
173,-552.0000000000003
174,-600.0000000000001
175,-556.0000000000005
176,-586.0000000000005
177,-644.0000000000005
178,-610.0000000000005
179,-610.0000000000005
180,-626.0000000000005
181,-566.0000000000007
182,-586.0000000000005
183,-602.0000000000007
184,-658.0
185,-596.0000000000005
186,-616.0000000000003
187,-684.0000000000005
188,-546.0000000000006
189,-704.0000000000005
190,-630.0000000000001
191,-470.00000000000034
192,-770.0000000000002
193,-616.0000000000002
194,-734.0000000000002
195,-598.0000000000005
196,-656.0000000000003
197,-590.0000000000005
198,-968.0000000000002
199,-592.0000000000002
200,-832.0000000000002
201,-560.0000000000005
202,-650.0
203,-918.0000000000002
204,-1176.0000000000005
205,-1034.0000000000005
206,-598.0000000000007
207,-620.0000000000005
208,-634.0000000000005
209,-562.0000000000005
210,-780.0000000000005
211,-742.0000000000005
212,-1084.0
213,-688.0000000000001
214,-704.0000000000005
215,-586.0000000000001
216,-576.0000000000005
217,-572.0000000000005
218,-632.0000000000005
219,-560.0000000000006
220,-1016.0000000000001
221,-1102.0000000000005
222,-914.0000000000001
223,-654.0000000000005
224,-942.0000000000001
225,-528.0000000000001
226,-520.0000000000005
227,-1174.0000000000005
228,-556.0000000000007
229,-576.0000000000002
230,-628.0000000000008
231,-606.0000000000005
232,-982.0000000000001
233,-604.0
234,-592.0000000000006
235,-588.0000000000005
236,-1210.0000000000005
237,-1156.0
238,-600.0000000000005
239,-566.0000000000001
240,-670.0000000000005
241,-626.0000000000007
242,-830.0000000000002
243,-526.0000000000002
244,-588.0000000000001
245,-566.0000000000005
246,-902.0000000000002
247,-598.0000000000006
248,-636.0000000000005
249,-726.0000000000002
250,-944.0000000000002
251,-632.0000000000005
252,-730.0000000000005
253,-616.0000000000007
254,-766.0000000000002
255,-656.0000000000001
256,-616.0000000000005
257,-532.0000000000007
