,loss
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,3861.1774718121783
37,3112.7632441960327
38,5207.481493183211
39,5261.499925130208
40,4522.848798014323
41,3596.852783203125
42,3832.168008466657
43,3738.516176775698
44,4706.619912923177
45,5451.577646484375
46,6305.48100423177
47,7122.742449544271
48,7747.212314453125
49,8545.971310618728
50,9253.167989908854
51,9988.080014648438
52,10932.093354492188
53,11750.826775716147
54,12100.991861979166
55,12057.419352213541
56,13124.130354485544
57,14321.546171875
58,15173.698033854167
59,16288.25220703125
60,17125.19095101034
61,18085.197470703126
62,18892.851826111964
63,19267.596292317707
64,20089.53591833382
65,20591.69798828125
66,20905.030078125
67,21910.072740885418
68,22715.017109375
69,23888.557766927082
70,24736.284921287595
71,25819.986458333333
72,26197.61144018955
73,27084.436608072916
74,27888.186764513597
75,28509.892986918603
76,28959.78235815603
77,29860.007109375
78,30743.5925390625
79,31467.211114413498
80,32146.162701716188
81,32748.098053385416
82,33639.03035287081
83,34232.654780835175
84,33425.2817602759
85,34826.667916666665
86,34881.880598958334
87,35169.79441307773
88,35776.76820963542
89,36242.091066734814
90,36991.16489583333
91,38142.975625
92,38574.666960685485
93,39055.99555664063
94,39594.21595052083
95,40540.135729166665
96,41072.550095942985
97,41241.198880208336
98,41819.428262578615
99,42299.107265625
100,43215.46149739583
101,43752.17059616816
102,44825.533216145835
103,45266.760734617244
104,46357.44375
105,46964.38170668658
106,47142.167886513154
107,46916.53814935065
108,47337.55350260417
109,47961.79536365328
110,47879.55363707983
111,48421.039296875
112,49309.26057291667
113,49924.43007144765
114,50568.53020833333
115,51385.48807347075
116,51858.29725260416
117,52563.76588644193
118,53561.75796875
119,53801.35178571429
120,54736.73329427083
121,55477.93400379834
122,55933.0816796875
123,56632.81549479167
124,57402.5087109375
125,57987.54052734375
126,58096.59713001943
127,58351.66594587053
128,58827.76341780996
129,59228.89384114584
130,60005.161432291665
131,60552.868841145835
132,60872.60818780637
133,61361.932630208335
134,62277.1776171875
135,63142.71404947917
136,63791.215247395834
137,64205.116293078274
138,64931.049817708335
139,65693.89344832921
140,65602.60459635417
141,65794.70109375
142,66185.95002761995
143,67419.39213541667
144,67818.2865625
145,67804.68330729166
146,68383.58098958334
147,69546.88154947916
148,69349.91757484243
149,69819.07216380331
150,70536.06423177083
151,70810.58737664473
152,71503.42946614583
153,72464.2390680212
154,73958.62723994756
155,74060.61052083333
156,74452.8234186747
157,76233.691015625
158,77101.51408854166
159,77841.87861979166
160,78188.40576171875
161,78893.830546875
162,80240.55649535124
163,80177.16989583333
164,81035.184375
165,81085.77510416666
166,81931.62300308296
167,82183.97461993243
168,82239.320078125
169,82935.68854166666
170,83597.33777794472
171,84470.93057291667
172,84969.73984375
173,86033.14231770833
174,87226.02826086957
175,87573.05309895833
176,88212.96660270468
177,88988.594609375
178,89580.55341145833
179,90049.23010416667
180,90671.04662024457
181,90983.87350335249
182,91526.5640625
183,92211.12184895833
184,92877.5948275862
185,93401.4396364796
186,94926.58869791667
187,95856.97908854167
188,96049.2154815051
189,96157.90770833334
190,97195.21307291667
191,97985.626328125
192,98701.456796875
193,99185.12196356275
194,99361.67860576924
195,100209.299140625
196,101035.6115625
197,102512.31192708333
198,103889.82567708334
199,104277.53567708333
200,104816.78739583334
201,104986.01598931347
202,104597.74347310126
203,105368.99278645833
204,105965.98492324562
205,107168.35324646643
206,107600.126953125
207,108591.57763020834
208,109075.81997395834
209,109089.61167279411
210,109587.57307291667
211,109898.46888020834
212,110027.65809151786
213,110871.91210159363
214,111633.97229166667
215,111978.17912660257
216,112964.41643229166
217,113708.66875
218,114075.0228125
219,114952.5978125
220,115356.74341145833
221,115562.41861979167
222,116097.25916666667
223,116628.1803125
224,116814.68015625
225,117264.71902654867
226,117543.52734375
227,118240.37244791667
228,119382.9934375
229,119841.867109375
230,120618.56548455056
231,120950.27013020833
232,121653.82552083333
233,121837.979296875
234,122543.14659410113
235,122998.9978125
236,124337.15955729167
237,124296.67734375
238,122998.3640478972
239,123246.42447916667
240,123305.714609375
241,123656.90518229167
242,123745.60463541666
243,123232.033671875
244,123691.99135416666
245,124062.79947916667
246,123221.46393914474
247,123046.10165550595
248,122860.88560267857
249,122507.203359375
250,122978.54166666667
251,123429.69311179577
252,123288.35239583334
253,122998.65518229167
254,123424.5846590909
255,122316.87657055413
256,123083.90201388889
257,123936.94905733471
258,124702.51734375
259,124339.58238636363
260,124894.737890625
261,124924.858515625
262,125601.51447916667
263,126028.51140625
264,127284.79907431723
265,128973.10845588235
266,128933.38596039377
267,129589.53765625
268,129444.499140625
269,130274.706875
270,129414.24921875
271,129325.65744791667
272,129857.17279773622
273,129537.39252604167
274,130434.12028645833
275,130270.47578125
276,130243.84034974093
277,130375.85831653226
278,129306.25605085785
279,127506.11277613147
280,127711.90323660715
281,126149.01628101146
282,125682.053125
283,124083.11398565574
284,124091.90622395833
285,123294.94638020833
286,122254.60169270834
287,121565.05082614943
288,122721.51455729167
289,122791.9509375
290,123209.23822916667
291,122603.95664360687
292,123228.17203125
293,123482.78558238636
294,122730.71778645834
295,123418.58513020833
296,123633.673671875
297,124152.797109375
298,123759.19880208334
299,123588.681953125
300,123009.450859375
301,123838.76455729167
302,123222.9646875
303,120159.3953737745
304,120668.85107925258
305,122257.11432291666
306,122203.39885416666
307,123150.77848958333
308,123097.55377604166
309,122840.83806529471
310,122787.68602807971
311,120052.21473958333
312,121093.8558423913
313,118657.86032516892
314,116968.26986369681
315,117975.72333333333
316,118327.77070027373
317,116349.32731770833
318,115662.45828018707
319,116885.38643229166
320,115062.35489583333
321,114622.51127232143
322,113604.03869791667
323,112179.169296875
324,110401.97090923367
325,108641.297890625
326,115604.826328125
327,116089.93856770833
328,116686.37421875
329,118309.52903645833
330,125362.6370018116
331,129987.79494791667
332,131396.074921875
333,133353.67479166668
334,133249.0148678414
335,128801.22940340909
336,130278.58364583334
337,129936.12375
338,125227.963203125
339,124229.45674479166
340,125612.46640625
341,123586.78696842784
342,124306.25614583334
343,124616.92138020834
344,124904.10955729167
345,122164.61393229167
346,122701.98238636364
347,118425.74684289383
348,118513.92520833333
349,119446.45361979166
350,117926.2909375
351,121146.49669270833
352,121414.95611979166
353,120350.47385416667
354,121950.58616199713
355,122355.41682291667
356,124603.56486979166
357,125137.66521139706
358,120184.6255304784
359,122540.92307692308
360,118783.40423003802
361,119546.33964029948
362,118583.79020833333
363,119092.551626933
364,119950.476796875
