,reward
0,476.0
1,-554.0
2,483.0
3,-564.0
4,-579.0
5,-661.0
6,-582.0
7,-582.0
8,-580.0
9,-582.0
10,-580.0
11,-579.0
12,-582.0
13,-582.0
14,-579.0
15,-580.0
16,-582.0
17,-579.0
18,-581.0
19,-580.0
20,-661.0
21,-715.0
22,-585.0
23,-814.0
24,-619.0
25,-626.0
26,-645.0
27,-612.0
28,-569.0
29,-565.0
30,455.0
31,-575.0
32,-567.0
33,466.0
34,-570.0
35,458.0
36,-569.0
37,-569.0
38,-568.0
39,-605.0
40,-602.0
41,-300.0
42,-592.0
43,-566.0
44,-563.0
45,-597.0
46,-565.0
47,-573.0
48,485.0
49,476.0
50,452.0
51,-600.0
52,468.0
53,469.0
54,-558.0
55,456.0
56,-570.0
57,430.0
58,-588.0
59,455.0
60,431.0
61,445.0
62,445.0
63,452.0
64,-565.0
65,466.0
66,-567.0
67,-579.0
68,-571.0
69,461.0
70,449.0
71,-569.0
72,-577.0
73,481.0
74,-551.0
75,-567.0
76,455.0
77,442.0
78,-561.0
79,468.0
80,449.0
81,445.0
82,-585.0
83,-569.0
84,490.0
85,467.0
86,458.0
87,-564.0
88,481.0
89,-579.0
90,-573.0
91,-570.0
92,460.0
93,-563.0
94,-567.0
95,-568.0
96,-573.0
97,465.0
98,445.0
99,-560.0
100,-563.0
101,-571.0
102,-566.0
103,-571.0
104,-566.0
105,461.0
106,-559.0
107,479.0
108,-578.0
109,-566.0
110,462.0
111,-577.0
112,480.0
113,-553.0
114,-564.0
115,466.0
116,-575.0
117,-564.0
118,-585.0
119,486.0
120,471.0
121,-581.0
122,487.0
123,-550.0
124,487.0
125,-555.0
126,464.0
127,-563.0
128,463.0
129,-576.0
130,-575.0
131,488.0
132,-557.0
133,-570.0
134,-571.0
135,474.0
136,-583.0
137,474.0
138,-570.0
139,465.0
140,-562.0
141,467.0
142,438.0
143,-556.0
144,492.0
145,459.0
146,441.0
147,-565.0
148,-568.0
149,485.0
150,-557.0
151,487.0
152,-551.0
153,-576.0
154,477.0
155,455.0
156,-559.0
157,-575.0
158,463.0
159,-585.0
160,-568.0
161,471.0
162,437.0
163,-563.0
164,488.0
165,-585.0
166,-576.0
167,473.0
168,-598.0
169,482.0
170,-550.0
171,455.0
172,463.0
173,-565.0
174,485.0
175,-566.0
176,472.0
177,-559.0
178,-575.0
179,478.0
180,478.0
181,-597.0
182,-569.0
183,484.0
184,-554.0
185,461.0
186,-569.0
187,480.0
188,-554.0
189,461.0
190,454.0
191,-566.0
192,-573.0
193,468.0
194,-567.0
195,-569.0
196,-564.0
197,474.0
198,-564.0
199,-570.0
200,-579.0
201,457.0
202,-592.0
203,-565.0
204,-563.0
205,461.0
206,-560.0
207,472.0
208,476.0
209,462.0
210,468.0
211,-588.0
212,472.0
213,-579.0
214,463.0
215,464.0
216,-554.0
217,-576.0
218,-581.0
219,490.0
220,-575.0
221,474.0
222,-563.0
223,460.0
224,-572.0
225,-576.0
226,-570.0
227,473.0
228,-595.0
229,-565.0
230,-574.0
231,442.0
232,-563.0
233,-569.0
234,475.0
235,-581.0
236,-571.0
237,461.0
238,-589.0
239,470.0
240,-579.0
241,-567.0
242,486.0
243,-550.0
244,-568.0
245,-567.0
246,-573.0
247,470.0
248,452.0
249,-550.0
250,469.0
251,466.0
252,-594.0
253,459.0
254,-568.0
255,468.0
256,-564.0
257,480.0
258,-565.0
259,466.0
260,-567.0
261,485.0
262,-555.0
263,-575.0
264,478.0
265,-555.0
266,462.0
267,-563.0
268,489.0
269,464.0
270,-562.0
271,-576.0
272,476.0
273,-557.0
274,474.0
275,-557.0
276,-568.0
277,471.0
278,469.0
279,-566.0
280,-569.0
281,-574.0
282,460.0
283,-562.0
284,455.0
285,-563.0
286,466.0
287,-561.0
288,-562.0
289,472.0
290,-598.0
291,-575.0
292,456.0
293,-575.0
294,481.0
295,-563.0
296,-565.0
297,461.0
298,-564.0
299,-579.0
300,456.0
301,-563.0
302,-569.0
303,472.0
304,454.0
305,-573.0
306,-567.0
307,-571.0
308,-570.0
309,469.0
310,-557.0
311,472.0
312,-568.0
313,461.0
314,-599.0
315,471.0
316,-580.0
317,-575.0
318,480.0
319,-550.0
320,-566.0
321,462.0
322,-563.0
323,471.0
324,459.0
325,-561.0
326,468.0
327,-577.0
328,462.0
329,-573.0
330,467.0
331,-575.0
332,-570.0
333,-577.0
334,464.0
335,-570.0
336,466.0
337,455.0
338,-555.0
339,468.0
340,-573.0
341,-561.0
342,464.0
343,-574.0
344,-569.0
345,-570.0
346,446.0
347,-600.0
348,456.0
349,-593.0
350,-572.0
351,411.0
352,-600.0
353,394.0
354,464.0
355,394.0
356,-567.0
357,484.0
358,-566.0
359,-561.0
360,463.0
361,-576.0
362,486.0
363,-569.0
364,476.0
365,449.0
366,461.0
367,433.0
368,-562.0
369,489.0
370,-554.0
371,480.0
372,-550.0
373,-569.0
374,-572.0
375,-573.0
376,-566.0
377,454.0
378,-595.0
379,473.0
380,-609.0
381,-567.0
382,472.0
383,-571.0
384,470.0
385,451.0
386,445.0
387,-596.0
388,-565.0
389,452.0
390,454.0
391,431.0
392,-582.0
393,484.0
394,-552.0
395,-566.0
396,484.0
397,-551.0
398,471.0
399,-564.0
400,468.0
401,-570.0
402,467.0
403,455.0
404,-564.0
405,-580.0
406,-574.0
407,-563.0
408,-567.0
409,-575.0
410,-568.0
411,481.0
412,468.0
413,448.0
414,-582.0
415,-568.0
416,461.0
417,433.0
418,477.0
419,457.0
420,-589.0
421,487.0
422,-554.0
423,-578.0
424,483.0
425,-551.0
426,-579.0
427,-568.0
428,-575.0
429,455.0
430,-575.0
431,-568.0
432,-575.0
433,466.0
434,-586.0
435,-566.0
436,476.0
437,-561.0
438,483.0
439,-555.0
440,480.0
441,-571.0
442,470.0
443,-559.0
444,-567.0
445,462.0
446,-576.0
447,-569.0
448,467.0
449,450.0
450,441.0
451,473.0
452,472.0
453,459.0
454,443.0
455,-563.0
456,-565.0
457,481.0
458,-564.0
459,-567.0
460,473.0
461,481.0
462,-551.0
463,462.0
464,-586.0
465,472.0
466,447.0
467,-561.0
468,-573.0
469,-565.0
470,-580.0
471,469.0
472,-603.0
473,456.0
474,468.0
475,479.0
476,461.0
477,453.0
478,473.0
479,-579.0
480,467.0
481,-598.0
482,472.0
483,-561.0
484,463.0
485,-583.0
486,477.0
487,-568.0
488,-576.0
489,462.0
490,447.0
491,-577.0
492,485.0
493,-553.0
494,452.0
495,-574.0
496,-573.0
497,-565.0
498,-565.0
499,-565.0
500,-567.0
501,-569.0
502,-567.0
503,473.0
504,-582.0
505,-570.0
506,460.0
507,441.0
508,-574.0
509,474.0
510,461.0
511,-584.0
512,466.0
513,-564.0
514,462.0
515,470.0
516,-552.0
517,-571.0
518,-561.0
519,-564.0
520,-572.0
521,468.0
522,-598.0
523,-566.0
524,465.0
525,483.0
526,459.0
527,475.0
528,-598.0
529,478.0
530,-550.0
531,476.0
532,-561.0
533,478.0
534,-565.0
535,-571.0
536,474.0
537,479.0
538,-553.0
539,-564.0
540,468.0
541,452.0
542,457.0
543,-597.0
544,446.0
545,432.0
546,-571.0
547,-568.0
548,470.0
549,-576.0
550,472.0
551,461.0
552,-556.0
553,488.0
554,-550.0
555,458.0
556,-562.0
557,-570.0
558,477.0
559,-550.0
560,463.0
561,471.0
562,467.0
563,-608.0
564,-571.0
565,485.0
566,-551.0
567,472.0
568,470.0
569,471.0
570,-566.0
571,474.0
572,467.0
573,-577.0
574,-572.0
575,464.0
576,448.0
577,448.0
578,-570.0
579,448.0
580,449.0
581,-557.0
582,-567.0
583,475.0
584,456.0
585,-591.0
586,487.0
587,-552.0
588,-570.0
589,-569.0
590,476.0
591,-574.0
592,-566.0
593,475.0
594,-596.0
595,-567.0
596,-566.0
597,439.0
598,-564.0
599,452.0
600,456.0
601,-550.0
602,471.0
603,-599.0
604,475.0
605,466.0
606,-572.0
607,472.0
608,449.0
609,-567.0
610,-563.0
611,467.0
612,-593.0
613,473.0
614,-551.0
615,466.0
616,473.0
617,-556.0
618,-568.0
619,489.0
620,-552.0
621,490.0
622,-555.0
623,457.0
624,-575.0
625,-561.0
626,-576.0
627,474.0
628,461.0
629,451.0
630,475.0
631,-583.0
632,-575.0
633,487.0
634,-551.0
635,474.0
636,-585.0
637,458.0
638,453.0
639,474.0
640,-573.0
641,471.0
642,460.0
643,462.0
644,-581.0
645,-568.0
646,470.0
647,-571.0
648,468.0
649,462.0
650,-561.0
651,490.0
652,-555.0
653,-567.0
654,474.0
655,-565.0
656,476.0
657,472.0
658,-555.0
659,-572.0
660,465.0
661,457.0
662,467.0
663,-571.0
664,472.0
665,-554.0
666,-568.0
667,457.0
668,-573.0
669,-567.0
670,-571.0
671,474.0
672,-589.0
673,476.0
674,-568.0
675,467.0
676,-580.0
677,463.0
678,451.0
679,-580.0
680,489.0
681,-550.0
682,472.0
683,458.0
684,-566.0
685,488.0
686,-554.0
687,-568.0
688,474.0
689,-565.0
690,468.0
691,-567.0
692,464.0
693,440.0
694,-561.0
695,-572.0
696,470.0
697,-572.0
698,475.0
699,-555.0
700,471.0
701,-593.0
702,-571.0
703,-568.0
704,464.0
705,-563.0
706,472.0
707,-568.0
708,466.0
709,-582.0
710,455.0
711,473.0
712,454.0
713,-557.0
714,468.0
715,-561.0
716,-563.0
717,486.0
718,-550.0
719,-565.0
720,-577.0
721,464.0
722,471.0
723,468.0
724,-551.0
725,469.0
726,428.0
727,-564.0
728,-571.0
729,465.0
730,-605.0
731,468.0
732,454.0
733,-564.0
734,469.0
735,451.0
736,440.0
737,470.0
738,476.0
739,473.0
740,-562.0
741,469.0
742,-562.0
743,470.0
744,-571.0
745,471.0
746,441.0
747,473.0
748,-561.0
749,491.0
750,-553.0
751,467.0
752,-564.0
753,454.0
754,-557.0
755,475.0
756,431.0
757,448.0
758,-553.0
759,468.0
760,-581.0
761,464.0
762,-577.0
763,466.0
764,445.0
765,-597.0
766,469.0
767,-568.0
768,455.0
769,448.0
770,-562.0
771,-576.0
772,477.0
773,-559.0
774,-584.0
775,-568.0
776,474.0
777,448.0
778,441.0
779,-571.0
780,-571.0
781,488.0
782,-579.0
783,-568.0
784,465.0
785,440.0
786,466.0
787,466.0
788,-590.0
789,470.0
790,455.0
791,454.0
792,421.0
793,-569.0
794,472.0
795,458.0
796,453.0
797,-578.0
798,467.0
799,458.0
800,-566.0
801,-574.0
802,460.0
803,-580.0
804,472.0
805,428.0
806,456.0
807,-565.0
808,-573.0
809,467.0
810,460.0
811,454.0
812,469.0
813,-551.0
814,-564.0
815,-574.0
816,469.0
817,438.0
818,-576.0
819,469.0
820,447.0
821,458.0
822,-575.0
823,470.0
824,454.0
825,449.0
826,452.0
827,-565.0
828,463.0
829,457.0
830,455.0
831,-568.0
832,-581.0
833,488.0
834,473.0
835,-570.0
836,487.0
837,476.0
838,-583.0
839,457.0
840,464.0
841,-579.0
842,-586.0
843,-572.0
844,485.0
845,-551.0
846,-566.0
847,474.0
848,-572.0
849,453.0
850,481.0
851,-560.0
852,483.0
853,-550.0
854,473.0
855,450.0
856,-566.0
857,474.0
858,-573.0
859,-574.0
860,-574.0
861,-567.0
862,-574.0
863,-579.0
864,-563.0
865,467.0
866,451.0
867,451.0
868,456.0
869,-583.0
870,465.0
871,-570.0
872,477.0
873,-562.0
874,471.0
875,476.0
876,465.0
877,-574.0
878,467.0
879,461.0
880,-560.0
881,-569.0
882,-569.0
883,-574.0
884,472.0
885,454.0
886,-550.0
887,474.0
888,-565.0
889,464.0
890,464.0
891,457.0
892,466.0
893,-550.0
894,469.0
895,-574.0
896,470.0
897,450.0
898,449.0
899,470.0
900,463.0
901,-564.0
902,466.0
903,-584.0
904,-586.0
905,477.0
906,472.0
907,-553.0
908,475.0
909,-565.0
910,-574.0
911,-569.0
912,458.0
913,460.0
914,446.0
915,457.0
916,429.0
917,-576.0
918,476.0
919,455.0
920,458.0
921,469.0
922,436.0
923,476.0
924,468.0
925,-568.0
926,440.0
927,-556.0
928,-567.0
929,456.0
930,476.0
931,-564.0
932,468.0
933,-577.0
934,473.0
935,450.0
936,472.0
937,-565.0
938,462.0
939,-582.0
940,488.0
941,-552.0
942,-571.0
943,-571.0
944,-572.0
945,465.0
946,-581.0
947,-577.0
948,-569.0
949,475.0
950,-563.0
951,-570.0
952,-574.0
953,-572.0
954,470.0
955,464.0
956,-588.0
957,472.0
958,477.0
959,-560.0
960,-584.0
961,468.0
962,460.0
963,-554.0
964,461.0
965,-562.0
966,473.0
967,-571.0
968,471.0
969,-585.0
970,474.0
971,463.0
972,-563.0
973,486.0
974,-554.0
975,467.0
976,-560.0
977,474.0
978,476.0
979,455.0
980,-595.0
981,-570.0
982,484.0
983,-550.0
984,485.0
985,-550.0
986,-577.0
987,467.0
988,478.0
989,459.0
990,436.0
991,-569.0
992,460.0
993,470.0
994,-595.0
995,-569.0
996,459.0
997,442.0
998,437.0
999,468.0
1000,462.0
