,loss
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,5734.515141104987
27,7989.92591796875
28,4628.848101948583
29,4657.066150343562
30,4255.1148681640625
31,4420.352272420435
32,4411.47182053786
33,4294.179415720813
34,4342.807861328125
35,4583.772392134233
36,4584.15154157366
37,4687.4147313222165
38,3829.1712661554784
39,3608.908431116245
40,3682.134970162661
41,3225.816882178897
42,2593.547696749369
43,1849.8968306321365
44,1793.288965103474
45,1558.9626668829667
46,746.2219591002533
47,611.2317630543429
48,166.45613059997558
49,-314.83337656656903
50,180.7931701660156
51,-332.93778642018634
52,-925.6623422531854
53,-895.5109441003134
54,-1539.9838968912761
55,-1747.5390401986929
56,-2044.2714538574219
57,-2074.493408203125
58,-2232.774457197923
59,-2760.4118340386285
60,-3509.9166078920716
61,-3426.980062456273
62,-4003.2220251111016
63,-4554.681392415365
64,-5134.460838524071
65,-5414.782633463542
66,-5711.8819790544185
67,-6191.1326904296875
68,-6503.829986572266
69,-6686.9505859375
70,-6650.1045032848015
71,-7226.202304573946
72,-7843.654602050781
73,-8222.833435058594
74,-8039.785089666193
75,-8400.294140625
76,-8893.1787109375
77,-8759.244187127977
78,-9726.13104624807
79,-9984.393738793546
80,-10260.03369140625
81,-10576.380026424633
82,-10485.036241319445
83,-10968.296417236328
84,-11671.947265625
85,-11438.376032902645
86,-12016.56376953125
87,-12443.383126395089
88,-13008.644988364362
89,-13777.808323636968
90,-14323.22763296274
91,-15027.106036518895
92,-15013.577980324075
93,-15718.759165981359
94,-16103.779622395834
95,-16082.288130326704
96,-16894.8572265625
97,-17399.147028996395
98,-17925.550486010176
99,-18607.78125
100,-18300.830589657737
101,-18989.507927389706
102,-19364.223521205357
103,-20688.1796875
104,-19849.51828342014
105,-19993.831143465908
106,-20764.78400735294
107,-21367.234036959133
108,-22347.520084021227
109,-22482.307319972828
110,-23198.74710398707
111,-23773.385270743536
112,-24879.517485119046
113,-25570.451822916668
114,-26402.44990405702
115,-27406.819244384766
116,-30164.68359375
117,-28265.068917410714
118,-29358.772225215518
119,-30186.977872242645
120,-30793.232481060608
121,-31796.894325657893
122,-32347.69748263889
123,-32928.01286272321
124,-34336.38158815299
125,-35838.832927766394
126,-36517.92256123311
127,-37040.399338942305
128,-37252.524776785714
129,-38178.40589488636
130,-39909.66421274038
131,-40101.98254145408
132,-41791.4095703125
133,-42091.473420516304
134,-42458.33828125
135,-43265.53236607143
136,-42915.524088541664
137,-43357.48083496094
138,-44665.84438590116
139,-44964.40910050676
140,-45811.8349609375
141,-47312.96577380953
142,-47877.36612215909
143,-48066.13162878788
144,-48373.309072066324
145,-50649.52313112745
146,-51070.8101380814
147,-51649.649626358696
148,-52657.03515625
149,-52535.53947368421
150,-53653.68832236842
151,-54124.5603125
152,-54615.75740131579
153,-55236.079427083336
154,-56274.73457278481
155,-57938.54108297414
156,-57978.14536830357
157,-59185.99254261364
158,-58686.734834558825
159,-60164.166666666664
160,-61053.765625
161,-60779.00285823171
162,-62138.46315696023
163,-63400.54546440972
164,-63950.620916193184
165,-65244.67423804013
166,-66132.77287946429
167,-67509.29246471774
168,-67648.091796875
169,-67763.26455965909
170,-69255.66141633065
171,-69962.90602678571
172,-71927.23970170454
173,-71701.2654194079
174,-72212.77824519231
175,-73857.23950195312
176,-75094.0546875
177,-76005.846875
178,-77805.23251953124
179,-79090.98286290323
180,-80381.12934027778
181,-81142.060546875
182,-82149.91469594595
183,-82869.50985054347
184,-84258.83671875
185,-84925.771484375
186,-85612.14583333333
187,-85320.89289314517
188,-86751.25355113637
189,-87295.3504050926
190,-89911.912109375
191,-88848.93787202382
192,-90569.78338068182
193,-90928.41659628379
194,-91928.38169642857
195,-93570.76704545454
196,-94643.0666118421
197,-96568.65054898648
198,-97140.71806066176
199,-98122.21440972222
200,-98094.10074013157
201,-98982.76792279411
202,-99837.23046875
203,-101430.44385901163
204,-103167.50501644737
205,-105575.97798295454
206,-107020.56759510869
207,-108009.646484375
208,-109121.169921875
209,-111098.57510080645
210,-111452.74318484042
211,-112342.36953125
212,-113664.92895507812
213,-113668.50911458333
214,-115859.9416118421
215,-114012.1265625
216,-115789.16943359375
217,-117064.31843171296
218,-118355.93339512713
219,-120790.83821614583
220,-121917.12691885965
221,-123596.10681352459
222,-124854.55121527778
223,-126431.07619598765
224,-128496.34748641304
225,-129149.57552083333
226,-129936.56705729167
227,-131727.3166118421
228,-133845.32692307694
229,-132885.2375
230,-132007.8286830357
231,-133499.82338169642
232,-134815.89605034722
233,-134697.15171370967
234,-136426.93072916666
235,-136976.5267857143
236,-138816.4212962963
237,-141158.703125
238,-141911.04208669355
239,-144122.6680253623
240,-146327.74951923077
241,-149202.703125
242,-147665.01502403847
243,-149937.42035060975
244,-151425.26880787036
245,-153179.76351351352
246,-154929.73519736843
247,-155627.865234375
248,-155524.91051136365
249,-156667.59629360464
250,-159227.959375
251,-159746.733203125
252,-161211.85785060975
253,-164381.30995639536
254,-166915.2082122093
255,-165714.26875
256,-168440.56419836957
257,-170351.9854525862
258,-171497.44151785714
259,-171646.08873820756
260,-173802.93576388888
261,-173805.68607954544
262,-175774.2042025862
263,-177650.16666666666
264,-177200.19819078947
265,-177916.84806034484
266,-180840.90767045456
267,-181332.06206597222
268,-182751.54166666666
269,-182862.20359848486
270,-184041.003125
271,-186154.55255681818
272,-186601.89306640625
273,-189017.7672413793
274,-189439.63626453487
275,-190968.78993055556
276,-191046.56169871794
277,-192963.35184151787
278,-194440.5234375
279,-195807.06361607142
280,-196156.48076923078
281,-197008.40550595237
282,-198082.67138671875
283,-199494.13427734375
284,-199667.625
285,-199566.08806818182
286,-201355.0515625
287,-201992.5390625
288,-203016.8705357143
289,-203295.74080882352
290,-205471.67548076922
291,-206140.796875
292,-192281.09375
293,-206984.7412109375
294,-209238.54719387754
295,-210315.81414473685
296,-211211.57278963414
297,-212461.03693181818
298,-214708.54887820513
299,-215292.36073369565
300,-217564.9751602564
301,-218929.2084263393
302,-220697.0546875
303,-222628.36011904763
304,-222125.13839285713
305,-225807.08873820756
306,-227402.96331521738
307,-229733.6837797619
308,-230844.58072916666
309,-230883.93964460783
310,-232812.82169117648
311,-233523.82063802084
312,-235631.36899038462
313,-235647.1905048077
314,-239563.8125
315,-236764.96553308822
316,-238489.4247159091
317,-239811.92908653847
318,-239980.61825980392
319,-244105.00731803797
320,-244938.98794642856
321,-247317.6580882353
322,-249734.32068452382
323,-249738.59811046513
324,-251066.85885416667
325,-253059.4467147436
326,-254851.02719907407
327,-258442.1356534091
328,-259379.30034722222
