,reward
0,550.6770005366332
1,-550.0
2,-1462.4138946136145
3,-1000.9016126333124
4,-1224.5334414855101
5,-744.727425007419
6,-1644.2934928340148
7,-1030.5976968687944
8,-1237.0657190895638
9,-867.3496814785362
10,-1264.9881785126556
11,-1018.3768132563137
12,-848.5001278186478
13,-1306.270602872505
14,-853.0857500617456
15,-1339.1956093744247
16,-549.5304626619128
17,-1174.105200020688
18,-786.9096499482769
19,-1041.6304434081121
20,-1098.3346657381544
21,-1007.4183108123685
22,-1082.760895629756
23,-1115.160209074476
24,-1099.5366674888414
25,-1030.2915065809123
26,-907.9631482216555
27,-1057.8598636202519
28,-1117.9576867352666
29,-1223.1601716907485
30,-1650.1991537786735
31,-964.0051162266011
32,-594.0128169915449
33,-1017.5555318837964
34,-907.5606251049849
35,-1159.9896333843244
36,-618.0072503109772
37,-737.0608639473097
38,-841.7890721384244
39,-1977.5695823290039
40,-974.283494668004
41,-1443.4831460985326
42,-804.6007017053861
43,-1369.1445209502763
44,-891.3117551742732
45,-507.5275146744174
46,-588.1105197401258
47,-569.1797377068459
48,390.0682856917317
49,-588.5214516303209
50,-839.2280069411928
51,-616.9677316532709
52,-628.8830004706022
53,-1038.7549567405322
54,-999.3899786815921
55,-737.5802801291317
56,593.0223542128231
57,-1185.2402520826722
58,-862.5209440512584
59,-926.6149555010522
60,-1378.5428621057392
61,-1764.0097483375826
62,-692.8582912647472
63,-1400.087839344553
64,-652.3116939412739
65,-853.7285940619341
66,-946.5253337088624
67,-571.3698161797912
68,-598.0406077045847
69,-811.2900679325752
70,-791.3172172321702
71,709.9815201729162
72,-691.9974716089514
73,-843.8582840928905
74,-739.12674114013
75,-657.372320285079
76,-675.2715094764045
77,657.9972291880458
78,-694.6046711283843
79,-754.2946501630124
80,-463.18296274628835
81,545.4929690215473
82,-444.70001619950085
83,-492.4449401671917
84,-531.971919978353
85,-526.3693384404797
86,732.6405226172827
87,-690.2153649853349
88,-719.2701657432481
89,-736.3294230700151
90,-701.4000351469472
91,-745.326452709628
92,648.4279657354518
93,-520.3161584142017
94,-906.9336925770742
95,-951.6595204574253
96,-573.3818297674193
97,745.981210382644
98,813.9945137389655
99,-971.0729249862875
100,-877.1914587654446
101,-631.570807162978
102,-805.965487476652
103,-521.877849351954
104,-1222.533154919513
105,759.9865051522712
106,-528.0785707449347
107,-814.1000313972717
108,-1028.4184317630973
109,-598.2019931098758
110,436.9183045976341
111,-915.1660793493219
112,-739.4718638410017
113,577.1221350982595
114,-345.4630629065192
115,-675.0589218280832
116,-489.0020110106823
117,-678.5726183545281
118,-480.19210859328734
119,-483.5498521460114
120,-846.5852235835904
121,-946.7735806238557
122,-607.6932589381694
123,-726.9434260497002
124,685.5393277773529
125,-894.0959906978323
126,-723.8333214510521
127,-576.0624934524394
128,-704.5736260922163
129,-939.6021011087491
130,-855.2756722299681
131,-1003.6206052633261
132,-506.1738125549246
133,-1027.2855100299566
134,-923.5783789702085
135,-669.8037663383078
136,-555.853079314544
137,-623.430365051208
138,-855.5226035642388
139,-547.6782684657347
140,689.8749609828059
141,-688.0103718717321
142,710.1275335565688
143,-1147.0085876066082
144,-887.9684041535916
145,557.9980071072289
146,-687.5158022060061
147,-816.7442885896312
148,-598.6871683045155
149,-590.9477027609418
150,-849.298341584516
151,-615.1954001619415
152,-826.713442567782
153,-756.4353566862294
154,-464.53473425231084
155,-650.2519687284462
156,-624.645285115918
157,-747.6153290409877
158,-767.7956391741334
159,-754.2741566180487
160,747.875967516956
161,-764.629571012661
162,688.6672964297843
163,819.9997683248896
164,-982.5358516718145
165,732.2019196830776
166,-669.4081878370586
167,-533.0470945376485
168,747.9081708651942
169,-566.7382369467215
170,611.966186338453
171,-645.4647978172087
172,-717.8237033970613
173,-906.8642838680108
174,427.6578555888733
175,-725.6162044284913
176,-533.4873109040599
177,40.45546019768693
178,783.9337982532732
179,-1396.8974619978867
180,777.7628245365393
181,-584.8499468543806
182,-634.3986628440391
183,755.9997262933747
184,-551.354209002346
185,-842.9516732581902
186,-988.4156776378046
187,-817.6977480623709
188,417.8186233412582
189,-550.0
190,676.3334273139532
191,-477.4110317769233
192,731.9999340745554
193,-785.4074783308617
194,-873.725685449936
195,-514.8488042318193
196,604.8836718485826
197,-569.7453246540832
198,-656.2814581395488
199,-639.9916760340003
200,-728.8192611041317
201,-644.1077027361248
202,-486.70055750436836
203,-627.9587514192739
204,-576.9606270025647
205,319.14724413953627
206,-550.0
207,-522.3175024682705
208,-609.4072499069658
209,757.8493765256741
210,-1100.3310046554302
211,-842.990684580008
212,-707.5043729172462
213,-1010.2603705608165
214,-791.6723102029824
215,-641.9061874313379
216,-496.7923776453975
217,-514.7407756862207
218,-671.2826321963133
219,-621.3116440073035
220,616.4841219538044
221,-550.0
222,-435.19081931353065
223,-1078.8128556285346
224,575.285705177874
225,-550.0
226,-924.0163144807116
227,-592.1438201500494
228,-777.7333481275846
229,-983.2050902719559
230,-556.1340666359622
231,-972.5510263343974
232,-638.2486770218355
233,-489.61793848844013
234,707.8683459445591
235,-641.789697920338
236,708.9301765201062
237,-582.8535690834356
238,243.21306706436997
239,815.7511073296323
240,-645.8894941239297
241,773.9982187480471
242,-598.7047133377121
243,470.46287252171265
244,735.9990191972738
245,-1336.1191799312803
246,721.8832558345144
247,-701.853681739512
248,755.9937590921331
249,899.9945627962825
250,908.2706167648068
251,-962.5476481391208
252,-621.3537321179232
253,-761.8163738094405
254,374.5613445492533
255,767.7638347394625
256,794.169725068973
257,-838.7087269493261
258,-951.3382496184144
259,541.041861779089
260,841.5901080637832
261,707.9996027349912
262,721.7213067665501
263,735.9734887818216
264,865.9742211570772
265,-1087.8370243880408
266,567.5570530035043
267,-769.0221031541215
268,-774.5226729518646
269,607.9998799655294
270,675.9987998523759
271,-896.579283738603
272,627.6098587850113
273,769.86671216836
274,942.1449544668485
275,-551.4761726820029
276,571.9999970007464
277,-763.7019853986201
278,372.42932460469507
279,741.9167439032392
280,709.387474862727
281,797.9999355200187
282,599.0339801973498
283,765.953485464012
284,757.9025832832147
285,-641.9311925591949
286,-1264.6485346055915
287,623.9875324483418
288,-888.1793465645335
289,-960.7371033096015
290,-1119.8120816899254
291,448.2837573763523
292,-737.2240718984204
293,514.5554561846064
294,867.993999182404
295,789.9745649980467
296,-925.527491610542
297,507.14990427959185
298,662.0438317168921
299,889.36061905071
300,875.9956890506675
301,655.7737321575345
302,808.240460290821
303,813.6189949041991
304,885.65803892197
305,909.0430884683708
306,964.5407020302587
307,758.6500681466675
308,-1640.6243374787305
309,-1408.0251035289818
310,599.1080158254234
311,719.8116390550033
312,-892.8162586722956
313,-1029.1805926903603
314,685.153407231094
315,714.4144338065806
316,677.1344463513665
317,854.0096856902011
318,967.9093227824527
319,-1039.4955823876014
320,352.1066459403944
321,860.8015313578194
322,685.9999999999841
323,-629.6251966223049
324,662.7171002372725
325,745.9999999996407
326,815.8123668292252
327,-532.6394520490877
328,727.8865942005068
329,-804.3033263140666
330,365.26421696399836
331,-598.4011586099107
332,543.9999217374367
333,557.9225399805235
334,-850.2648621695738
335,-2160.445795383039
336,-952.9526170376012
337,707.9947954965742
338,849.9999831035072
339,411.9781858596346
340,-946.946679445655
341,164.54588693614943
342,889.4389644961561
343,-621.821572480901
344,726.9333604806245
345,-660.618189480914
346,709.9143508770096
347,319.45832235867283
348,697.440930303447
349,666.000192921373
350,809.0777277648298
351,-383.52698854425586
352,-1090.56684315682
353,525.9999944183143
354,519.9294293601856
355,-1023.0584180678479
356,535.304745205552
357,721.1022281540083
358,-1535.7297808171247
359,-1137.4320232658986
360,747.9998869064631
361,607.5920948255982
362,569.4810580278796
363,715.4159262445992
364,764.7396778723817
365,-1618.0005729706875
366,673.4944617479666
367,-1016.212801421645
368,725.9399492421323
369,983.9937230284406
370,-1032.781731176439
371,535.999951931602
372,215.06904376762782
373,-589.9452484932553
374,450.3398000259339
375,833.998730987751
376,657.887908708638
377,695.4517167264357
378,671.9999998713952
379,-537.502949052961
380,60.017466984766315
381,-1201.4324213546595
382,610.2069140649805
383,-633.7788491295952
384,-1011.3000056387498
385,-579.283810292251
386,-44.257525444372504
387,-612.1206210384415
388,419.52446347036835
389,-1480.7347810189772
390,549.4329265804363
391,-832.7483277784681
392,619.4656864887318
393,-599.8049757731753
394,412.03618327587026
395,-703.0430945283716
396,677.9988586897944
397,-731.9186841665501
398,593.0366479241154
399,703.5866055747753
400,568.184602281681
401,-1306.6314881929582
402,773.4550606797388
403,603.148663840966
404,731.6878343855064
405,-731.5186978870333
406,-423.0787557673908
407,-682.84484395857
408,723.9999238424489
409,-697.2515383228642
410,702.6310161380406
411,933.221289312033
412,225.69842805797265
413,687.5161532593493
414,-538.1700481215421
415,665.4884329727633
416,-1053.9413393042405
417,531.9996151703353
418,302.25795728941193
419,653.9999988287583
420,-827.1863235467772
421,500.2476349628554
422,699.0649069403247
423,-953.8788087453158
424,480.9455801189103
425,713.5118959613222
426,-1180.6119347165854
427,611.8476253460577
428,805.9743443093229
429,658.787492832201
430,-80.82871105799916
431,-482.6435452075772
432,-1020.5216155066514
433,-1213.7557556486558
434,595.9654347051487
435,11.3985191986539
436,-627.5452904122652
437,-1890.8680453255577
438,747.3119827235608
439,-616.4441051616716
440,-935.7504125386512
441,536.196801610666
442,827.738787858758
443,699.9843532546938
444,-662.2341779991878
445,787.9814767196723
446,-482.1352223032949
447,499.82160824015097
448,892.7337777598359
449,853.9964248644205
450,934.1737334421756
451,-1222.837686546197
452,637.9935428160829
453,767.9562495135508
454,628.1320494691847
455,-988.297731382742
456,695.21939838497
457,-693.8279361340465
458,701.7857732410547
459,803.075587894911
460,683.9999944378833
461,1010.4637053174765
462,897.9997654866452
463,-910.5226672338968
464,-590.9987921706577
465,-1086.9012506272138
466,721.9996320762132
467,580.2090426783459
468,-1415.8493889937513
469,181.13312258404875
470,-1367.9937650605837
471,-632.6033608131535
472,-1016.4348413809646
473,-727.7748883795821
474,533.9396869770475
475,-342.20730346209984
476,733.9867280252616
477,-607.3090090244176
478,679.9998275371902
479,-809.5825547575573
480,649.5696565530018
481,-438.90786726982003
482,-841.590659587049
483,-551.8570232138175
484,-677.8388859227272
485,-539.961906388713
486,501.2479164840971
487,712.6552613291387
488,-904.8508800285083
489,265.32554486010235
490,837.9130121014136
491,798.5501907357258
492,-683.311495408034
493,609.9628396535187
494,723.9403195941486
495,-679.6826470887269
496,527.9946803414168
497,-699.2350692958241
498,637.7613643787321
499,719.9881414170583
500,622.5524643795293
501,294.0258683719699
502,-572.315604024653
503,757.3830996886654
504,-1055.7531071830147
505,745.0591424361625
506,-646.9524331826357
507,677.9997403346567
508,759.9983221533222
509,665.0727619062757
510,-568.272838412966
511,-420.9060313226364
512,648.7400853063522
513,-1375.9748749514613
514,483.15605287112726
515,760.1220991512648
516,-680.4007194377102
517,-610.3657982429626
518,762.0002243830286
519,-562.2459626915356
520,641.233083303522
521,847.9973701438433
522,-805.2995414923381
523,663.6649454153969
524,885.9993264422606
525,971.7398052131339
526,469.18087192803705
527,-920.6638363485974
528,-916.7815589872401
529,747.9740281961713
530,887.9291797504097
531,-894.7487684824808
532,-838.6633970067589
533,218.37649624734354
534,743.6490086732514
535,-1446.1449610775799
536,-228.4782180548027
537,-1089.7112814045406
538,-1036.5028072403704
539,753.9640663751446
540,-1146.4461349531255
541,-578.9279863612115
542,199.33238228074498
543,863.9994784478638
544,863.157683008774
545,-410.4686731764257
546,-1198.6312198072483
547,652.3483755147033
548,-620.4402745915369
549,709.9996886390693
550,-768.0346557086914
551,589.9954627849215
552,702.1021958778381
553,639.9304092195479
554,-1235.36571421517
555,761.9996076699133
556,-916.967064039851
557,663.9577776926935
558,775.8968168441828
559,-883.0358845582625
560,-1087.8218322599018
561,-592.2490455655562
562,561.9997857597722
563,656.2247928526102
564,629.7992179976708
565,855.9979606731765
566,-781.9644994308221
567,673.872231332691
568,756.8047170007812
569,-919.5030253427269
570,660.986609584249
571,895.9993941513028
572,937.740489841042
573,-1134.3931330396663
574,713.9999828605296
575,703.9156202312317
576,-673.2366781295773
577,237.58738420791508
578,523.836842882
579,883.6858397859171
580,-1151.9441860078286
581,651.9127552875701
582,-1666.6808200340802
583,-787.3866374793588
584,-1190.1059594963433
585,637.992891224927
586,-581.4035142081698
587,-507.3879420444419
588,684.1914993835942
589,634.3372030833752
590,-745.7278576854587
591,765.9941915488158
592,889.9988673276704
593,733.9333749968196
594,581.3401801063935
595,-76.91739264563955
596,639.6907723417912
597,759.5995545797634
598,-844.929223163762
599,737.9708043187204
600,853.9971495948935
601,701.9911235755566
602,433.9973671558414
603,643.9409087536394
604,795.8699076802241
605,-830.5966575125458
606,609.8923566837341
607,893.113394576019
608,-1443.3468309873042
609,-925.503356632075
610,597.9999701673456
611,-880.8025667336397
612,711.9995221808997
613,-1043.0230889333418
614,665.9797259051853
615,731.9999938682762
616,869.9720679716008
617,673.9898454313293
618,749.8212928572586
619,611.690838101239
620,681.9999996948562
621,-554.3568580281428
622,586.0654312775038
623,791.9924019865782
624,-1485.9692724906392
625,-313.36825930265104
626,-776.2148185702838
627,773.8480912531014
628,635.999494966001
629,-759.4228744541728
630,731.9605498446472
631,627.9528152646023
632,-1017.4213545459825
633,685.8968676169677
634,-632.576664618457
635,741.9962945254007
636,532.6964016914345
637,841.8863616050594
638,917.9999707903864
639,946.3173028009303
640,917.9819037210768
641,838.849278836878
642,-977.0806188866994
643,-771.2290508543829
644,741.9988600540252
645,839.9999990975996
646,725.9999878178891
647,719.9988439294112
648,465.54118022293534
649,785.8700853008943
650,975.9972450631194
651,-1207.2788959644427
652,1322.4900432228806
653,-1383.3347560073403
654,624.6080421742138
655,-863.9047516036828
656,765.9287895763928
657,829.9999269833972
658,-813.3765656347191
659,683.672484703195
660,-1055.0629005485855
661,-549.3071975284623
662,725.5996432198951
663,509.5496401101707
664,-550.0
665,799.8331165530251
666,-600.2011564612445
667,693.2690804932263
668,683.9613019451526
669,-750.336571417272
670,-517.2260777638469
671,526.8180150514851
672,721.648678141851
673,973.9875162126627
674,897.9997561037565
675,650.2259081112713
676,720.7279001596092
677,-714.8761622414304
678,-1179.0632081465571
679,710.0099073634201
680,715.9881511347414
681,-1012.2341858034576
682,-671.3784834237814
683,687.6405113448926
684,961.8527017133274
685,643.2653760283445
686,-700.9135714534439
687,-738.2232381238866
688,723.9996105769139
689,793.9987144573413
690,785.6540094417685
691,-1335.5249356869735
692,543.973039803723
693,661.5319845006806
694,829.9999999604848
695,-634.479230903244
696,440.4016977700176
697,516.1500846146114
698,590.5768736362344
699,-652.217081894659
700,-674.3712813354655
701,741.9681346804825
702,744.5196004096887
703,-929.0125289319025
704,759.980681042141
705,887.99999392426
706,887.2137649008688
707,647.99999897385
708,497.73799559728883
709,747.5580759317266
710,-786.436873706614
711,-872.1949727434867
712,557.7657669023455
713,-770.6520150302487
714,-1016.5194486439988
715,-1009.3989650098683
716,687.9994122213693
717,-1177.196869781745
718,506.74538324570705
719,939.9830757438544
720,-823.2535593962643
721,635.3601341216472
722,627.941452116866
723,593.8654804266359
724,-732.263681799999
725,-1235.4681893388863
726,654.7589677994804
727,783.7424511983784
728,589.9448287787379
729,-983.5252181082608
730,667.880549114326
731,-1207.1677680593039
732,716.9156932488365
733,747.9834757285332
734,727.8485252516233
735,-922.9903548389477
736,621.7539417465357
737,593.4931315571912
738,560.22859728031
739,461.67487156684695
740,771.9968037310102
741,-410.9609497951619
742,-1056.5481524973377
743,-723.4433646571504
744,706.7423261759398
745,737.9949369489052
746,-687.4383090639624
747,-1005.2382102299282
748,527.9999802301978
749,622.4642805114398
750,577.2592696076189
751,844.090780882349
752,-1275.9273491583704
753,511.72962182088077
754,-1045.604990655689
755,712.4980933624713
756,-1214.6805249794484
757,-552.7438441306433
758,609.9840156336525
759,-906.6323965496808
760,683.7883486774648
761,884.4890650714904
762,-922.2750487814486
763,626.0032890131127
764,134.18421045450935
765,-931.2000030927472
766,516.4635801712034
767,695.439909326703
768,492.12333959888105
769,431.2768802935004
770,450.3566402831215
771,763.8556902688174
772,695.9626210615264
773,-1227.1269448821731
774,689.9888300256205
775,-1229.7143303705805
776,-1957.416133336572
777,152.46262494814698
778,727.9999941581214
779,728.7367359448507
780,833.9120161531939
781,878.6394609002703
782,-621.7641966234821
783,506.1850825355611
784,639.9999997468535
785,-793.0099247948176
786,487.9025888409901
787,827.9302201222572
788,-729.7150917123053
789,645.9826921761544
790,617.9157096128047
791,-935.2029182201976
792,-548.3130065676737
793,-671.1767097498131
794,-1202.5945180674635
795,280.58140695361595
796,-378.54488740316197
797,699.5944669040837
798,-629.7806081059043
799,749.9868573267187
800,985.151701176544
801,845.8659774516939
802,746.567745195824
803,621.2506811196356
804,-767.7429636849888
805,-836.7883521812287
806,-741.3552663149694
807,738.0446064043156
808,573.9943336933427
809,889.9278818348278
810,551.3146960821075
811,-925.412310372199
812,481.7462980831533
813,-1725.8448762329724
814,-961.3470353485882
815,-1116.106275590318
816,715.7723046648639
817,768.558870348357
818,749.6872320293098
819,763.1764122392128
820,782.3286073772999
821,-1124.7613193481934
822,241.47367141919784
823,645.9115933133828
824,641.9999957939206
825,641.9999930951773
826,872.0090972967621
827,-736.9007949837285
828,-964.4245002142972
829,-854.6107492776227
830,-959.4406222190286
831,742.0046638849393
832,-1033.6074799191729
833,675.9983315813259
834,-1714.451839063126
835,-1216.3918486093028
836,-1015.3950895150508
837,673.7106479671138
838,783.9924258446734
839,657.9450774921831
840,777.9955153372262
841,-843.2831042874404
842,599.9423140467936
843,-1020.2630047012163
844,478.3748469965417
845,613.5645071470503
846,673.7827304628877
847,-727.8089449535108
848,247.62312817901434
849,885.9794844994084
850,622.556811688141
851,-1042.017048790669
852,659.9432278514017
853,-930.7013020001921
854,-701.1000362533973
855,731.0825587264849
856,544.4625101180513
857,803.5945160592863
858,961.4468198664017
859,553.9016821421262
860,718.2459718584532
861,856.636732805616
862,355.8641687120559
863,788.3597301546581
864,-550.0
865,322.7448324723447
866,781.9847544990583
867,823.9929066073637
868,717.2270199742309
869,745.9661118696131
870,661.9999999954965
871,675.8834792055343
872,896.6965522394048
873,921.5731519102158
874,695.999979096326
875,643.9999712585494
876,-934.2983914687453
877,429.322616580645
878,781.9921540340272
879,-720.2397652794647
880,-759.0936401283329
881,621.9983437002719
882,747.1460955287814
883,638.0192026698791
884,919.1569295850209
885,708.6476238355083
886,727.9999867704312
887,-1172.9286031076704
