,loss
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,-1563.2867987496513
16,-1810.3960025185033
17,-1342.7979283188329
18,1125.880551147461
19,-7286.654407468616
20,-1811.0184837790096
21,-2273.1167439499945
22,-3526.4035400390626
23,-4274.374178799716
24,-4744.53113782728
25,-4999.475413602941
26,-5135.12357313368
27,-5370.883827209473
28,-5442.25826171875
29,-5445.954926589439
30,-5337.853568699049
31,-5202.315340909091
32,-5333.882846886004
33,-5414.909807990579
34,-5870.783460828993
35,-5884.034265295251
36,-6610.021551724138
37,-8335.2109375
38,-6515.656600952148
39,-6281.857164884868
40,-6847.974934895833
41,-6790.977322048611
42,-6481.382629394531
43,-6573.460730919471
44,-6497.135925292969
45,-6747.68943189538
46,-6821.7478515625
47,-7000.949662642045
48,-6902.463316761364
49,-7157.892309570312
50,-6741.687563688859
51,-7031.348253038194
52,-6765.132956112132
53,-6645.857394748264
54,-6826.003278459822
55,-6713.8067626953125
56,-4884.8972733561195
57,-3199.2654640891337
58,-3254.3072848849824
59,-3006.9125473920035
60,-3214.375920410156
61,-3176.6379990350633
62,-3820.5581385294595
63,-3417.086474609375
64,-3775.246819553605
65,-3584.4643994140624
66,-3005.266183564157
67,-3685.801466508345
68,-3314.429863424862
69,-4562.4447021484375
70,-3516.5873520733558
71,-5353.969081333706
72,-5213.3364190822695
73,-5831.499233097225
74,-6335.096975226152
75,-6426.089441022303
76,-7013.62506003458
77,-6711.938819774683
78,-7469.540759858631
79,-7000.728173828125
80,-7494.852154457406
81,-4203.816128709581
82,-4325.058510599257
83,-4882.633817232572
84,-5568.528468776393
85,-5425.91884237261
86,-5583.7845142505785
87,-5613.033549433169
88,-6575.590340508355
89,-6114.7739742503445
90,-6573.446925841656
91,-6248.078985985289
92,-6629.08760963296
93,-6388.318475632441
94,-7605.627725535425
95,-7588.766464233398
96,-8287.78630953057
97,-8227.561700118216
98,-8060.573313837466
99,-9302.853062220982
100,-10423.967950994318
101,-9236.216927877287
102,-8499.759212239584
103,-10555.22762784091
104,-9569.151580810547
105,-9016.503860134548
106,-9394.761544363839
107,-9636.927411397299
108,-9135.187908561862
109,-9736.501980868254
110,-10129.52001953125
111,-10393.676181135506
112,-11233.507277715773
113,-11661.880859375
114,-11185.15438079834
115,-10660.96937779018
116,-11763.906817461993
117,-13079.749765625
118,-11904.479766845703
119,-11543.63220796131
120,-11886.657460088316
121,-12379.738018329326
122,-12898.257352941177
123,-12866.552135120739
124,-12369.587351244549
125,-12446.380836123511
126,-13680.583142089843
127,-13864.402960526315
128,-13712.581874302456
129,-13846.493767851143
130,-15076.067464192709
131,-13853.375689338236
132,-13677.354502576463
133,-12188.235909598214
134,-14547.440199908087
135,-13632.157797280845
136,-15716.099196213941
137,-14770.652743980532
138,-14304.808894428454
139,-15342.700358072916
140,-15397.670709425403
141,-16034.63984375
142,-15363.68900730299
143,-15756.971516927084
144,-14886.999862938597
145,-16922.487955729168
146,-15490.848069411059
147,-14999.872326078868
148,-16342.379035673946
149,-15490.172437263258
150,-16650.256473501933
151,-15741.395141601562
152,-16277.767376077587
153,-16027.469490958261
154,-17490.503614856352
155,-18240.526529947918
156,-15793.315478515626
157,-16424.785947265624
158,-16770.319010416668
159,-17589.190372242647
160,-18181.88331330128
161,-17891.678268432617
162,-18685.55521484375
163,-18940.20479329427
164,-18199.497209821428
165,-18963.929293118992
166,-20282.114512567936
167,-18798.480746400124
168,-20043.761060631794
169,-19385.409577546296
170,-18925.810990767044
171,-19713.893530868903
172,-17762.84115439967
173,-19182.569021451272
174,-21449.960876464844
175,-19114.171905517578
176,-21906.394921875
177,-19849.9462890625
178,-19605.13800603693
179,-19674.822250828598
180,-19757.82099609375
181,-20486.707659040178
182,-21620.275496944305
183,-22925.096337890624
184,-22045.90325830853
185,-21531.515642438615
186,-21742.112178679436
187,-22165.210855139307
188,-23683.002139136905
189,-22933.55889892578
190,-24045.802339099704
191,-25220.076447315707
192,-25313.7751953125
193,-25346.469116210938
194,-25555.602207728796
195,-26752.97336341595
196,-27172.703309257075
197,-27799.82305518617
198,-27615.512606534092
199,-28835.33923921131
200,-29144.492804276317
201,-27917.34738372093
202,-29950.800844254034
203,-27994.86688701923
204,-29028.445063920455
205,-29575.935234375
206,-31024.61302425987
207,-30103.574462890625
208,-31726.391614583332
209,-32601.08901263298
210,-33747.33561862245
211,-32525.046251662236
212,-35608.13449309593
213,-34914.79178503788
214,-36411.52188501602
215,-36680.45465959822
216,-36818.61307565789
217,-36867.79767071759
218,-37090.86012178309
219,-37938.16685267857
220,-38354.407182173294
221,-39090.31698690879
222,-41722.83523105053
223,-42805.032823350695
224,-43535.251015625
225,-43799.0368514151
226,-43642.43203125
227,-45284.02395833333
228,-43939.94529079861
229,-44677.63491586538
230,-45446.754014756945
231,-42074.503580729164
232,-45251.32203851744
233,-45964.9332157258
234,-47537.76089638158
235,-47585.85247672872
236,-47056.190910218254
237,-47992.16640625
238,-47413.99464699074
239,-48808.48700944767
240,-49987.277669270836
241,-49404.24609375
242,-49025.53041294643
243,-50781.86380912162
244,-50030.80810546875
245,-51358.4640234375
246,-52333.20471475291
247,-52751.96435546875
248,-52439.481553819445
249,-53064.52232142857
250,-52796.24183238636
251,-54782.6921875
252,-54474.76953125
253,-54696.46746651785
254,-55381.410688920456
255,-54042.2310546875
256,-56534.021484375
257,-55154.00515625
258,-61260.2109375
259,-55239.93185763889
260,-55923.88384650735
261,-54826.326822916664
262,-54851.16516426282
263,-56987.54003125
264,-59701.81590221774
265,-60354.74770720109
266,-59743.122575431036
267,-61704.391927083336
268,-61841.51944444444
269,-63655.483525815216
270,-61913.759765625
271,-64215.41924055233
272,-63882.82444852941
273,-63945.569123641304
274,-64055.36649305555
275,-64370.966822916664
276,-65223.844618055555
277,-66319.87961647728
278,-66204.29740767046
279,-66604.27473958333
280,-66492.96716308594
281,-68145.47278645834
282,-67343.8358577806
283,-69023.33111496913
284,-70672.70052083333
285,-71304.87936580883
286,-70547.7263671875
287,-70622.37843276515
288,-71824.54255756579
289,-71755.8066882622
290,-71293.90691692074
291,-72586.45671875
292,-73369.9972511574
293,-75067.03255208333
294,-74905.64935661765
295,-76722.01953125
296,-77728.92236328125
297,-78230.75274493243
298,-79136.77320772059
299,-80529.28999255953
300,-81503.50035511363
301,-80909.19308035714
302,-79502.01744791666
303,-81120.4840625
304,-81519.8134527439
305,-81885.92376893939
306,-82256.67630208333
307,-82430.71118164062
308,-82710.76440746753
309,-83950.15348307292
310,-84185.98744066455
311,-84947.41297743056
312,-85001.75570913461
313,-84220.48893229167
314,-85279.13636363637
315,-84857.90824854652
316,-85926.47200520833
317,-86057.14300271739
318,-86067.09657118056
