,reward
0,477.0
1,-555.0
2,-668.0
3,-582.0
4,-580.0
5,-580.0
6,-580.0
7,-670.0
8,-580.0
9,-580.0
10,-580.0
11,-579.0
12,-579.0
13,-579.0
14,-580.0
15,-606.0
16,-625.0
17,-747.0
18,-569.0
19,-666.0
20,-566.0
21,-622.0
22,-589.0
23,-593.0
24,-586.0
25,-566.0
26,-594.0
27,-581.0
28,-574.0
29,-578.0
30,432.0
31,-582.0
32,-620.0
33,-617.0
34,-567.0
35,-626.0
36,443.0
37,-550.0
38,-581.0
39,-568.0
40,-579.0
41,-567.0
42,-573.0
43,-575.0
44,-573.0
45,-572.0
46,-604.0
47,-571.0
48,-604.0
49,-599.0
50,-572.0
51,-585.0
52,-566.0
53,-576.0
54,-570.0
55,-565.0
56,-300.0
57,446.0
58,-567.0
59,-600.0
60,-574.0
61,-612.0
62,-561.0
63,-599.0
64,-632.0
65,-574.0
66,-582.0
67,-626.0
68,484.0
69,-557.0
70,-695.0
71,-605.0
72,-631.0
73,-626.0
74,-568.0
75,384.0
76,-610.0
77,-618.0
78,-570.0
79,-569.0
80,-695.0
81,-729.0
82,-707.0
83,475.0
84,-586.0
85,434.0
86,-603.0
87,-595.0
88,429.0
89,314.0
90,-646.0
91,-596.0
92,448.0
93,-570.0
94,-636.0
95,-629.0
96,458.0
97,463.0
98,-595.0
99,-605.0
100,-571.0
101,-590.0
102,-564.0
103,-571.0
104,-565.0
105,411.0
106,417.0
107,453.0
108,-598.0
109,-593.0
110,-575.0
111,-636.0
112,480.0
113,-550.0
114,437.0
115,-647.0
116,-586.0
117,-574.0
118,-629.0
119,-570.0
120,-595.0
121,-588.0
122,-583.0
123,457.0
124,-592.0
125,-570.0
126,-589.0
127,-568.0
128,-577.0
129,408.0
130,-561.0
131,-583.0
132,454.0
133,-563.0
134,-566.0
135,424.0
136,-575.0
137,440.0
138,406.0
139,-594.0
140,-580.0
141,-569.0
142,478.0
143,-555.0
144,444.0
145,-570.0
