,loss
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,72.60446166992188
28,1082.5779689567676
29,2362.8550747958097
30,3929.7926080877132
31,3189.8506983706825
32,2949.0230794270833
33,3608.4810638427734
34,3935.4703747979524
35,3562.928401692708
36,3612.0181505926726
37,2997.6377999441966
38,3181.95673828125
39,3341.019442623609
40,3353.133287217882
41,3569.628335364779
42,2945.3504044382194
43,2221.3165670255335
44,2448.916081478721
45,2791.57548828125
46,2844.130520133085
47,3376.6021834153394
48,2969.413132594182
49,2439.244400535882
50,2105.282947998047
51,2117.521648700421
52,2474.1890380859377
53,2209.3261727577396
54,2480.8331232706705
55,2296.1938951932466
56,2132.628156802529
57,3289.30810546875
58,1985.4099078111246
59,1407.8117988987972
60,1948.8213157653809
61,1783.5071573529924
62,1492.645243326823
63,1788.3963187081474
64,1787.9241751977952
65,1691.0193617800448
66,1571.2001769694875
67,1541.3873901367188
68,1148.1190012462102
69,994.9172642594677
70,440.43163997568985
71,766.0086427307128
72,530.1409058041042
73,36.326003615920605
74,-82.80916234066612
75,181.3753460154814
76,308.3177529611895
77,-338.1384122169624
78,469.638186500186
79,-295.47500292460126
80,-219.91101837158203
81,10.519913330078126
82,-1246.8421128069767
83,-1110.895541576629
84,-1270.7258733705032
85,-1603.6588778109165
86,-3047.8355366099963
87,-2569.778030395508
88,-2637.220505658318
89,-1969.1019876169603
90,-2169.5511843363442
91,-3179.13583984375
92,-2381.4821380615235
93,-2739.131533377511
94,-3076.654314313616
95,-2591.16073513031
96,-3434.778717481173
97,-4246.860432942708
98,-4458.600939941406
99,-4190.772155761719
100,-4686.848306509165
101,-4094.8206990559897
102,-4522.385518775796
103,-5636.904627873348
104,-5565.658768503289
105,-6315.638027580417
106,-6696.720376657885
107,-7398.135986328125
108,-6952.645578692036
109,-7488.3521074567525
110,-8229.621007970862
111,-9004.17078218006
112,-8776.789508526143
113,-8959.93163333722
114,-8774.88080124628
115,-9495.98325892857
116,-9403.488170276989
117,-10434.747088176448
118,-10998.116906738282
119,-10345.126154119318
120,-11140.59976196289
121,-11034.106334339489
122,-11735.149694824218
123,-11782.68641764323
124,-12283.19480298913
125,-12432.080861217572
126,-13696.265991210938
127,-13277.134636080995
128,-13713.106724330357
129,-14307.862587376645
130,-14439.537323742377
131,-14878.761064170063
132,-15425.40633616728
133,-16699.84988839286
134,-16138.76728515625
135,-16434.961463341348
136,-17266.106011284723
137,-16680.7841796875
138,-17231.468727289244
139,-17976.71059283088
140,-17132.82254464286
141,-17286.360378689234
142,-18355.360454358553
143,-18833.622907366072
144,-19222.457496279763
145,-21148.714599609375
146,-19153.64093572443
147,-18750.849175347223
148,-19833.903053977272
149,-19794.717256433825
150,-19405.138255635247
151,-19938.225868626643
152,-19629.483628216913
153,-20554.015869140625
154,-20707.833367598683
155,-21308.860205078126
156,-21600.463341346152
157,-22100.38597972973
158,-22583.978117028062
159,-22492.537109375
160,-22285.86557904412
161,-22354.41222034801
162,-23364.268508184523
163,-23556.738785282258
164,-24083.093203125
165,-23978.65504092262
166,-24667.586486816406
167,-24536.2046875
168,-24641.68627142137
169,-24958.96990740741
170,-25626.9025390625
171,-25840.27852746212
172,-25878.33326099537
173,-25736.14375
174,-26851.35854166667
175,-26809.540234375
176,-26800.25927734375
177,-27142.496603260868
178,-27763.421705163044
179,-28020.65322580645
180,-28466.159642269737
181,-28438.169921875
182,-28351.621141387193
183,-29852.089111328125
184,-29963.82730741279
185,-29181.171020507812
186,-29568.3769140625
187,-30422.044232536766
188,-29762.252589026164
189,-31105.36071630271
190,-31322.190482474663
191,-32403.8365234375
192,-32560.35655048077
193,-33654.35979352678
194,-34287.34560032895
195,-33699.31178977273
196,-32769.35597826087
197,-34286.89440658245
198,-34303.05815972222
199,-34874.88353430707
200,-35691.44529005029
201,-36395.208451704544
202,-36460.96323939732
203,-36127.48981881649
204,-36381.624921875
205,-36626.57829483696
206,-36678.365349264706
207,-37746.402622767855
208,-37332.635946584305
209,-37194.926850818454
210,-38322.736165364586
211,-38235.2890625
212,-38704.397024601065
213,-38646.14039789244
214,-39639.104166666664
215,-38060.05078125
216,-39099.76100419207
217,-40080.6109375
218,-39898.099308894234
219,-40292.332069546566
220,-40458.00031887755
221,-40893.72060032895
222,-40488.28125
223,-41915.37464488636
224,-41137.668359375
225,-41355.38630022322
226,-41478.528211805555
227,-42436.20888157895
228,-42876.76618303572
229,-43159.4135237069
230,-42600.24267578125
231,-43380.70091711957
232,-43836.896484375
233,-44710.912301936616
234,-44812.31640625
235,-45158.044357638886
236,-44813.348125
237,-45463.062109375
238,-46279.804427083334
239,-46157.53399884259
240,-42878.350260416664
241,-46064.75052083333
242,-46131.047119140625
243,-47101.244184027775
244,-46775.045099431816
245,-47375.901442307695
246,-47499.371924867024
247,-46688.6325
248,-47728.7064924569
249,-48010.42698317308
250,-48766.88579963235
251,-47596.83922697369
252,-50069.677911931816
253,-48664.75863486842
254,-49161.56667258523
255,-48474.339397321426
256,-49417.22265625
257,-50202.11226851852
258,-50502.00020559211
259,-49885.182373046875
260,-49625.07236842105
261,-49650.020182291664
262,-49055.868963068184
263,-50719.95682565789
264,-51214.68448153409
265,-51116.78125
266,-50633.23427483974
267,-51497.36128656915
268,-52473.398963341344
269,-52486.75328125
270,-52800.250390625
271,-53348.85431134259
272,-54032.94701522436
273,-55181.50189393939
274,-56170.94475446428
275,-55477.72154017857
276,-56108.06155711207
277,-55607.19098165761
278,-56396.910606971156
279,-57343.415078125
280,-56989.920614919356
281,-57494.45234375
282,-57452.657335069445
283,-57369.3462890625
284,-58423.6318359375
285,-59036.15589488636
286,-59045.702864583334
287,-59820.659254807695
288,-60763.510416666664
289,-60987.08612351191
290,-62086.89820772059
291,-60612.884072580644
292,-63064.9609375
293,-62105.30613111413
294,-61391.00769042969
295,-62025.3681640625
296,-61749.61839657738
297,-61611.91086647727
298,-62310.92080965909
299,-63175.66852678572
300,-62677.64010416667
301,-63201.634943181816
302,-62576.34192708333
303,-62770.707139756945
304,-63056.65929878049
305,-63138.73370150862
306,-66005.16861979167
307,-63871.5415625
308,-63674.29738898026
309,-62175.38984375
310,-63215.3953125
311,-63552.8092315051
312,-65029.43694196428
313,-65459.61037660256
314,-65080.77190896739
315,-65670.22412109375
316,-64539.41611842105
317,-65486.18325892857
318,-66030.66511824324
319,-64688.84912109375
320,-66076.47544642857
321,-65592.5546875
322,-66710.85617897728
323,-67056.7265625
324,-66868.93344350961
325,-67233.77569901316
326,-67719.14200367648
327,-67124.48595861487
328,-68028.10706967213
