,loss
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,3496.021840240016
25,4733.105445963542
26,14072.699454340953
27,11327.741661658654
28,10858.5051171875
29,10464.740855823864
30,10909.368671875
31,9657.504136029413
32,10044.22181919643
33,9401.367785395409
34,8349.42023782169
35,6632.583622373384
36,4877.454147489944
37,4112.329272460937
38,4501.293421128217
39,4666.836213331956
40,4993.171510584214
41,5378.231400923295
42,5282.126602172852
43,4683.197602771577
44,4365.177121480306
45,4444.254105038113
46,4893.223106971154
47,4800.346465012123
48,4977.21435546875
49,4258.993922183388
50,4120.922070821126
51,4022.2154392340244
52,3625.382430366848
53,4269.465484619141
54,4223.2433439555925
55,3941.696969985962
56,4691.289664713541
57,4000.1621215820314
58,5014.322378305288
59,5256.0646565755205
60,3883.6151820591517
61,4602.740145365397
62,3967.450968424479
63,3709.0739323172984
64,3411.2054537259614
65,3371.421779450916
66,2629.1423950195312
67,2703.3946758767834
68,2898.222815222321
69,2714.7223516316176
70,2114.1579503705425
71,965.3488403320313
72,911.1363932291666
73,998.7823042869568
74,24.08010881898031
75,-1408.981206472818
76,-1598.7399643232238
77,-1260.7620666503906
78,-2073.9056978113513
79,-2887.6166973114014
80,-4389.998659021714
81,-3899.553995531659
82,-4308.957392478475
83,-3678.2100648622254
84,-3560.7374020531065
85,-5037.69030057467
86,-4459.039642333984
87,-5334.103434244792
88,-4267.409094769022
89,-5398.6005976250835
90,-5904.275006329572
91,-5454.478137788318
92,-5888.308327414773
93,-5144.804183332887
94,-3263.487091064453
95,-4597.446722906989
96,-5859.754940359933
97,-8831.371256510416
98,-5222.313551161024
99,-5967.261413574219
100,-6662.343051252694
101,-7490.079907226563
102,-6840.280662536621
103,-5806.799024309431
104,-8444.662771513968
105,-6571.461100260417
106,-7569.12170144786
107,-7381.695553152902
108,-8279.471344417996
109,-9094.8994140625
110,-8695.64665222168
111,-8821.135074869791
112,-8860.21073285271
113,-9518.561149088542
114,-9178.142044730808
115,-7728.2825927734375
116,-8554.542014382103
117,-8880.101280062807
118,-9763.515659877232
119,-9660.683335248163
120,-10746.486938476562
121,-9418.238308376736
122,-9761.892578125
123,-10371.07869651101
124,-11015.202573423032
125,-12710.500381469727
126,-12801.525671756628
127,-11167.231662326389
128,-12346.757242838541
129,-13886.159447454636
130,-12919.453113902699
131,-11902.711059570312
132,-14440.818231997282
133,-13857.976654052734
134,-14025.36124195772
135,-15565.172571642646
136,-15767.029724121094
137,-14527.850551060268
138,-14376.1396484375
139,-15812.568917410714
140,-14851.854594569053
141,-15926.545817057291
142,-17006.16130719866
143,-16543.322922092015
144,-18698.342529296875
145,-18200.29488820043
146,-18788.792957124257
147,-20501.543856534092
148,-21818.933485243055
149,-20516.61260775862
150,-20366.259765625
151,-23457.899147727272
152,-20903.922087296196
153,-19617.763602120536
154,-20141.705403645832
155,-24125.72345196759
156,-21497.285753038195
157,-22124.417501698368
158,-23567.350016276043
159,-19519.932477678572
160,-24474.31329900568
161,-22610.999534970237
162,-23320.46293021537
163,-21927.595160590277
164,-25117.620279947918
165,-25365.454057173294
166,-26186.948486328125
167,-25851.66015625
168,-25016.99681712963
169,-26327.75655691964
170,-25727.386294157608
171,-25847.844116210938
172,-25976.711540670956
173,-27833.067838541665
174,-24563.53586341595
175,-27606.26983173077
176,-24802.32275390625
177,-26091.699772135416
178,-27642.105350378788
179,-30800.394381009617
180,-27735.655691964286
181,-28203.345853365383
182,-30718.395729758522
183,-27207.348899147728
184,-31406.712782118055
185,-31035.9345703125
186,-28316.33296875
187,-32111.577615489132
188,-32233.79610770089
189,-32166.984700520832
190,-28873.90206473214
191,-32842.75236430921
192,-32900.918229166666
193,-30948.898607336956
194,-33402.465287642044
195,-34335.56951904297
196,-36079.58684430803
197,-33872.392671130954
198,-36005.209765625
199,-35868.29995888158
200,-36321.65084635417
201,-35013.049140625
202,-37359.1982421875
203,-36624.062614889706
204,-37534.40985107422
205,-37963.92753232759
206,-41162.667643229164
207,-39892.20646158854
208,-40529.66428786058
209,-39957.32734375
210,-40070.764605978264
211,-44168.24045138889
212,-41756.77894176136
213,-39879.56796875
214,-43127.84918478261
215,-39930.81640625
216,-43343.568223110466
217,-44734.37318638393
218,-45115.95933948864
219,-45161.34263392857
220,-43949.27821928879
221,-45989.762044270836
222,-47520.608723958336
223,-47212.42526726974
224,-48523.13628472222
225,-48992.905845905174
226,-48932.6658203125
227,-46470.1953125
228,-48928.158203125
229,-49314.349609375
230,-49890.652580492424
231,-52985.973958333336
232,-51692.41673519737
233,-51496.314732142855
234,-50747.24538352273
235,-51365.759375
236,-52416.433883101854
237,-52999.713005514706
238,-53505.121553308825
239,-53724.284104567305
240,-56375.021205357145
241,-54050.8959375
242,-54627.07771381579
243,-59308.728794642855
244,-56287.46134868421
245,-55253.98458059211
246,-56289.155078125
247,-58631.58522727273
248,-57533.88875679348
249,-58378.859256628784
250,-63678.552201704544
251,-61171.23784722222
252,-57530.15026041667
253,-60464.98828125
254,-60826.91713169643
255,-60016.879206730766
256,-61111.812825520836
257,-60876.34873383621
258,-60977.44287109375
259,-61192.32731681035
260,-63971.39737215909
261,-62788.203450520836
262,-61753.08359375
263,-62445.283380681816
264,-66310.94189453125
265,-65243.81484375
266,-62979.195963541664
267,-62827.29677220395
268,-65147.13991477273
269,-66172.2630859375
270,-65844.44006347656
271,-65736.6064453125
272,-67693.22612847222
273,-67816.65703125
274,-67623.17357336957
275,-69809.56184895833
276,-67585.25442708333
277,-69169.634765625
278,-70855.98795572917
279,-70608.88122888513
280,-73508.15859375
281,-71723.0751953125
282,-69859.4646381579
283,-70663.85290527344
284,-71683.15290178571
285,-73065.43798828125
286,-74653.25227864583
287,-73418.09326171875
288,-75201.34674479166
289,-76344.69075520833
290,-77030.28602430556
291,-79444.65553977272
292,-79851.43203125
293,-77663.2049632353
294,-78919.26605902778
295,-78705.86147836539
296,-81682.267578125
297,-80318.3408203125
298,-83765.98220486111
299,-82082.6123046875
300,-82258.90668402778
301,-86417.50167410714
302,-86115.50613839286
303,-88787.21397569444
304,-90686.32573784722
305,-94349.29264322917
306,-94751.08735795454
307,-93646.44739583334
308,-94743.91034226191
309,-96219.26953125
310,-95361.00402462122
311,-97556.34809027778
312,-97451.090234375
313,-96587.92723214286
314,-99751.61683238637
315,-96669.890625
316,-97837.7783203125
317,-97151.736328125
318,-101758.45361328125
319,-101785.67239583333
320,-104647.8966796875
321,-106562.4609375
322,-106337.26930147059
323,-108260.572265625
324,-106101.58426339286
325,-108574.23921130953
326,-107460.28125
327,-109536.22509765625
328,-107996.44037828948
