,reward
0,479.0
1,-553.0
2,-576.0
3,-629.0
4,-629.0
5,-576.0
6,-576.0
7,-576.0
8,-576.0
9,-576.0
10,-576.0
11,-576.0
12,-576.0
13,-576.0
14,-576.0
15,-576.0
16,-629.0
17,-576.0
18,-576.0
19,-576.0
20,-576.0
21,-576.0
22,-576.0
23,-576.0
24,-590.0
25,-300.0
26,-806.0
27,-640.0
28,-624.0
29,-560.0
30,-599.0
31,-566.0
32,-563.0
33,452.0
34,-600.0
35,-607.0
36,-650.0
37,-584.0
38,-566.0
39,-562.0
40,-617.0
41,-560.0
42,-589.0
43,-612.0
44,-585.0
45,429.0
46,-562.0
47,472.0
48,-555.0
49,-568.0
50,-573.0
51,423.0
52,-572.0
53,-565.0
54,-568.0
55,-573.0
56,-564.0
57,-564.0
58,-562.0
59,-564.0
60,-570.0
61,-633.0
62,-573.0
63,-676.0
64,-588.0
65,-591.0
66,-561.0
67,-595.0
68,262.0
69,-768.0
70,-673.0
71,-579.0
72,-564.0
73,-677.0
74,-722.0
75,-703.0
76,-602.0
77,-569.0
78,-634.0
79,-581.0
80,-566.0
81,-592.0
82,-598.0
83,-586.0
84,-591.0
85,-575.0
86,-565.0
87,-564.0
88,-572.0
89,454.0
90,-576.0
91,-570.0
92,-582.0
93,428.0
94,-557.0
95,-586.0
96,431.0
97,-552.0
98,-576.0
99,-564.0
100,472.0
101,-559.0
102,-565.0
103,-577.0
104,-582.0
105,-561.0
106,-595.0
107,466.0
108,-585.0
109,-573.0
110,-573.0
111,-564.0
112,-566.0
113,-564.0
114,-595.0
115,-567.0
116,457.0
117,-600.0
118,-563.0
119,-583.0
120,-593.0
121,-576.0
122,475.0
123,457.0
124,-576.0
125,-581.0
126,468.0
127,-558.0
128,-567.0
129,-580.0
130,-593.0
131,-571.0
132,-572.0
133,-605.0
134,-583.0
135,443.0
136,-573.0
137,487.0
138,-550.0
139,-570.0
140,-580.0
141,-573.0
142,473.0
143,456.0
144,-569.0
145,472.0
146,-633.0
147,-571.0
148,-567.0
149,443.0
150,-582.0
151,490.0
152,-595.0
153,-591.0
154,-567.0
155,-576.0
156,-567.0
157,-572.0
158,-561.0
159,-577.0
160,468.0
161,459.0
162,-586.0
163,-576.0
164,-561.0
165,-571.0
166,-561.0
167,-599.0
168,-576.0
169,-584.0
170,-572.0
171,-573.0
172,-583.0
173,-579.0
174,-578.0
175,-562.0
176,-567.0
177,471.0
178,-582.0
179,475.0
180,-556.0
181,488.0
182,457.0
183,-571.0
184,-567.0
185,473.0
186,476.0
187,-572.0
188,-591.0
189,483.0
190,-556.0
191,-568.0
192,471.0
193,-572.0
194,479.0
195,-581.0
196,473.0
197,-570.0
198,-564.0
199,482.0
200,441.0
201,476.0
202,-557.0
203,484.0
204,-581.0
205,-578.0
206,489.0
207,477.0
208,-575.0
209,476.0
210,-572.0
211,-567.0
212,-582.0
213,-574.0
214,-572.0
215,-573.0
216,-592.0
217,-563.0
218,479.0
219,-577.0
220,-578.0
221,477.0
222,471.0
223,-568.0
224,-567.0
225,-578.0
226,-569.0
227,486.0
228,-555.0
229,-561.0
230,468.0
231,-555.0
232,482.0
233,-556.0
234,-560.0
235,486.0
236,474.0
237,-566.0
238,-566.0
239,-575.0
240,480.0
241,-574.0
242,-587.0
243,-563.0
244,-568.0
245,-568.0
246,-569.0
247,-571.0
248,478.0
249,-582.0
250,468.0
251,-558.0
252,-564.0
253,-566.0
254,-563.0
255,475.0
256,-561.0
257,-578.0
258,477.0
259,472.0
260,-560.0
261,489.0
262,-554.0
