,loss
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,6256.781686757406
28,15099.661931295956
29,20182.5591796875
30,23742.778791065706
31,24467.42520380435
32,24735.071295572918
33,23326.016346807064
34,25156.8023828125
35,24982.252916666668
36,27558.712291666667
37,29005.728841145832
38,30704.599791666667
39,32494.27412109375
40,33525.7037890625
41,35206.59944010417
42,35330.56497130102
43,36118.377717391304
44,38371.851653645834
45,38852.42120442708
46,39965.59208323543
47,41568.73866536458
48,42092.02564761513
49,42672.68261067708
50,35442.59485152547
51,29585.657766927085
52,29334.701649305556
53,29697.688160211266
54,29433.184576822918
55,30026.601848958333
56,31285.921061197918
57,31901.1841796875
58,32211.858828125
59,32492.64442172897
60,32921.913069100214
61,33184.65546043883
62,33323.06615234375
63,34026.485422327896
64,34648.80660695043
65,35446.309055989586
66,35969.75035264757
67,36901.72401041666
68,37753.599079241074
69,38554.6139072516
70,38900.0029296875
71,39702.87705729167
72,39882.104765625
73,41165.928723958335
74,41425.508671875
75,42604.227903645835
76,43150.83086584945
77,44121.91859375
78,45717.44803240741
79,47394.99520210598
80,48286.195958024364
81,47905.46875
82,48516.43634765625
83,49005.6461328125
84,50689.10923177083
85,51273.84030963303
86,51942.6501171875
87,51996.372421875
88,51680.37616131757
89,52224.0576410061
90,53305.86213541667
91,53585.34742342715
92,54098.83083333333
93,54605.24411737351
94,56109.71934895834
95,56306.85663167939
96,57460.479140625
97,57551.34776041667
98,58735.01450639204
99,59792.18467684659
100,61282.911770833336
101,62138.222890625
102,62349.46696472168
103,62367.1991796875
104,62445.92163698476
105,62479.70510316506
106,62272.11686466942
107,63134.00140625
108,63219.50713951311
109,63685.83552083333
110,64043.515048668036
111,65232.483736979164
112,65704.574296875
113,65864.1988595546
114,66508.70703125
115,66295.36995192307
116,66781.94859375
117,66125.1149609375
118,66266.4973828125
119,66629.71024739584
120,67598.82956690436
121,67427.50592672414
122,67577.50282527515
123,67886.5833984375
124,68835.05954427083
125,68867.01850260417
126,69238.17949986353
127,69467.65901041667
128,70868.22410929951
129,70789.19877604167
130,71523.22923177083
131,72861.68392175573
132,72395.82583252896
133,73663.4159342448
134,74019.73329286318
135,74288.46835275424
136,74396.096875
137,75347.86015028626
138,74724.46434895834
139,74905.436796875
140,75300.15685096153
141,75929.56765625
142,76741.4951337394
143,76934.12486758475
144,77340.76434895833
145,79142.31403645834
146,78015.78968131189
147,79584.70520833334
148,80122.87697916667
149,79986.58096354167
150,80938.87265625
151,80685.998515625
152,77259.37715955285
153,76551.32244570035
154,77478.93028645833
155,79052.18253850711
156,78692.35822916667
157,78970.584453125
158,79660.34231770833
159,80124.0673118512
160,82079.713828125
161,81981.81511333627
162,83320.77324021465
163,82827.51268115942
164,83750.7853125
165,84274.604921875
166,83490.972890625
167,84159.05799278847
168,83418.79729166666
169,83652.04573170732
170,83683.43115234375
171,84194.47035845589
172,84639.246796875
173,85550.63096354167
174,85877.40622395833
175,85571.60125
176,85668.97256292662
177,87553.89606353591
178,88194.74817708334
179,88192.30959955089
180,89190.96498493975
181,91257.24421875
182,91317.55088541667
183,92157.03091145834
184,91096.657109375
185,90113.98302930623
186,91269.56927083334
187,91318.47895833333
188,93365.43966145834
189,94664.69984375
190,95346.57557291667
191,95556.00236979166
192,96026.479140625
193,94943.83046875
194,96158.04390625
195,97170.85993303571
196,98174.03239678899
197,100230.25426386444
198,103462.48721590909
199,102367.62674479166
200,98836.72981770833
201,97398.56901041667
202,95164.47353405898
203,97171.2226953125
204,97475.57002840909
205,98379.04419849536
206,99008.6797560307
207,100763.09955512153
208,100566.20548349057
209,101823.77135416666
210,103160.54591145834
211,103903.7790625
212,102627.60323660714
213,101765.293203125
214,101823.9240625
215,103321.35020833333
216,103674.56989583334
217,105710.72278645834
218,105381.00098958334
219,107357.94154647437
220,107557.80466145833
221,105687.74730365044
222,107123.34219802188
223,107734.32267554013
224,108863.0871875
225,109188.67356770833
226,108114.58953857422
227,107486.56134835657
228,107172.30815104167
229,107286.738671875
230,105887.26135416667
231,106674.47015625
232,107953.88127604166
233,107067.02873883929
234,108120.25153645834
235,109183.99764814014
236,110188.40336834016
237,110668.36934895834
238,111468.04939692983
239,111685.7241356383
240,112884.92072493654
241,112654.69015625
242,114056.36197916667
243,111713.735
244,111202.97822916666
245,110759.51119791667
246,110893.00577330508
247,112059.02189700704
248,113149.70100635593
249,123169.60794270833
250,127264.87731770833
251,126668.63018229167
252,128924.85986979166
253,128534.09541666666
254,127431.22088541667
255,128304.65455163043
256,127500.94432291666
257,128188.40953125
258,126568.8324092742
259,126372.77693014705
260,128940.9822172619
261,131102.46297049258
262,132243.398515625
263,132815.01921875
264,133632.3535610465
265,135538.622890625
266,137853.899921875
267,139522.44931964946
268,139795.816640625
269,142734.5244140625
270,140921.96351959746
271,141068.42920300388
272,131146.7198784722
273,130756.671953125
274,130278.46342329546
275,131463.62234375
276,133362.74782986112
277,131274.8311987705
278,132683.43380208334
279,135605.38103885134
280,137538.24229166665
281,138315.18856770833
282,139106.94741881127
283,140039.60689943415
284,142299.68432291667
285,139353.79832848837
286,139782.72802083334
287,137807.80096354167
288,137602.46151041667
289,135961.35102634804
290,135322.66252604168
291,135385.9018329327
292,134424.296015625
293,132842.605625
294,133488.30987278762
295,134876.41616477273
296,133049.07809895833
297,131558.05359375
298,131087.508046875
299,130499.891484375
300,128985.75565858645
301,129900.81489583333
302,131448.67166666666
303,133030.4353125
304,132254.64794270834
305,129381.55861979167
306,128120.69205729167
307,128646.61614583334
308,129047.7153125
309,128810.15315104167
310,127826.12111979167
311,127856.842578125
312,128473.68153645833
313,128528.06354166666
314,127735.36941964286
315,127461.97536458333
316,128108.873515625
317,129554.05678689427
318,131707.2894720262
319,131556.94987896126
320,131434.27174479168
321,131460.16875
322,131770.825390625
323,132101.336171875
324,131134.303984375
325,132074.38955729167
326,134437.70723958334
327,135825.75984375
328,136533.85286458334
329,138610.1334375
330,138545.66729166667
331,140431.61089409722
332,141026.75234375
333,141537.46348958334
334,141117.72927295917
335,141847.67552083332
336,141642.90317708332
337,143449.13526041666
338,144169.94994791667
339,145694.35651041666
340,144082.93208333335
341,143892.58369791668
342,143302.88436284047
343,140942.16455696203
344,143087.88264266305
345,144164.98390625
346,146406.84702322134
347,146921.5484375
348,146448.29578125
349,146867.146875
350,147109.48825273724
351,145383.77056760204
352,147856.9552682522
353,149400.51669847328
354,148291.09655975876
355,149536.35732142857
356,151549.5734904661
357,152063.58317708335
358,152478.03666666665
359,153580.73520833332
360,154799.5097931338
