,reward
0,476.0
1,-555.0
2,-580.0
3,-579.0
4,-580.0
5,-579.0
6,-579.0
7,-579.0
8,-580.0
9,-579.0
10,-579.0
11,-580.0
12,-580.0
13,-579.0
14,-580.0
15,-579.0
16,-580.0
17,-580.0
18,-580.0
19,-580.0
20,-579.0
21,-580.0
22,-580.0
23,-580.0
24,-580.0
25,-580.0
26,-667.0
27,-300.0
28,-719.0
29,-699.0
30,-744.0
31,-664.0
32,-300.0
33,-595.0
34,-300.0
35,-300.0
36,-300.0
37,-300.0
38,-300.0
39,-300.0
40,-300.0
41,-300.0
42,-745.0
43,-664.0
44,-300.0
45,-300.0
46,-815.0
47,-300.0
48,-663.0
49,-300.0
50,-760.0
51,-300.0
52,-774.0
53,-762.0
54,-300.0
55,-300.0
56,-621.0
57,-300.0
58,-799.0
59,-656.0
60,-665.0
61,-643.0
62,-300.0
63,-687.0
64,-723.0
65,-300.0
66,-693.0
67,-300.0
68,-689.0
69,-705.0
70,-300.0
71,-300.0
72,-300.0
73,-300.0
74,-300.0
75,-300.0
76,-730.0
77,-300.0
78,-819.0
79,-825.0
80,265.0
81,-553.0
82,-749.0
83,-300.0
84,-300.0
85,-658.0
86,-300.0
87,-300.0
88,-660.0
89,-590.0
90,-300.0
91,-700.0
92,-300.0
93,-717.0
94,-300.0
95,-811.0
96,-300.0
97,-300.0
98,-769.0
99,-769.0
100,-300.0
101,-300.0
102,-805.0
103,-300.0
104,-828.0
105,-705.0
106,-670.0
107,-300.0
108,-816.0
109,-300.0
110,-732.0
111,-300.0
112,-300.0
113,-636.0
114,-300.0
115,-679.0
116,-300.0
117,-300.0
118,-300.0
119,-300.0
120,-847.0
121,-694.0
122,-708.0
123,-569.0
124,-300.0
125,-300.0
126,-778.0
127,-300.0
128,-756.0
129,-300.0
130,-300.0
131,-680.0
132,-808.0
133,-645.0
134,-845.0
135,-667.0
136,-300.0
137,-680.0
138,-300.0
139,-300.0
140,-718.0
141,-300.0
142,-785.0
143,-844.0
144,-300.0
145,-300.0
146,-650.0
147,-300.0
148,-300.0
149,-300.0
150,-300.0
151,-300.0
152,-795.0
153,-831.0
154,-300.0
155,-760.0
156,-300.0
157,-300.0
158,-300.0
159,-838.0
160,-300.0
161,-833.0
162,-747.0
163,-618.0
164,-300.0
165,-300.0
166,-300.0
167,-679.0
168,-300.0
169,-713.0
170,-565.0
171,-719.0
172,-300.0
173,-300.0
174,-300.0
175,-300.0
176,-842.0
177,320.0
178,-579.0
179,-716.0
180,-798.0
181,-300.0
182,-300.0
183,-300.0
184,-300.0
185,-758.0
186,-300.0
187,-300.0
188,-300.0
189,-300.0
190,-300.0
191,-300.0
192,-300.0
193,-300.0
194,-300.0
195,-745.0
196,-658.0
197,-833.0
198,-725.0
199,-300.0
200,-597.0
201,-831.0
202,-727.0
203,-749.0
204,-714.0
205,-765.0
206,-777.0
207,357.0
208,-761.0
209,-300.0
210,-300.0
211,-300.0
212,-801.0
213,-300.0
214,-300.0
215,-300.0
216,-300.0
217,-300.0
218,-300.0
219,-744.0
220,-300.0
221,-775.0
222,-846.0
223,-711.0
224,-300.0
225,-300.0
226,-805.0
227,-800.0
228,-300.0
229,-300.0
230,-300.0
231,-300.0
232,-300.0
233,-605.0
234,-300.0
235,-838.0
236,-671.0
237,-300.0
238,-834.0
239,-784.0
240,-746.0
241,-300.0
242,-300.0
243,-300.0
244,-300.0
245,-300.0
246,-844.0
247,-620.0
248,-726.0
249,-300.0
250,-300.0
251,-300.0
252,-300.0
253,-300.0
254,-300.0
255,-618.0
256,-300.0
257,-799.0
258,-735.0
259,-719.0
260,-759.0
261,-818.0
262,-300.0
263,-300.0
264,-807.0
265,-300.0
266,-300.0
267,-820.0
268,-300.0
269,-565.0
270,-667.0
271,-807.0
272,-729.0
273,-300.0
274,-681.0
275,-300.0
276,465.0
277,-610.0
278,-300.0
279,-734.0
280,-300.0
281,-300.0
282,-753.0
283,-792.0
284,-300.0
285,-635.0
286,-300.0
287,-300.0
288,-300.0
289,-753.0
290,-300.0
291,-809.0
292,-300.0
293,-300.0
294,-662.0
295,-824.0
296,-300.0
297,-300.0
298,-300.0
299,-300.0
300,-763.0
301,-300.0
302,-300.0
303,-300.0
304,-300.0
305,-300.0
306,-300.0
307,-300.0
308,-300.0
309,-300.0
310,-300.0
311,-300.0
312,-300.0
313,-300.0
314,-584.0
315,-300.0
