,reward
0,581.9970758821286
1,-981.5970421466423
2,-731.3976075207411
3,-957.2969286675263
4,-1188.086179826128
5,-1368.6277942475165
6,-1389.9368204534771
7,-923.7539439365798
8,-1256.4560996943133
9,-1141.084372813522
10,-626.5921849533974
11,-1074.385697297203
12,-905.4702973100511
13,-596.6632614674736
14,-946.3007048211002
15,-1152.3913561015588
16,-1948.202643018235
17,-671.3175460228206
18,-1331.3408363107173
19,-1643.3513961628846
20,-1742.003091819711
21,-1528.6638498360421
22,-738.0055429207234
23,-626.3132483587374
24,-846.5456610377507
25,-955.6535337032801
26,-1064.7537993267404
27,-559.3102258663669
28,-762.1469168107868
29,-1071.5003720619436
30,-647.2938814831364
31,-782.0305132127862
32,-569.7727391354729
33,-857.7194983697779
34,-779.8902856127364
35,-754.9491416578082
36,-984.5934971916928
37,539.9999808365758
38,-664.97469954214
39,-2050.882709666751
40,-1000.7414639223803
41,-754.0202982254428
42,-688.6443999970788
43,-662.9383217102552
44,-1460.3456767160415
45,-716.4132212119033
46,-792.3772232100113
47,-1504.9978241056547
48,-402.6000920429416
49,-729.3610956346325
50,-842.1250522654545
51,-1072.0892247111647
52,-1261.0714748037315
53,478.2001946242041
54,-1441.4913360439396
55,-1290.4142797594302
56,-553.1742852871585
57,-1173.0318858543933
58,-840.3290816717508
59,-1139.327135221078
60,-1541.2099327611636
61,-729.2956019901646
62,-987.5855220780672
63,-647.6777266671313
64,-761.9120511254064
65,-1315.0864783645857
66,357.9265177620034
67,-628.7183220167121
68,-1302.2629569553378
69,511.9988349741727
70,-1063.2723047156892
71,-1071.832968909623
72,-1339.907142747061
73,-962.0547080198752
74,449.99640250063084
75,-730.5855707522236
76,49.013455144054376
77,-1266.8293171190987
78,-806.2839782400306
79,-1177.6374357503385
80,-1915.107245604807
81,-795.0110083944861
82,-1420.910633456562
83,-1779.8868510199936
84,-1060.4858458411752
85,-1121.3428815052935
86,599.9977258537932
87,-749.977936710236
88,497.52968647359944
89,-1262.599079114201
90,-592.4299708696223
91,-589.8704424232103
92,-872.0672649880923
93,-692.529300053744
94,787.9999219124531
95,-674.3116444477387
96,-793.3178229549993
97,-946.1088764931305
98,-727.1383496320373
99,493.9633837359357
100,-820.377606484918
101,-1703.5809555198039
102,-761.7296069506555
103,-756.3110145297244
104,644.6805829609721
105,-990.2130058239102
106,-1622.6119118783195
107,-747.3656300783595
108,-688.290579381812
109,626.8886738744798
110,-1289.1256585535255
111,-985.7418846289005
112,-655.3308809682608
113,-855.2744345922354
114,-1495.8607170927312
115,165.72065525374484
116,-503.3326562436309
117,512.2792876411934
118,-761.0279307901754
119,-792.1047435197261
120,555.9999965879131
121,-1305.6696250845966
122,-1064.244459970943
123,-992.9184661338364
124,-944.8430571299258
125,682.3855342485595
126,-563.4687051199319
127,-852.7910971943163
128,-1332.1873829394372
129,-1682.4243847427003
130,-524.4515365457219
131,-871.7473474395065
132,-518.2455076343507
133,-1458.9264054155253
134,-995.5029826330208
135,-485.31042733329605
136,-785.0106645141312
137,-780.7650959213225
138,723.9326438318283
139,-600.2627757588489
140,-787.4422396967786
141,531.7880533793854
142,-1270.5248950144319
143,-700.6170465334822
144,-1144.1418655038294
145,-1508.0032938377321
146,561.9999999919258
147,-975.3543895409381
148,-702.6594831517111
149,-1263.931215236653
150,-1030.568688218667
151,-1060.0005250480735
152,499.98774087031006
153,-1090.4617059927978
154,-779.3919328360084
155,-912.2942088399328
156,577.5285048835032
157,817.9910036479743
158,652.0128194308909
159,-712.3959606283931
160,735.9997871547592
161,901.9999961360284
162,649.9999999958109
163,686.0813379382155
164,-619.6278462318925
165,-656.796103937734
166,721.9945501876836
167,-975.7086298788677
168,301.2054532012048
169,-609.9056181492989
170,-716.7079638121693
171,-776.0176463858705
172,503.5868450364001
173,-1116.8826148993066
174,-732.6898556081244
175,-801.9223770410515
176,-858.5194723216218
177,-646.0072788905915
178,611.9981207389241
179,-1232.4990213167616
180,-598.5848154671049
181,739.98917090961
182,-640.9164609222186
183,-1718.8141542647065
184,809.9999981271835
185,-757.0264262242571
186,-820.8990911062087
187,-926.6594768124421
188,-462.2466230288909
189,567.9999999945761
190,-988.7439031027805
191,-590.7316929787077
192,519.416511096669
193,-168.24658800091686
194,-799.8084184506884
195,632.5570381910503
196,815.932380507792
197,-538.898903589577
198,700.638660471112
199,-598.6909528625781
200,-900.6865374392055
201,-1055.1122402648064
202,655.9900012903511
203,-581.8514659343225
204,-522.4948150560385
205,-1086.588459451158
206,-437.58484072976427
207,549.9992888328402
208,-723.7252639330583
209,701.9809881019917
210,-866.3342842217307
211,-1083.804164452985
212,-9.189450377495291
213,-550.0
214,-1119.224303554798
215,-1610.8378671077744
216,-944.2350287916283
217,-1194.1595940311518
218,-600.0188796782905
219,-2200.7331676813565
220,-1445.6280082041571
221,-1282.2242959442103
222,120.2117995672055
223,-398.8511955572519
224,382.8762119632967
225,-848.2594985363417
226,167.35898127644964
227,-1217.6597741257199
228,309.82021788980353
229,441.85947580101663
230,-1215.214382681428
231,-1197.5155254006465
232,446.92548248835556
233,711.9999352285275
234,703.9999999997132
235,815.999597448784
236,-948.7779439992476
237,-850.1641231850172
238,-668.0076663196286
239,-1360.8859094162297
240,566.000000018474
241,-998.3520116303791
242,-798.7312397644562
243,-1256.892737309184
244,653.8563550175403
245,749.9617777574786
246,-980.2972718033966
247,-705.6824595371007
248,-1048.5365492396168
249,-1001.9375995588834
250,-2394.435338407124
251,661.9990565316459
252,747.6967668478853
253,-497.88443881339265
254,-872.2992475737414
255,-1998.028829453356
256,683.6983185004055
257,822.7622319778559
258,-892.4614570982619
259,-1370.156325537113
260,749.9999536918726
261,711.902854606729
262,690.6460308237221
263,-729.7395480053265
264,-1450.4757660155599
265,721.0830550310975
266,264.9909526557842
267,785.6205448234253
268,-1464.7872448302205
269,512.7463809477063
270,727.9999994779752
271,-736.9482826758834
272,-1734.2795415064502
273,-691.6455129483121
274,677.9999983766838
275,-725.4428648691857
276,-1468.693943594204
277,-1095.9366266111676
278,-703.3003984532784
279,-754.4275253643866
280,421.66577012154124
281,-690.3473327525174
282,-618.1821064903567
283,763.9993188612139
284,-733.0475833698193
285,781.9998497246379
286,-918.1436569790726
287,-676.9550205350333
288,627.999949263994
289,817.9333153908228
290,867.9846405310172
291,755.4237307014444
292,937.7565156766268
293,-492.6727605589579
294,-1026.00807848473
295,354.46115525323137
296,878.0000228268705
297,-509.63954138699296
298,391.48225276165584
299,987.9985175317522
300,562.561332822016
301,602.9597314535895
302,655.9277442602374
303,-634.2745329719028
304,438.6346444919374
305,-739.2989076428784
306,399.99981482862086
307,745.4996497018558
308,875.9999999851618
309,685.7400881206653
310,427.4805168604453
311,-851.4586357205469
312,-681.0961277788316
313,673.3231822700116
314,735.9990541674321
315,707.9983770435373
316,669.9991246851941
317,805.998554958695
318,377.1917809031893
319,-1277.641361895142
320,-1240.0380830446145
321,563.9999999686697
322,715.9982317483709
323,-935.1200271987072
324,-517.5035833244269
325,-1149.4492437882773
326,-516.5637596890567
327,759.9999774167787
328,-888.5802748330757
329,453.99634192132015
330,-791.4033383318106
331,373.3933522681839
332,693.1869074929176
333,691.999982199887
334,621.9997869152078
335,-647.4719225259748
336,701.9827872235692
337,-1200.9084820709227
338,-820.363961312908
339,525.9999901264823
340,623.7025217826567
341,-398.4063236753907
342,339.93006806579103
343,674.0037704239257
344,477.71535564538544
345,-1056.2940341762505
346,627.9998551663846
347,-1125.5014905871194
348,-860.8985261951361
349,-821.3684993055978
350,-839.2627216848607
351,753.998523523127
352,-878.550297514849
353,699.4872200468332
354,803.3805252988723
355,-368.4626037405171
356,-936.7045328967488
357,591.9895545873682
358,-806.9886005953012
359,701.9983335130573
360,-1335.0492601123724
361,781.9671305782413
362,595.9781111872089
363,925.9991719632799
364,713.9999230977263
365,725.727934501151
366,551.9839432749543
367,741.9994053293682
368,697.9833250899532
369,879.7322150785362
370,-482.81336399762506
371,667.9999935306674
372,947.8641580791261
373,490.01068292234316
374,-1815.7889463193937
375,639.999872674992
376,869.9806884118999
377,-703.3697405776771
378,807.999977319156
379,845.9999947771018
380,580.9385416118857
381,647.9999234574767
382,758.8452508795881
383,690.0
384,-581.5558527331622
385,-1565.2231882689325
386,615.9571298965504
387,-636.1169818093697
388,655.8823169349923
389,851.9998762620592
390,783.9999097036666
391,737.388229828226
392,673.9111714278904
393,709.9429319878309
394,715.9977706179948
395,-1226.3358990377994
396,617.9974920394909
397,669.9999997589247
398,497.99191186507306
399,583.9999779036892
400,703.7366284522432
401,-622.113002430934
402,721.9994167803748
403,871.9998809042775
404,805.7561722253594
405,704.4189142878396
406,-818.271767907743
407,727.1581714819446
408,409.38254932769826
409,741.9999999999596
410,-584.6222857534972
411,757.9978009643678
412,605.9236908222407
413,166.20137596780307
414,727.9998739845005
415,675.9693912646909
416,737.8956319590025
417,499.90371168904295
418,683.9806922169063
419,863.8736882172177
420,645.9999999999899
421,945.9999961501271
422,-1202.488494586016
423,637.9838679654781
424,655.2256535636844
425,122.87550007805402
426,-417.5698084964864
427,529.9999994702773
428,566.9408738276234
429,653.998361490358
430,445.93782759448527
431,-567.7281845644347
432,563.9999999785284
433,-754.4205006882811
434,710.9940965530673
435,772.0002973465964
436,626.6805477263731
437,-631.0873252950365
438,515.9431782091067
439,-872.9760263261692
440,703.8419807404285
441,-1116.0169751131364
442,563.9999781446411
443,741.9665485420861
444,560.0004095759223
445,781.9739078563216
446,879.6286484937767
447,-1133.1465358395994
448,749.8076154658361
449,531.8054565375119
450,689.9946030948631
451,474.4775094333207
452,709.999581726151
453,797.91316523373
454,809.9434208326559
455,-557.9990938436681
456,729.9979820903345
457,-681.4366158730318
458,718.6452101545987
459,607.7028622966598
460,-961.7908548989494
461,677.9999888019601
462,649.9581206842842
463,801.9995781059495
464,553.6989580283039
465,-800.9538004083954
466,733.16857176546
467,726.8592775862876
468,595.086572463819
469,-931.6814293865467
470,-1533.6731431765504
471,667.9999312095113
472,637.8962971198716
473,652.5938547258909
474,599.999971047752
475,436.90857940093963
476,594.3554703380823
477,-854.8990678568713
478,599.9280682468608
479,521.4743508926831
480,701.2127869712344
481,222.47528217453925
482,711.7387490050946
483,812.4013357960604
484,468.02304719874616
485,902.9643279045886
486,597.9217116364683
487,-513.8583709502868
488,681.9999965215494
489,301.8712775638951
490,143.5051080988211
491,845.9945677523143
492,616.5089730506204
493,817.7058483939325
494,-397.6620518412125
495,693.9853323271452
496,797.9902311691021
497,827.8174651753625
498,342.0760207581886
499,386.7488091596291
500,-624.4613297307353
501,-463.75172914156104
502,677.9996055710997
503,715.9944031517622
504,-1194.7144281428195
505,555.9956430239724
506,107.60633570100623
507,-1225.3891751054516
508,717.4833422669824
509,508.6047394230447
510,791.9998508715812
511,949.9793800641382
512,-855.5262132002103
513,524.0000621897115
514,565.9035967015337
515,378.62691314243375
516,968.8584930563617
517,732.0146205780229
518,766.0330052613655
519,739.9996459267436
520,757.7950470376187
521,805.8344705200291
522,426.2724518631994
523,721.8822513723221
524,865.6412102131793
525,-501.497618778458
526,619.9922715991353
527,633.2738449683266
528,-931.4077430767034
529,711.9999965690226
530,727.986157746883
531,-1049.1188626446683
532,713.7938067732175
533,826.794061368799
534,783.9212740499322
535,973.3991537211588
536,-602.0756101363893
537,709.9989292901477
538,-820.2016428990505
539,134.87085718273084
540,866.4161594758002
541,649.5822148998299
542,665.9944783114934
543,-677.7652652663204
544,729.9993085558915
545,780.259628831762
546,867.919796459063
547,772.167503589596
548,841.9997395143001
549,-1505.96301869071
550,665.9966856151723
551,553.890542414511
552,687.9985447162907
553,915.9987378568757
554,-1148.5363732881015
555,601.7910992375575
556,97.18014916932015
557,-79.2162078239802
558,-636.8449575935979
559,621.9252049979345
560,917.7080411513255
561,739.7575400881311
562,-725.5697046382695
563,711.994969093284
564,1004.3451707558168
565,561.9786096361024
566,789.9883136203603
567,637.9972667896247
568,571.7856368887053
569,859.9997353266791
570,-797.0901646621412
571,681.9294705567963
572,-1164.6553399762192
573,530.1414878127537
574,713.6034143417971
575,754.9350638987369
576,617.6151543762523
577,-1325.9589287197641
578,455.9474091626122
579,683.9864139799247
580,747.8720358274174
581,667.6679696258217
582,602.3551217612726
583,-550.0
584,248.9525206885279
585,-776.0177952160427
586,656.1902701687793
587,769.0423883725896
588,894.0801336127254
589,563.9860899494716
590,853.9441739547038
591,690.9594704064242
592,859.8474137182664
593,488.1139891918898
594,-950.5094280208295
595,765.9999654170161
596,793.4065528268595
597,789.9883789237772
598,-847.3545142722035
599,743.9999989855021
600,-1359.854083073592
601,703.9917460620128
602,749.9999997160751
603,-651.3252864503348
604,753.8784261044866
605,-654.5554274224252
606,699.9319197734826
607,693.9621682251454
608,552.1333328688579
609,-1048.1827567642483
610,593.4136177679204
611,689.9999999989111
612,715.4061439236792
613,-1206.4807045201246
614,613.7487707000587
615,-639.8272337756885
616,509.54808998718573
617,-1107.776322998901
618,669.4624765772087
619,800.9691627892547
620,-272.29118789205074
