,loss
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,5374.9980710203
35,19387.149005533855
36,39439.68275390625
37,39266.828951822914
38,32479.136296452703
39,33065.34782366071
40,31585.619873046875
41,31694.270392922794
42,30798.80343191964
43,31108.5634765625
44,29572.830403645832
45,29264.191066576088
46,30512.07491629464
47,27948.873480902777
48,27956.305752840908
49,28177.850390625
50,27601.473763020833
51,29378.607421875
52,27026.804912860578
53,27940.70751953125
54,27143.69775390625
55,27022.876124526516
56,27362.862651209678
57,30000.002821180555
58,28948.49681332237
59,28124.37109375
60,27571.70068359375
61,26083.02734375
62,25600.413352272728
63,25325.10380651596
64,25478.87439903846
65,24971.393775201614
66,24767.368502869896
67,22805.15060763889
68,23799.184126420456
69,23181.994270833333
70,23198.698828125
71,24396.20057091346
72,23479.057368259804
73,24455.9814453125
74,23407.95490056818
75,23204.331888338416
76,22601.556401466838
77,22320.774739583332
78,22217.74582248264
79,22100.819691051136
80,22778.8435546875
81,22843.02771935096
82,22743.66875
83,21320.251650855655
84,21703.88062686012
85,21974.24676983173
86,19924.42013113839
87,21154.19140625
88,20133.860785590277
89,25069.504557291668
90,21421.131184895832
91,20795.15365705819
92,20793.354600694445
93,22452.7076171875
94,22428.0572265625
95,21353.032759232956
96,21000.60720486111
97,22887.64079733456
98,22126.7305078125
99,21474.62109375
100,19784.78203125
101,21892.259602864582
102,21933.202864583334
103,20774.48166232639
104,23173.828125
105,20909.136568509617
106,20614.778862847223
107,21371.078846807064
108,21897.88302176339
109,22000.509560032893
110,26968.9677734375
111,23338.3779296875
112,22427.017996651786
113,25967.4013671875
114,21692.861450195312
115,19266.118408203125
116,23224.3876953125
117,22740.112879136028
118,22400.47802734375
119,21942.668419471152
120,20992.634338378906
121,21132.218284970237
122,21526.6904296875
123,21103.50811557112
124,18356.43193359375
125,21459.7903125
126,20083.84970703125
127,22627.078211167278
128,23036.51388888889
129,20262.83296535326
130,21497.96942138672
131,20326.831682477678
132,22443.55625
133,24415.602643694197
134,22113.5298828125
135,22397.342359138256
136,16783.141451322117
137,20912.635679183466
138,20220.997294108074
139,20555.89453125
140,24021.26953125
141,25140.429361979168
142,22838.597819010418
143,23416.819918118992
144,23319.043013139206
145,22345.58310546875
146,23924.232855902777
147,23588.790673828124
148,23343.211294320914
149,26920.015787760418
150,25902.326747110445
151,22850.699550083704
152,20886.299213115984
153,19113.16730269645
154,16840.410028872284
155,19020.58463016633
156,19840.963822798294
157,18998.63375721807
158,19276.315380859374
159,19173.627555338542
160,13639.199351917614
161,17724.417238892627
162,15680.712809244791
163,20500.9423828125
164,17055.192057291668
165,18517.26747639974
166,17487.981223366478
167,18227.08330078125
168,13693.69866265191
169,19504.512526939656
170,18187.16730813419
171,19071.4833984375
172,18509.5962092702
173,15930.640154157367
174,17374.255920410156
175,18001.633770282453
176,18999.49798224954
177,18467.72311813767
178,15890.999095469982
179,13599.281429036459
180,15743.2880859375
181,15448.028266720656
182,15104.244904548892
183,14844.933607835035
184,15676.889131986178
185,14389.274082728794
186,19165.5669148763
187,17374.66628689236
188,16998.13343811035
189,13890.078155517578
190,12554.238382711039
191,12625.89200394242
192,12509.933014787946
193,11477.814573451451
194,10007.843069893974
195,10528.66166796875
196,8126.439555684074
197,7341.10612487793
198,8677.11795748197
199,7620.032769097223
200,7755.276329994202
201,8143.476688269413
202,7573.289161052179
203,4304.710319967831
204,6228.454538056345
205,2153.069580078125
206,6041.6779552641365
207,8215.740589488636
208,2186.825918160233
209,2546.963986280488
210,6778.830505371094
211,2163.020294189453
212,928.0450217507102
213,546.6866002965857
214,1707.310597830956
215,4415.41250500047
216,2148.463376968626
217,-1311.8323608398437
218,3211.8189607945883
219,1431.236587524414
220,-1617.2131723257212
221,2720.5951286764707
222,1052.7483424136512
223,-2953.6996154785156
224,-3622.8477783203125
225,-3953.1708475748696
226,5533.434298197429
227,-554.5533107069672
228,609.819074457342
229,-4358.630482066761
230,2062.1133020279253
231,1947.4654296875
232,-4919.542050679524
233,-4367.380823647104
234,-593.9797770182291
235,-4660.232053066822
236,-677.6779913651316
237,-6100.4590620561075
238,-3756.8548118954614
239,-6106.803207397461
240,-2075.321101262019
241,-10101.70702605552
242,-9191.942919921876
243,-13350.541457908741
244,-14534.321571751645
245,-17710.79880449849
246,-20342.87995793269
247,-23645.664965820313
248,-27028.46615705819
249,-32762.651394930752
250,-37758.51666666667
251,-39018.087641289894
252,-44242.711531929344
253,-46090.38526785714
254,-49924.215082908166
255,-54267.446614583336
256,-46958.58984375
257,-55933.597988696805
258,-58505.83648255814
259,-59103.32569679054
260,-58702.46017530488
261,-56350.01263786765
262,-59914.7021484375
263,-63154.92779356061
264,-49630.0078125
265,-60219.3896484375
266,-62848.26254734849
267,-62988.6181640625
268,-64569.1845464939
269,-61044.69670758928
270,-61841.32961309524
271,-64773.149796195656
272,-63169.365397135414
273,-64763.75877063679
274,-68071.05575284091
275,-68431.25610977564
276,-71279.63249362246
277,-72213.47699652778
278,-73727.90966796875
279,-69612.21820746528
280,-72726.4117726293
281,-73739.95387620192
282,-71362.93598090278
283,-70702.48123468137
284,-74193.11172762784
285,-76067.16251627605
286,-76422.5780436198
287,-78480.89217748397
288,-79603.5375
289,-78488.03743489583
290,-79850.00871394231
291,-78003.09203125
292,-82787.62796875
293,-81567.51822916667
294,-82371.65939670139
295,-88525.86328125
296,-84482.96258223684
297,-80831.06315104167
298,-84022.46381293403
299,-84264.87890625
300,-83005.10138081395
301,-84657.20923639114
302,-85664.27271412036
303,-86850.53228081597
304,-86996.28850446429
305,-90356.28947368421
306,-89674.02887228261
307,-91205.10386029411
308,-89136.54385080645
309,-88657.1435546875
310,-90905.76745605469
311,-93002.83072916667
312,-93148.22415865384
313,-90892.48391544117
314,-89478.8515625
315,-91851.25836267606
316,-95901.33943965517
317,-94821.59716796875
318,-92941.80528846153
319,-98652.21175986843
320,-97274.1456886574
321,-98032.21321022727
322,-97185.26344476744
323,-98324.97520380435
324,-105583.97380514706
325,-100755.15513392857
326,-101491.22377232143
327,-102520.5078125
328,-105788.28186677632
329,-101531.716796875
330,-102432.02001953125
331,-105650.22483648256
332,-114512.06711647728
333,-110558.61207386364
334,-110084.65014648438
335,-112205.60677083333
336,-111153.77256944444
337,-112494.09850543478
338,-110057.01934523809
339,-116665.89557291666
340,-119948.4921875
341,-115056.56214488637
342,-116262.89794921875
343,-117691.31158854166
344,-119786.18900240384
345,-115462.38294719828
