,reward
0,581.8131289214407
1,-805.5433835702408
2,-827.2222595421415
3,-1122.2075781066378
4,-1091.3339937593641
5,-785.5555521906056
6,-926.7331768387511
7,-1161.01949259604
8,-955.2178549615787
9,-1349.3935304023023
10,-1409.3622869453256
11,-909.7225192291197
12,-820.5094694878478
13,-1030.715777566179
14,-1132.742076266748
15,-1258.2420979532667
16,-1021.3092836329984
17,-1061.158380557478
18,-1014.8371508886485
19,-649.9437402655603
20,-987.2558250688232
21,-1246.094824497187
22,571.9995866560572
23,-1095.544131092271
24,-1231.8746341442454
25,-1094.9239451233536
26,-993.4921322161442
27,-997.8226302888718
28,-1161.9847254104538
29,-992.2043493661123
30,-1522.885586660483
31,-1020.0593538099732
32,-1375.9138652910024
33,-1382.4782177050624
34,-1381.9454370561946
35,-1702.020826072522
36,-1534.0549193244872
37,-606.6664308167597
38,-505.5686554055628
39,-550.7685234758487
40,-515.9199847096417
41,-767.4015543985494
42,-757.097936609807
43,-491.51531242465364
44,-523.8692538889146
45,-634.2174532607979
46,-1381.1805526152125
47,-602.156264434241
48,-695.6279541429265
49,-606.1261193373083
50,-692.4617793778845
51,-605.6101521945238
52,-744.2735697350502
53,-490.16277460427784
54,-609.6011617050957
55,-979.8331085913312
56,-823.4263748750086
57,-544.1971191061967
58,-715.2522642322674
59,-883.2251826665272
60,-458.5813243954511
61,-631.3251431124387
62,-752.8668991057905
63,-1119.2442633985288
64,-987.3194641919611
65,-931.6485700343552
66,-782.9071934675734
67,-1120.318098334304
68,-622.6523469718509
69,-630.8576219791136
70,-1164.683960486008
71,-644.261580893376
72,-615.9785660533596
73,-887.8312316684085
74,-835.709675442389
75,-830.21574736182
76,-1277.8387516255762
77,-756.3819172162059
78,-1158.2755849669143
79,-502.77963258239345
80,-697.3390342463554
81,-483.68917114481366
82,-1079.3089544542654
83,-667.9802405199819
84,-659.7252488834957
85,-704.0404630498246
86,-645.5127975320495
87,-512.0222790179001
88,-656.5634959341809
89,-983.5710631808416
90,-684.2972947159061
91,-689.2551701146712
92,-483.3238761353999
93,-552.9054781480559
94,-494.50057691787856
95,-739.207146896523
96,-949.090435665704
97,-488.78567031992685
98,-708.3088150549247
99,-662.0591556695542
100,-681.4041437557822
101,-463.8783253152274
102,-416.7058776928833
103,-584.0274853801658
104,-649.9844511945679
105,-860.7454760014289
106,-661.0065175985485
107,-559.2974193382996
108,-523.7269852392938
109,740.8501811364763
110,-825.4119391144849
111,-544.6208230520249
112,-930.5799705580122
113,-612.2054583323869
114,-608.4465211902387
115,-632.4405969478435
116,-607.6786938569335
117,-565.9450702818582
118,-640.3131254541663
119,-932.0512006596672
120,-696.8000288211349
121,-1330.3588082228127
122,-598.4513474539436
123,-1042.3583051981852
124,-718.75966698666
125,662.3932055548871
126,-419.8180956554669
127,-776.8212328095241
128,-1144.8669701411109
129,-623.4642545465223
130,-479.4044744039254
131,-1038.3258190466731
132,-642.8971330494645
133,-482.3363973769827
134,-618.128950418418
135,-901.9557085443166
136,-550.7658290572051
137,-654.6311143833685
138,-720.6378318471598
139,-498.1696396108821
140,-555.7203403319631
141,-594.8282510248265
142,-855.0773226539534
143,-1097.6845016624002
144,-660.1192018611447
145,-683.8358311438357
146,-559.7756017320947
147,-479.6599933823619
148,-1154.9172176815587
149,-677.1289802416879
150,-1139.3621476611866
151,-593.2133353734072
152,-629.6308316167482
153,-482.2916087637188
154,-568.034627943344
155,-456.110605766947
156,-725.5621072040715
157,-449.0762729300586
158,-508.3393714610967
159,-676.1760699286118
160,-451.29635189040715
161,-617.6209890711959
162,611.9985639616295
163,-1079.9665179292494
164,-594.8743607015728
165,-751.3923010007679
166,-685.6970233642708
167,-552.5064695013084
168,-446.7798519053882
169,-800.144357863656
170,-675.113914413069
171,-618.8448196062322
172,-468.7243336940097
173,-590.366863113785
174,-757.8951153274866
175,-1065.4574787647268
176,-723.5075710528474
177,-730.1556281968155
178,-1880.4490257216378
179,-626.9879431150667
180,-410.2496555820505
181,-497.53505412761496
182,-511.8625311162677
183,-424.2608891044534
184,-564.9642209371736
185,-919.0748772495887
186,-690.2530883554467
187,-1036.0533259023846
188,-1083.6616895762058
189,-440.44019301421423
190,-781.1497079111082
191,584.5276603652753
192,-757.3300781186675
193,-1424.8390175206214
194,-433.35621603584053
195,-483.1968997814083
196,-509.2410340288206
197,382.35114834921666
198,-598.7583550273371
199,-459.53961569874474
200,-706.909012150169
201,-1052.6444561876406
202,-748.9891833273903
203,-508.6869831992131
204,648.2181450130158
205,-550.0
206,-387.37612872818715
207,-498.52427335114044
208,-473.0537096312083
209,-710.6462466460059
210,-940.3461964795197
211,275.5134894367471
212,-1247.554528966994
213,529.2138481742447
214,382.3799695962265
215,484.4987968583256
216,-519.3870847924632
217,-572.8053428572405
218,-675.0166642899859
219,-890.8125821063015
220,-847.2232960093864
221,-604.8648069882138
222,-496.08478259278473
223,667.3409875134156
224,-615.9107761681189
225,-822.6053593341584
226,-585.7405401019139
227,-895.1646411905165
228,627.5049228953661
229,-674.6480181574119
230,-729.2011272581783
231,-883.2902373899925
232,613.9779231512035
233,637.6162646011262
234,-607.0415792140076
235,31.17727211740197
236,-863.5844165617492
237,-522.6614992562392
238,-558.1425237564505
239,-567.8672492333062
240,-586.4787297967941
241,-720.207818614623
242,-1046.031144976848
243,717.99947941486
244,777.9875860531732
245,-847.7149403212156
246,-587.1177344874836
247,-489.6981137235414
248,-478.1218176676516
249,-447.8074408782195
250,-939.0728451331171
251,-1157.4641339893674
252,-826.2819215944032
253,321.70801463118255
