,reward
0,479
1,-552
2,-574
3,-575
4,-575
5,-575
6,-575
7,-575
8,-575
9,-575
10,-575
11,-575
12,-575
13,-575
14,-575
15,-575
16,479
17,-552
18,-575
19,-575
20,-575
21,-575
22,-575
23,-575
24,-575
25,-575
26,-575
27,-575
28,-575
29,-575
30,-575
31,-575
32,-575
33,-575
34,-575
35,-575
36,-583
37,-576
38,-594
39,-711
40,-573
41,-578
42,-579
43,-300
44,-680
45,-570
46,-569
47,-661
48,-844
49,-300
50,-802
51,-300
52,-697
53,-569
54,-567
55,-569
56,-572
57,-568
58,-642
59,-567
60,-567
61,-576
62,-613
63,-599
64,-575
65,-572
66,-570
67,-567
68,-570
69,-568
70,-578
71,-569
72,-603
73,-568
74,-576
75,-567
76,-571
77,-300
78,-621
79,-569
80,-565
81,-570
82,-579
83,-300
84,-571
85,-300
86,-601
87,-566
88,-584
89,-569
90,-578
91,-571
92,-610
93,-601
94,-566
95,-578
96,-576
97,-580
98,-565
99,-566
100,-570
101,-615
102,-605
103,-607
104,-579
105,-572
106,-594
107,-575
108,-569
109,-575
110,-569
111,-598
112,-653
113,-583
114,-585
115,-607
116,-565
117,-605
118,-569
119,-594
120,-580
121,-604
122,-578
123,-616
124,-594
125,-573
126,-569
127,-566
128,-569
129,-572
130,-568
131,-566
132,-573
133,-599
134,-573
135,-657
136,-591
137,-611
138,-565
139,-601
140,-566
141,-579
142,-564
143,-584
144,-575
145,-300
146,-596
147,-300
148,-579
149,-566
150,-566
151,-568
152,-611
153,-596
154,-566
155,-610
156,-605
157,-609
158,-564
159,-578
160,-565
161,-612
162,-613
163,-572
164,-564
165,-572
166,-564
167,-577
168,-572
169,-564
170,-573
171,-576
172,-567
173,-570
174,-576
175,-571
176,-608
177,-566
178,-570
179,-575
180,-566
181,-571
182,-610
183,-566
184,-572
185,-567
186,-566
187,-572
188,-574
189,-568
190,-567
191,-573
192,-637
193,-566
194,-568
195,-586
196,-650
197,-626
198,-577
199,-613
200,-568
201,-569
202,-573
203,-566
204,-619
205,-572
206,-641
207,-566
208,-574
209,-300
210,-638
211,-595
212,-581
213,-565
214,-597
215,-569
216,-607
217,-567
218,446
219,-576
220,-577
221,-600
222,-571
223,-578
224,-569
225,-567
226,-599
227,469
228,-568
229,-716
230,-607
231,-572
232,-572
233,-571
234,-572
235,-300
236,-574
237,-567
238,-642
239,-600
240,-625
241,-300
242,-617
243,-605
244,-572
245,-565
246,-571
247,-564
248,-600
249,-671
250,-606
251,-564
252,-602
253,-565
254,-567
255,-565
256,-568
257,-571
258,-632
259,-570
260,-567
261,-564
262,-582
263,-570
264,-564
265,-573
266,-611
267,-564
268,-565
269,-594
270,-567
271,-572
272,-614
273,-599
274,-616
275,-568
276,-595
277,-608
278,-611
279,-593
280,-603
281,-579
282,-570
283,-655
284,-615
285,-575
286,-614
287,-569
288,-575
289,-566
290,-568
291,-571
292,-570
293,-572
294,-600
295,-565
296,-568
297,-572
298,-564
299,-600
300,-566
301,-598
302,-617
303,-567
304,-570
305,-565
306,-564
307,-568
308,-568
309,-609
310,-566
311,-606
312,-619
313,-567
314,-613
315,-565
316,-567
317,-565
318,-569
319,-574
320,-713
321,-565
322,-576
323,-564
324,-574
325,-566
326,-569
327,-585
328,-573
329,-570
330,-573
331,-564
332,-604
333,-566
334,-565
335,-570
336,-566
337,-570
338,-570
339,-565
340,-600
341,-733
342,-649
343,-565
344,-570
345,-566
346,-571
347,-572
348,-565
349,-571
350,-565
351,-602
352,-575
353,-564
354,-574
355,-566
356,-603
357,-643
358,-566
359,-766
360,472
361,-550
362,-571
363,-572
364,-565
365,-609
366,-565
367,-570
368,-564
369,-566
370,-567
371,-565
372,-568
373,-572
374,-632
375,-566
376,-577
377,-586
378,-567
379,-566
380,-589
381,-629
382,-623
383,-300
384,-749
385,-566
386,-572
387,-613
388,-598
389,-590
390,-300
391,-566
392,-643
393,-300
394,-676
395,-300
396,-587
397,-705
398,-644
399,-570
400,-601
401,-790
402,-566
403,-300
404,-571
405,-564
406,-674
407,-621
408,-658
409,-847
410,-300
411,-300
412,-569
413,-300
414,-738
415,-584
416,-704
417,-652
418,-300
419,-300
420,-684
421,-300
422,-300
423,-565
424,-726
425,-573
426,-623
427,-641
428,-569
429,-597
430,-605
431,-818
432,-658
433,-587
434,-597
435,-570
436,-578
437,-638
438,-566
439,-568
440,-570
441,-570
442,-565
443,-715
444,-571
445,-739
446,-565
447,-611
448,-565
449,-622
450,-567
451,-751
452,-574
453,-572
454,-572
455,-567
456,-579
457,-565
458,-614
459,-612
460,-573
461,-575
462,-605
463,-568
464,429
465,-579
466,-575
467,-565
468,-569
469,-564
470,-568
471,-575
472,-611
473,-603
474,-567
475,-606
476,-566
477,-600
478,-602
479,-572
480,-608
481,-571
482,-575
483,-580
484,-595
485,-589
486,-566
487,-572
488,-568
489,-604
490,-708
491,-565
492,-566
493,-572
494,-622
495,-575
496,-568
497,-569
498,-569
499,-566
500,-627
501,-566
502,-600
503,-609
504,-577
505,-565
506,-626
507,-606
508,-569
509,-572
510,-585
511,-569
512,-605
513,-567
514,-595
515,-566
516,-614
517,-570
518,-566
519,-565
520,-598
521,-611
522,-583
523,-595
524,-577
525,-565
526,-584
527,481
528,-635
529,-565
530,-648
531,-668
532,-689
533,-635
534,-571
535,-711
536,-637
537,-570
538,-640
539,-566
540,-589
541,-602
542,-679
543,-572
544,-624
545,-568
546,-568
547,-566
548,-574
549,-573
550,-569
551,-587
552,-570
553,-638
554,-631
555,-567
556,-579
557,-607
558,-570
559,-605
560,-707
561,-655
562,-635
563,-600
564,-568
565,-571
566,-584
567,-569
568,-632
569,-601
570,-591
571,-566
572,-582
573,-638
574,-588
575,-614
576,-678
577,-600
578,-654
579,-719
580,-660
581,-705
582,-654
583,-567
584,-676
585,-577
586,-591
587,-570
588,-577
589,-593
590,-582
591,-572
592,-571
593,-300
594,-609
595,-602
596,-575
597,-572
598,-643
599,-730
600,-616
601,-706
602,-680
603,-578
604,-596
605,-582
606,-600
607,-728
608,-579
609,-632
610,-604
611,-589
612,-583
613,-575
614,-586
615,-572
616,-623
617,-612
618,-638
619,-570
620,-614
621,-577
622,-598
623,-574
624,-589
625,-571
626,-592
627,-609
628,-570
629,-582
630,-583
631,-574
632,-611
633,-591
634,-587
635,-577
636,-589
637,-587
638,-595
639,-576
640,-711
641,-589
642,-603
643,-577
644,-591
645,-585
646,-577
647,-577
648,-594
649,-580
650,-584
651,-582
652,-587
653,-574
654,-576
655,-576
656,-605
657,-582
658,-593
659,-582
660,-575
661,-582
662,-596
663,-608
664,-578
665,-574
666,-576
667,-621
668,-576
669,-575
670,-582
671,-570
672,-580
673,-576
674,-586
675,-580
676,-590
677,-588
678,-577
679,-576
680,-578
681,-595
682,-585
683,-581
684,-589
685,-574
686,-576
687,-578
688,-576
689,-572
690,-577
691,-571
692,-577
693,-571
694,-576
695,-582
696,-576
697,-580
698,-624
699,-580
700,-586
701,-575
702,-575
703,-581
704,-591
705,-574
706,-580
707,-574
708,-585
709,-585
710,-580
711,-574
712,-574
713,-581
714,-572
715,-583
716,-580
717,-606
718,-590
719,-581
720,-595
721,-579
722,-588
723,-585
724,-578
725,-576
726,-576
727,-573
728,-576
729,-603
730,-571
731,-618
732,-581
733,-576
734,-573
735,-574
736,-580
737,-580
738,-587
739,-592
740,-607
741,-576
742,-582
743,-581
744,-578
745,-583
746,-578
747,-586
748,-582
749,-589
750,-586
751,-600
752,-582
753,-596
754,-577
755,-579
756,-579
757,-580
758,-570
759,-576
760,-589
761,-578
762,-582
763,-588
764,-585
765,-580
766,-581
767,-581
768,-570
769,-567
770,-618
771,-571
772,-572
773,-576
774,-586
775,-580
776,-576
777,-591
778,-595
779,-579
780,-568
781,-572
782,-580
783,-637
784,-580
785,-582
786,-572
787,-584
788,-572
789,-570
790,-572
791,-572
792,-581
793,-572
794,-572
795,-579
796,-574
797,-584
798,-576
799,-574
800,-573
801,-575
802,-574
803,-581
804,-576
805,-580
806,-572
807,-585
808,-572
809,-572
810,-571
811,-570
812,-572
813,-576
814,-573
815,-574
816,-572
817,-568
818,-574
819,-570
820,-572
821,-569
822,-572
823,-575
824,-570
825,-571
826,-578
827,-576
828,-571
829,-570
830,-569
831,-576
832,-575
833,-575
834,-575
835,-578
836,-580
837,-595
838,-586
839,-572
840,-573
841,-570
842,-573
843,-570
844,-574
845,-574
846,-566
847,-579
848,-574
849,-571
850,-578
851,-582
852,-576
853,-626
854,-578
855,-588
856,-581
857,-596
858,-581
859,-582
860,-582
861,-574
862,-577
863,-582
864,-576
865,-579
866,-575
867,-580
868,-572
869,-581
870,-580
871,-580
872,-582
873,-582
874,-575
875,-580
876,-592
877,-579
878,-586
879,-581
880,-590
881,-578
882,-582
883,-605
884,-578
885,-599
886,-591
887,-574
888,-588
889,-586
890,-614
891,-576
892,-588
893,-588
894,-579
895,-580
896,-582
897,-578
898,-593
899,-579
900,-601
901,-582
902,-576
903,435
904,-571
905,-576
906,-580
907,-583
908,-581
909,-576
910,-582
911,-591
912,-574
913,-582
914,-582
915,-579
916,-586
917,-578
918,-579
919,-581
920,-643
921,-578
922,-578
923,-597
924,-605
925,-579
926,-589
927,-590
928,-585
929,-583
930,-584
931,-581
932,-582
933,-582
934,-582
935,-593
936,-623
937,-580
938,-618
939,-578
940,-577
941,-572
942,-575
943,-583
944,-579
945,-626
946,-576
947,-574
948,-582
949,-676
950,-586
951,-737
952,-576
953,-585
954,-575
955,-582
956,-576
957,-581
958,-593
959,-582
960,-584
961,-579
962,-582
963,-575
964,-582
965,-582
966,-590
967,-597
968,-576
969,-576
970,-576
971,-596
972,-580
973,-675
974,-576
975,-574
976,-580
977,-589
978,-579
979,-576
980,-572
981,-577
982,-582
983,-579
984,-574
985,-578
986,409
987,-569
988,-579
989,-577
990,-576
991,-579
992,-579
993,-615
994,-588
995,-579
996,-576
997,-660
998,-572
999,-579
1000,-579
