,reward
0,581.5012757376851
1,-744.3338076178343
2,-562.2784712800534
3,-1221.5816313717141
4,-969.9854249755653
5,-1022.159521719436
6,-1306.337409819203
7,-938.9266388898831
8,-1294.0287715001502
9,-1207.2986762672879
10,-1270.6131408679075
11,-800.6438503199314
12,-1238.097394698842
13,-801.7830522838171
14,-1094.920377913212
15,-1013.7235268857022
16,589.6732366958987
17,-686.7926091972372
18,-819.1604848804031
19,-1132.5627190861262
20,-1102.3461009095033
21,-1106.4986650654873
22,-1182.0962962991737
23,-1203.5484605949225
24,-1007.4894129064808
25,-914.4430132180188
26,-1098.8144345564192
27,-851.0501413008972
28,-990.0095495021945
29,-1203.2101886811606
30,-763.4300282961128
31,-919.901468451895
32,-1004.8976513129679
33,-885.9442878552172
34,-1012.6520119902711
35,-759.0233616726794
36,-825.8626940275868
37,-578.5980226044535
38,-1135.619360721025
39,-2183.349370794337
40,-1057.2622201566714
41,-1064.138020567249
42,-1579.367034031945
43,-1266.0000014494074
44,-1501.3446176963253
45,-940.6587321620729
46,-959.3972082759308
47,-1190.4050182798
48,-1535.516075450967
49,-616.0000178144642
50,-1504.351265874554
51,-531.6935764327567
52,-1370.8398821119035
53,-1047.0178166107091
54,-537.5054365462457
55,-909.6656200950445
56,-427.4118410608544
57,-1043.1779987805044
58,-871.404216364147
59,-1080.6747208196716
60,-741.6415888307973
61,-2212.19660836237
62,-1042.71285398587
63,-1025.6297385987466
64,-1048.5691350530915
65,-824.9206605422768
66,-726.5967345440829
67,-740.6026427265857
68,-1166.0602846326365
69,-984.8610765209406
70,-1027.703766301645
71,-1308.6424333182463
72,-821.7303151581864
73,-1010.609786982677
74,-752.7114141382294
75,-777.7767568180236
76,-807.3714961268147
77,-787.6897250152264
78,-778.7150552789902
79,-835.7782156460789
80,-618.7061131751143
81,-806.2409329498314
82,-1352.0213712458112
83,-1432.0829681662176
84,-1091.3881965427047
85,-1410.3716874889749
86,-808.9499413240065
87,-685.8155870360519
88,-1211.227889273067
89,-713.4879718284549
