,loss
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,27.747353553771973
17,23.499103571573894
18,19.59799561182658
19,18.149865284144322
20,18.6698910476815
21,23.90139474674147
22,20.958495246039497
23,20.7931484895594
24,21.013446807861328
25,21.083694246080185
26,21.25014281818885
27,20.93493314889761
28,20.71369783501876
29,20.681192699231598
30,21.069373575846353
31,21.756021772112167
32,22.595592617988586
33,22.25896021525065
34,22.6680890863592
35,23.94128865462083
36,22.96576362186008
37,22.88257648962007
38,21.3025812885978
39,21.329421724591935
40,21.92759682150448
41,22.0691889444987
42,21.73650296529134
43,21.594098739624023
44,19.178224563598633
45,22.09994543515719
46,22.950620705740793
47,22.581833083054114
48,23.753924233572825
49,22.85059471130371
50,23.628487867467545
51,23.501973114013673
52,24.008231827707
53,24.673819281838156
54,24.465536143681774
55,24.679130836769385
56,24.3965192877728
57,24.65923833847046
58,24.881005150931223
59,25.49074231928045
60,25.828311011904763
61,25.736122179432076
62,25.893235713243484
63,25.595431910620796
64,25.931929609510632
65,26.021606907700047
66,25.52343029446072
67,26.150151288067853
68,27.00172348022461
69,26.02507119429739
70,26.915849685668945
71,27.45704174041748
72,26.753112007589902
73,27.551435470581055
74,27.56706264562774
75,27.602736318433607
76,27.887810882256957
77,30.084640979766846
78,28.100754857063293
79,27.697005176544188
80,28.40878987312317
81,29.87002321879069
82,29.424258298652116
83,29.2379620163529
84,29.782391866048176
85,29.944235220188048
86,30.891419466804056
87,31.055994033813477
88,30.604094153956364
89,32.365903990609304
90,30.812988801435992
91,30.909719785054524
92,31.634678256127142
93,31.086753606796265
94,32.793129179212784
95,32.24639892578125
96,32.86211374070909
97,33.74877389272054
98,33.1232915242513
99,31.89063262939453
100,33.683329052395294
101,32.92321756150987
102,33.8578266620636
103,36.00996494293213
104,33.66864237578019
105,35.01273568471273
106,34.1211446006343
107,34.750017166137695
108,34.98740585327148
109,34.93942823410034
110,35.27433062708655
111,36.29696189032661
112,35.18936223983765
113,36.18337535858154
114,35.47026125590006
115,35.451310602823895
116,34.89703576461129
117,36.51737022399902
118,34.75015853433048
119,35.99025860348263
120,36.10604256643376
121,35.21377553695287
122,36.19718192872547
123,37.547621045793804
124,36.3537421948982
125,36.47333550453186
126,37.65802248786478
127,36.13251622517904
128,37.18613233798888
129,37.619325478871666
130,38.043284696691174
131,37.31072531806098
132,37.60636279457494
133,36.760937213897705
134,37.230644525266165
135,37.83415878875346
136,36.31481199998122
137,37.68204662717622
138,38.95125122070313
139,38.454970962122864
140,38.69113982064383
141,38.92928066253662
142,38.837941429831766
143,39.01719454715126
144,38.54184305667877
145,39.908388546534944
146,39.38301631382534
147,38.75964115284108
148,40.90840231853983
149,39.92560949779692
150,39.0919895733104
151,40.09489088792067
152,40.16683801015218
153,39.33108834659352
154,39.81919542948405
155,40.55676015218099
156,40.929733500761145
157,40.671600995744974
158,41.14861083030701
159,40.500509368048775
160,41.218580518450054
161,40.89632134688528
162,40.9395112991333
163,40.23720813932873
164,41.87122643960489
165,41.541711443946475
166,40.45761506453805
167,40.82062129974365
168,42.60254201022062
169,42.444273221290715
170,42.84314449016865
171,42.07433646065848
172,42.168727693103605
173,41.863510618818566
174,43.239560985565184
175,44.4205322265625
176,42.63350168863932
177,42.63617992401123
178,42.868095703125
179,43.53241827132854
180,42.608970115924706
181,41.97754351298014
182,43.67301232474191
183,44.33968837841137
184,44.14918118431454
185,43.51294390360514
186,43.34773818969727
187,44.63444298964281
188,43.88337444123768
189,44.43592102463181
190,45.05680856039358
191,43.89696426391602
192,43.39823223994328
193,45.13366392384405
194,45.30163544874925
195,44.14866428375244
196,44.81313557094998
197,45.939372123555934
198,45.49489226708045
199,45.07432556152344
200,45.45121263202868
201,45.99279022216797
202,45.48506991068522
203,45.88880644904243
204,45.65196702287004
205,45.38676801778502
206,46.56323318481445
207,45.07854334513346
208,44.7861472681949
209,44.445910135904946
210,46.550012800428604
211,46.41543488275437
212,46.12513196468353
213,46.60836776097616
214,46.19554443359375
215,46.97202316284179
216,47.21237285320576
217,46.685370853969026
218,46.96659300062392
219,47.18701607840402
220,46.270570314847504
221,47.23175762010657
222,48.13384114141049
223,47.08495623823525
224,46.881239573160805
225,47.446783035520525
226,47.50155243783627
227,47.578104770544805
228,46.731607818603514
229,47.89291284734553
230,46.566466883609166
231,46.70836575826009
232,48.13842010498047
233,48.01322844221785
234,47.81714963912964
235,47.16599407196045
236,47.73320388793945
237,48.44680986906353
238,50.06678975423177
239,49.15233681418679
240,48.52248001098633
241,48.04523810024919
242,49.36045856964894
243,49.528240044911705
244,47.693438635932075
245,49.14481830596924
246,49.39891725427964
247,48.658349890457956
248,49.16127226087782
249,48.43508529663086
250,49.11228485107422
251,49.11698106619028
252,49.87306914790984
253,48.6145460839365
254,48.86528396606445
255,49.298650932312015
256,50.28316161211799
257,48.66070665631975
258,48.924604680803085
259,47.84841505686442
260,48.32786541893368
261,49.17659459795271
262,49.83737055460612
263,48.948784782772975
264,49.63068313598633
265,50.95458256114613
266,51.01570816040039
267,50.57180959528143
268,48.136938054510885
269,49.896009826660155
270,50.3563117980957
271,48.96608984059301
272,50.56141789754232
273,49.46483459472656
274,50.484474999564036
275,49.40708933121119
276,49.68475585148252
277,50.788907051086426
278,50.658231258392334
279,49.058299529246796
280,50.2749511476547
281,49.285343933105466
282,50.74328635720646
283,51.22135410752407
284,51.13715557522244
285,53.14363098144531
286,49.783746253119574
287,50.20139849627459
288,51.42283139910017
289,51.966132705276074
290,51.0005123431866
291,50.7296005411351
292,50.47091134389242
293,51.76987764109736
294,51.09370840749433
295,51.70155507867987
296,50.93923352559408
297,51.56923571499911
298,49.85585327148438
299,51.76446613512541
300,51.852289472307476
301,50.48345357721502
302,52.81665522257487
303,51.46463899354677
304,51.06455866495768
305,51.349501037597655
306,52.26340659459432
307,52.85532980698805
308,52.97206426549841
309,51.92764936174665
310,51.60525530860538
311,52.743752012861535
312,51.00179021498736
313,52.33680373547124
314,52.19107360839844
315,53.11311564725988
316,52.108610013636145
317,52.873519488743376
318,52.57372830708822
319,50.787934409247505
320,52.950792731308354
321,52.53668333689372
322,51.83402433849516
323,53.498291583771405
324,51.812168468128554
325,51.52417333502518
326,52.3259463537307
327,51.03598303543894
328,51.610745471456774
329,52.13010042767192
330,54.09616256713867
331,53.74525475502014
332,51.874316453933716
333,53.79797962733677
334,53.01497897586307
335,54.3960599899292
336,55.26978163285689
337,51.95080924034119
338,52.246012687683105
339,52.8357152717058
340,52.238276832982116
341,53.47476138098765
342,53.29098061152867
343,53.35952690669468
344,53.42937197004046
345,52.789612252371654
346,53.18426994655443
347,53.6604735492027
348,52.915081871880425
349,53.5822502015129
