,reward
0,478.0
1,-616.0
2,-579.0
3,-577.0
4,-579.0
5,-579.0
6,-589.0
7,-578.0
8,-577.0
9,-579.0
10,-579.0
11,-577.0
12,-579.0
13,-579.0
14,-579.0
15,-579.0
16,-577.0
17,-577.0
18,-577.0
19,-577.0
20,-577.0
21,-577.0
22,-578.0
23,-577.0
24,-578.0
25,-579.0
26,-577.0
27,-578.0
28,-577.0
29,-577.0
30,-577.0
31,-577.0
32,-578.0
33,-577.0
34,-579.0
35,-579.0
36,-300.0
37,-663.0
38,-697.0
39,-594.0
40,-300.0
41,-300.0
42,-300.0
43,-689.0
44,-787.0
45,-300.0
46,-683.0
47,-300.0
48,-746.0
49,-300.0
50,-811.0
51,-685.0
52,-300.0
53,-300.0
54,-300.0
55,-300.0
56,-300.0
57,-847.0
58,-300.0
59,-300.0
60,-300.0
61,-594.0
62,-768.0
63,-300.0
64,-734.0
65,-569.0
66,-645.0
67,-798.0
68,-300.0
69,-300.0
70,-300.0
71,-300.0
72,-300.0
73,-632.0
74,-300.0
75,-812.0
76,-586.0
77,-300.0
78,-300.0
79,-300.0
80,-782.0
81,-300.0
82,-300.0
83,-786.0
84,-300.0
85,-727.0
86,-300.0
87,-300.0
88,-300.0
89,-300.0
90,-703.0
91,395.0
92,-612.0
93,-300.0
94,-818.0
95,-821.0
96,-825.0
97,-300.0
98,-300.0
99,-667.0
100,-706.0
101,-300.0
102,-580.0
103,-641.0
104,-300.0
105,-834.0
106,-300.0
107,-705.0
108,-300.0
109,-300.0
110,-300.0
111,-689.0
112,346.0
113,-591.0
114,-765.0
115,-703.0
116,-697.0
117,-749.0
118,-300.0
119,-300.0
120,-816.0
121,-300.0
122,-711.0
123,-300.0
124,-782.0
125,-300.0
126,-704.0
127,-300.0
128,-702.0
129,-615.0
130,-300.0
131,-300.0
132,-778.0
133,-785.0
134,-820.0
135,-739.0
136,-617.0
137,-300.0
138,-300.0
139,-655.0
140,-568.0
141,-774.0
142,-840.0
143,-802.0
144,-759.0
145,-808.0
146,-300.0
147,-694.0
148,-678.0
149,-604.0
150,-300.0
151,-300.0
152,-847.0
153,-300.0
154,-300.0
155,-793.0
156,-816.0
157,-670.0
158,-300.0
159,-300.0
160,-300.0
161,-300.0
162,-705.0
163,-783.0
164,-722.0
165,-730.0
166,-629.0
167,-300.0
168,-300.0
169,-829.0
170,-300.0
171,362.0
172,-670.0
173,-300.0
174,-300.0
175,-816.0
176,-300.0
177,-300.0
178,-300.0
179,-818.0
180,-736.0
181,-792.0
182,-300.0
183,-300.0
184,-771.0
185,-300.0
186,-300.0
187,-300.0
188,-703.0
189,-300.0
190,-715.0
191,-816.0
192,-671.0
193,-682.0
194,-300.0
195,-300.0
196,-300.0
197,-725.0
198,-827.0
199,-829.0
200,-656.0
201,-300.0
202,-300.0
203,-300.0
204,-300.0
205,-300.0
206,-836.0
207,-683.0
208,-300.0
209,-300.0
210,-625.0
211,-300.0
212,-300.0
213,-611.0
214,-666.0
215,-300.0
216,-300.0
217,-300.0
218,-729.0
219,-300.0
220,-300.0
221,207.0
222,-300.0
223,-300.0
224,273.0
225,-555.0
226,-822.0
227,-300.0
228,-300.0
229,-825.0
230,-300.0
231,-300.0
232,-300.0
233,-624.0
234,-300.0
235,-300.0
236,-761.0
237,-300.0
238,-300.0
239,-763.0
240,-300.0
241,-300.0
242,-801.0
243,-300.0
244,-300.0
245,-829.0
246,-300.0
247,-815.0
248,-760.0
249,-664.0
250,-300.0
251,-300.0
252,-840.0
253,-300.0
254,-300.0
255,-300.0
256,-300.0
257,-300.0
258,-300.0
259,-833.0
260,-846.0
261,-300.0
262,-300.0
263,-775.0
264,-300.0
265,317.0
266,-300.0
267,-300.0
268,-778.0
269,-640.0
270,-300.0
271,-568.0
272,-300.0
273,-741.0
274,-300.0
275,-300.0
276,-739.0
277,-300.0
278,-300.0
279,-811.0
280,-300.0
281,-729.0
282,-625.0
283,-720.0
284,-300.0
285,-300.0
286,-769.0
287,-841.0
288,-300.0
289,-682.0
290,-300.0
291,-300.0
292,-300.0
293,-300.0
294,-829.0
295,-300.0
296,-300.0
297,-300.0
298,-735.0
299,-726.0
300,-616.0
301,-726.0
302,-300.0
303,-300.0
304,-736.0
305,-654.0
306,-567.0
307,-825.0
308,-728.0
309,-593.0
310,-300.0
311,384.0
312,-563.0
313,-600.0
314,317.0
315,-570.0
316,406.0
317,-585.0
318,441.0
319,-570.0
320,-619.0
321,343.0
322,-581.0
323,-615.0
324,-688.0
325,-576.0
326,455.0
327,-580.0
328,-591.0
329,-591.0
330,-572.0
331,-572.0
332,-585.0
333,399.0
334,-602.0
335,-673.0
336,425.0
337,-565.0
338,-598.0
339,399.0
340,-563.0
341,-592.0
342,-599.0
343,450.0
344,-588.0
345,460.0
346,-578.0
347,443.0
348,-567.0
349,-576.0
350,426.0
351,-645.0
352,-609.0
353,395.0
354,-672.0
355,-582.0
356,452.0
357,431.0
358,-635.0
359,370.0
360,-670.0
361,468.0
362,-580.0
363,-571.0
364,-567.0
365,-640.0
366,-564.0
367,-603.0
368,435.0
369,-618.0
370,408.0
371,452.0
372,-557.0
373,-582.0
374,-577.0
375,441.0
376,-559.0
377,-583.0
378,-597.0
379,-569.0
380,-583.0
381,-570.0
382,460.0
383,-569.0
384,-576.0
385,-589.0
386,487.0
387,-589.0
388,429.0
389,-596.0
390,-593.0
391,471.0
392,-552.0
393,466.0
394,451.0
395,444.0
396,-612.0
397,482.0
398,-555.0
399,-591.0
400,487.0
401,-554.0
402,-583.0
403,-574.0
404,447.0
405,-589.0
406,-601.0
407,481.0
408,-553.0
409,-584.0
410,-570.0
411,-605.0
412,467.0
413,-599.0
414,-576.0
415,452.0
416,-633.0
417,-578.0
418,455.0
419,412.0
420,-572.0
421,-569.0
422,-570.0
423,452.0
424,406.0
425,-622.0
426,460.0
427,-602.0
428,-580.0
429,472.0
430,-603.0
431,457.0
432,431.0
433,-601.0
434,448.0
435,-605.0
436,-586.0
437,-573.0
438,-584.0
439,-570.0
440,-622.0
441,435.0
442,-602.0
443,-568.0
444,-582.0
445,479.0
446,451.0
447,-565.0
448,-571.0
449,447.0
450,473.0
451,-604.0
452,-572.0
453,-577.0
454,383.0
455,-576.0
456,441.0
457,-564.0
458,-573.0
459,-583.0
460,-587.0
461,446.0
462,430.0
463,-564.0
464,-590.0
465,-569.0
466,-573.0
467,-570.0
468,451.0
469,-610.0
470,-617.0
471,-590.0
472,-581.0
473,466.0
474,-627.0
475,463.0
476,-617.0
477,-576.0
478,-570.0
479,-598.0
480,451.0
481,-632.0
482,-603.0
483,-603.0
484,-574.0
485,412.0
486,-559.0
487,-575.0
488,459.0
489,-562.0
490,-629.0
491,-574.0
492,-586.0
493,442.0
494,-559.0
495,452.0
496,-583.0
497,-572.0
498,-582.0
499,478.0
500,-552.0
501,-567.0
502,460.0
503,-577.0
504,456.0
505,-579.0
506,-584.0
507,469.0
508,-567.0
509,-574.0
510,-576.0
511,-571.0
512,-568.0
513,-577.0
514,-572.0
515,476.0
516,-604.0
517,-584.0
