,reward
0,582.0
1,-582.0
2,-652.0
3,-554.0
4,-1510.0
5,-782.0
6,-454.00000000000006
7,-782.0
8,-438.00000000000006
9,-782.0
10,-782.0
11,-1502.0
12,-782.0
13,-456.0
14,-782.0
15,-438.00000000000006
16,-576.0
17,-2062.0
18,-1802.0
19,-908.0000000000002
20,-844.0000000000002
21,664.0
22,-642.0
23,-442.00000000000006
24,-742.0
25,-656.0
26,-912.0
27,-734.0
28,-694.0
29,-664.0
30,606.0
31,-588.0
32,-670.0
33,-464.0
34,-718.0
35,-750.0
36,-450.0
37,-904.0000000000007
38,-592.0
39,-510.0
40,-502.0
41,-478.0
42,-478.0
43,556.0
44,-550.0
45,-486.0
46,-544.0
47,-656.0
48,-466.0
49,-558.0
50,-512.0
51,-532.0
52,486.0
53,-528.0
54,-512.0000000000001
55,-390.0
56,-456.0
57,-474.0
58,-492.0
59,439.99999999999994
60,660.0
61,-358.0000000000002
62,667.9999999999999
63,-352.00000000000006
64,-830.0
65,-550.0
66,-396.00000000000006
67,-434.0
68,-422.00000000000006
69,-580.0
70,678.0
71,-412.00000000000006
72,-444.0
73,-420.00000000000006
74,714.0
75,897.9999999999999
76,762.0
77,-504.0
78,-450.0
79,690.0
80,746.0
81,-544.0
82,738.0
83,-250.00000000000006
84,-456.0
85,730.0
86,-562.0
87,522.0
88,742.0
89,-566.0
90,560.0
91,-590.0
92,520.0
93,-370.0
94,-436.0
95,793.9999999999998
96,-574.0
97,-474.0
98,600.0
99,-550.0
100,-434.0
101,712.0
102,658.0
103,-552.0
104,698.0
105,-420.0
106,773.9999999999999
107,930.0
108,-324.0
109,-476.0
110,756.0
111,-398.0
112,-446.0
113,-436.0
114,-550.0
115,-496.0
116,-536.0
117,-470.0
118,-444.0
119,654.0
120,-190.00000000000017
121,-496.0
122,740.0
123,-454.0
124,-562.0
125,-446.00000000000006
126,556.0
127,-566.0
128,664.0
129,-348.0000000000001
130,-458.0
131,-438.0
132,-450.0
133,-466.0
134,795.9999999999998
135,924.0
136,-580.0
137,618.0
138,-564.0
139,734.0
140,-376.00000000000006
141,-426.0
142,760.0
143,-396.0
144,682.0
145,-490.0
146,-408.0
147,568.0
148,-512.0
149,-470.0
150,720.0
151,-530.0
152,726.0
153,-552.0
154,562.0
155,-460.0
156,724.0
157,-442.0
158,-468.0
159,739.9999999999999
160,-410.0
161,-450.0
162,-462.0
163,-442.0
164,724.0
165,734.0
166,-560.0
167,-444.0
168,770.0
169,-222.00000000000006
170,514.0
171,-540.0
172,-468.0
173,710.0
174,752.0
175,-568.0
176,726.0
177,-536.0
178,-456.0
179,748.0
180,634.0
181,-580.0
182,736.0
183,-430.0
184,-488.0
185,735.9999999999999
186,-472.0
187,-430.0
188,716.0
189,-434.0
190,662.0
191,-526.0
192,-446.0
193,680.0
194,-537.9999999999999
195,-436.0
196,767.9999999999999
197,634.0
198,-420.0
199,-452.0
200,-442.0
201,740.0
202,-504.0
203,-446.0
204,728.0
205,644.0
206,-456.0
207,-452.0
208,586.0
209,-590.0
210,-466.0
211,-500.0
212,706.0
213,-448.0
214,-520.0
215,-448.0
216,-394.0
217,-428.0
218,-448.0
219,680.0
220,-592.0
221,-396.0
222,781.9999999999998
223,885.9999999999999
224,865.9999999999999
225,883.9999999999999
226,-354.00000000000006
227,692.0
228,-582.0
229,756.0
230,-694.0
231,686.0
232,-554.0
233,688.0
234,-516.0
235,-450.0
236,-460.0
237,686.0
238,-558.0
239,-450.00000000000006
240,560.0
241,692.0
242,-400.0
243,-456.0
244,-438.00000000000006
245,722.0
246,-516.0
247,-474.0
248,-470.0
249,781.9999999999999
250,-382.00000000000006
251,-404.0
252,714.0
253,811.9999999999998
254,-582.0
255,-470.0
256,-440.0
257,684.0
258,845.9999999999999
259,-492.0
260,-422.0
261,574.0
262,-566.0
263,-466.0
264,-430.00000000000006
265,-464.0
266,-458.0
267,-428.0
268,747.9999999999999
269,-522.0
270,-466.0
271,-404.0
272,-436.0
273,696.0
274,-552.0
275,668.0
276,-232.00000000000017
277,530.0
278,-388.00000000000006
279,764.0
280,882.0
281,-512.0
282,-454.0
283,710.0
284,710.0
285,-550.0
286,750.0
287,-438.0
288,-472.0
289,720.0
290,556.0
291,730.0
292,-494.0
293,708.0
294,881.9999999999998
295,887.9999999999999
296,857.9999999999999
297,-430.00000000000006
298,-452.0
299,-466.0
300,676.0
301,-576.0
302,702.0
303,-422.0
304,710.0
305,732.0
306,-430.0
307,-390.0
308,-478.0
309,682.0
310,-510.0
311,710.0
312,869.9999999999999
313,785.9999999999999
314,-550.0
315,-456.0
316,684.0
317,-508.0
318,-464.0
319,-450.0
320,732.0
321,-166.0000000000001
322,-458.0
323,714.0
324,-501.99999999999994
325,678.0
326,-264.00000000000006
327,-486.0
328,-452.0
329,564.0
330,-452.00000000000006
331,706.0
332,-436.0
333,768.0
334,666.0
335,-552.0
336,-438.0
337,-460.0
338,-454.0
339,714.0
340,-498.0
341,666.0
342,-406.00000000000006
343,-472.0
344,-424.00000000000006
345,-422.0
346,730.0
347,873.9999999999999
348,1023.9999999999999
349,849.9999999999999
350,753.9999999999999
351,793.9999999999998
352,-614.0
353,698.0
354,937.9999999999999
355,877.9999999999999
356,-590.0
357,-454.00000000000006
358,706.0
359,-558.0
360,-402.0
361,676.0
362,-558.0
363,-398.0
364,-434.0
365,-484.0
366,538.0
367,-566.0
368,554.0
369,-550.0
370,773.9999999999999
371,684.0
372,-206.00000000000006
373,726.0
374,-204.0000000000001
375,720.0
376,801.9999999999999
377,-516.0
378,-466.0
379,-464.0
380,680.0
381,-546.0
382,682.0
383,989.9999999999999
384,658.0
385,-464.0
386,676.0
387,-558.0
388,700.0
389,624.0
390,-566.0
391,-408.0
392,724.0
393,-528.0
394,714.0
395,714.0
396,-550.0
397,-400.0
398,-428.0
399,-448.0
400,-440.0
401,590.0
402,-622.0
403,-446.0
404,726.0
405,977.9999999999998
406,698.0
407,-330.0000000000001
408,556.0
409,-598.0
410,-394.0
411,538.0
412,-582.0
413,-430.0
414,614.0
415,-548.0
416,540.0
417,-408.0
418,628.0
419,-556.0
420,702.0
421,-506.0
422,544.0
423,-556.0
424,-598.0
425,-458.0
426,568.0
427,-582.0
428,767.9999999999999
429,770.0
430,-424.0
431,-442.0
432,-484.0
433,-476.0
434,-458.0
435,706.0
436,-84.00000000000023
437,594.0
438,-564.0
439,-450.0
440,568.0
441,-582.0
442,536.0
443,-482.0
444,706.0
445,-258.00000000000017
446,725.9999999999999
447,-379.99999999999994
448,759.9999999999999
449,-411.99999999999994
450,757.9999999999999
451,-416.00000000000006
452,-446.0
453,732.0
454,-536.0
455,-446.0
456,-442.00000000000006
457,-494.0
458,-448.0
459,-470.0
460,-424.0
461,791.9999999999998
462,-398.0
463,-442.0
464,-488.0
465,-442.00000000000006
466,-472.0
467,694.0
468,-384.0
469,-490.0
470,660.0
471,927.9999999999999
472,816.0
473,947.9999999999999
474,-550.0
475,720.0
476,688.0
477,-468.0
478,-468.0
479,720.0
480,-494.0
481,-420.0
482,-448.0
483,726.0
484,-546.0
485,660.0
486,-496.00000000000006
487,738.0
488,-422.0
489,-476.0
490,708.0
491,-368.0000000000001
492,770.0
493,-408.0
494,588.0
495,-558.0
496,592.0
497,-578.0
498,548.0
499,-566.0
500,-388.0
501,-436.0
502,728.0
503,-564.0
504,690.0
505,-252.0000000000001
506,-416.0
507,550.0
508,-576.0
509,596.0
510,-582.0
511,730.0
512,-524.0
513,-450.0
514,706.0
515,-474.0
516,-482.0
517,688.0
518,612.0
519,-556.0
520,546.0
521,-590.0
522,718.0
523,762.0
524,-500.0
525,-434.0
526,602.0
527,-416.0
528,562.0
529,-400.0
530,594.0
531,-440.0
532,-420.0
533,602.0
534,-588.0
535,-470.0
536,785.9999999999999
537,-340.0000000000001
538,-468.0
539,632.0
540,861.9999999999999
541,823.9999999999998
542,-606.0
543,706.0
544,-218.00000000000017
545,564.0
546,-508.0
547,739.9999999999999
548,823.9999999999998
549,913.9999999999999
550,-566.0
551,-456.0
552,542.0
553,-446.0
554,630.0
555,997.9999999999999
556,797.9999999999999
557,648.0
558,-296.0000000000001
559,544.0
560,-394.0
561,-448.0
562,592.0
563,-392.00000000000006
564,-468.0
565,-456.0
566,706.0
567,-542.0
568,722.0
569,-418.0
570,-476.0
571,582.0
572,771.9999999999999
573,-268.0000000000001
574,-456.0
575,568.0
576,-574.0
577,-458.0
578,692.0
579,-536.0
580,722.0
581,648.0
582,-554.0
583,712.0
584,-478.0000000000001
585,-614.0
586,762.0
587,847.9999999999998
588,-526.0
589,-442.0
590,760.0
591,642.0
592,-522.0
593,-358.0
594,720.0
595,-400.00000000000006
596,694.0
597,620.0
598,921.9999999999999
599,905.9999999999998
600,-494.0
601,-456.0
602,576.0
603,-550.0
604,-402.0
605,640.0
606,-386.0000000000001
607,693.9999999999999
608,777.9999999999998
609,-470.0
610,-518.0
611,-440.0
612,-438.0
613,664.0
614,-556.0
615,-470.0
616,552.0
617,-558.0
618,478.0
619,756.0
620,-542.0
621,710.0
622,813.9999999999999
623,-220.00000000000017
624,554.0
625,576.0
626,713.9999999999999
627,-574.0
628,-482.0
629,-450.0
630,-436.0
631,600.0
632,-622.0
633,737.9999999999999
634,560.0
635,-566.0
636,774.0
637,853.9999999999999
638,791.9999999999998
639,829.9999999999999
640,908.0
641,706.0
642,-644.0
643,754.0
644,887.9999999999998
645,-592.0
646,714.0
647,-522.0
648,-452.0
649,-476.0
650,-440.00000000000006
651,722.0
652,-562.0
653,704.0
654,779.9999999999999
655,767.9999999999999
656,-250.0000000000001
657,720.0
658,827.9999999999999
659,863.9999999999999
660,664.0
661,873.9999999999999
662,-426.0
663,-398.0
664,-520.0
665,-536.0
666,-490.0
667,-426.0
668,-432.0
669,-488.0
670,504.0
671,-380.0
672,660.0
673,767.9999999999999
674,-376.0
675,720.0
676,688.0
677,-554.0000000000001
678,-420.0
679,554.0
680,-614.0
681,-456.0
682,736.0
683,894.0
684,-312.00000000000006
685,-422.0
686,722.0
687,843.9999999999999
688,-460.0
689,-450.0
690,718.0
691,-552.0
692,-456.0
693,660.0
694,-496.0
695,-454.0
696,626.0
697,-646.0
698,700.0
699,-218.0000000000001
700,-460.0
701,767.9999999999999
702,-420.0
703,696.0
704,-598.0
705,702.0
706,-182.00000000000006
707,-440.0
708,682.0
709,690.0
710,-472.00000000000006
711,715.9999999999999
712,-498.0
713,783.9999999999999
714,-446.0
715,-440.0
716,749.9999999999999
717,738.0
718,979.9999999999999
719,813.9999999999998
720,-416.0
721,718.0
722,-370.00000000000006
723,-378.0
724,-466.0
725,-438.0
726,548.0
727,-572.0
728,739.9999999999999
729,-402.0
730,-482.0
731,-468.0
732,750.0
733,872.0
734,-364.0000000000001
735,534.0
736,-546.0
737,-502.0
738,680.0
739,855.9999999999999
740,-366.0000000000001
741,694.0
742,878.0
743,771.9999999999999
744,-566.0
745,744.0
746,-142.00000000000006
747,-416.0
748,-430.0
749,594.0
750,-550.0
751,-428.0
752,668.0
753,-266.00000000000017
754,-448.0
755,-374.0
756,730.0
757,783.9999999999999
758,-364.00000000000006
759,-454.00000000000006
760,634.0
761,777.9999999999999
762,-360.0000000000001
763,756.0
764,-378.0
765,764.0
766,-490.0
767,-462.0
768,718.0
769,-400.0
770,-442.0
771,-456.0
772,692.0
773,-254.00000000000006
774,702.0
775,-396.00000000000006
776,584.0
777,-574.0
