,loss
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,-40.74489428545978
24,765.9143299775965
25,3431.897040349787
26,1450.2821714756853
27,2501.608625903572
28,2029.8809748110564
29,2705.759524614383
30,2731.6150223581412
31,2699.3838933555826
32,2992.51891774533
33,6211.624991861979
34,6658.561147538442
35,6801.918640136719
36,7482.0180610988455
37,8195.122169596354
38,8632.88272633272
39,9240.900167643229
40,9731.432088216146
41,10141.784084514036
42,12053.98513671875
43,12335.160442708333
44,13073.032649316829
45,12893.478762936282
46,13465.60198818109
47,14327.609900210084
48,15438.807584635417
49,16544.589005903763
50,16912.868450520833
51,18177.31603841146
52,19061.126544563136
53,20027.236669921876
54,22203.303470052084
55,23440.396067301434
56,24730.4266796875
57,25979.482994791666
58,26684.94779349662
59,27354.92953125
60,27864.922252494747
61,28351.70223270939
62,30338.44848893461
63,31170.19057291667
64,32916.44833984375
65,33418.0396875
66,34448.59390439723
67,34978.492609471454
68,35607.61369680851
69,35828.03981370192
70,35715.60356404959
71,36845.21779296875
72,37483.982649739584
73,39129.14844401042
74,38920.21390625
75,36462.95479600695
76,36166.322504783166
77,32858.51892578125
78,33848.99812853876
79,34431.907141927084
80,34515.73026041667
81,35117.87142578125
82,35599.50541015625
83,35834.64158806163
84,35476.8912037037
85,36025.32373046875
86,36106.96979264568
87,36327.470023239715
88,36275.1848282724
89,36610.76993427579
90,37081.45015318628
91,37908.860462816454
92,37885.27068865741
93,37805.414880087206
94,37840.20402994792
95,37290.72993489583
96,37083.105807291664
97,37417.606282552086
98,36512.050589767154
99,35855.61330078125
100,36218.81929715704
101,36979.45791015625
102,36710.433668870195
103,35688.05166286892
104,36164.69385928199
105,35775.71994357639
106,35292.83269688901
107,34176.595794270834
108,33480.02758454623
109,33343.7178515625
110,31798.089921875
111,29740.8609765625
112,28000.035029468203
113,26947.72946940104
114,27161.40510973627
115,27266.32572265625
116,25656.80427734375
117,25307.85284153761
118,22183.440670220134
119,17886.561277885656
120,17067.92602138832
121,15777.184036162405
122,16067.281826392153
123,13365.444723015158
124,9912.914260609945
125,6750.045768270687
126,122.24049133300781
127,-1462.4009543026195
128,-4429.4897478438625
129,-6321.067376098633
130,-10095.84680716314
131,-13889.63088921441
132,-12069.159933810764
133,-20438.985268961587
134,-19937.867910211735
135,-24530.38464111328
136,-27832.775008646648
137,-24972.59359741211
138,-30573.122245974657
139,-29619.33319580078
140,-30958.45227262464
141,-29975.456110839845
142,-20890.030027262368
143,-20057.12363647461
144,-21630.7288482666
145,-20681.177019856772
146,-19796.77047693589
147,-22728.126880645752
148,-17733.386842139993
149,-17833.329587104992
150,-20125.03795328776
151,-20703.962808837892
152,-20569.602934947987
153,-23239.749233398437
154,-18444.498344799078
155,-20682.523646240235
156,-18935.171326090494
157,-11641.264115804037
158,-6710.047712557578
159,-10845.51275993796
160,-8776.285472380809
161,-8878.54595296224
162,-9461.379100319868
163,-13677.207168201676
164,-13154.461236144343
165,-13425.829461873373
166,-11987.319474962023
167,-11600.298795259916
168,-15237.232605183919
169,-15831.615768229167
170,-12177.316052246093
171,-14876.637583007812
172,-16533.382830230883
173,-14673.81687335114
174,-19178.91372233073
175,-22536.754528727753
176,-21114.865523551274
177,-22949.097096761066
178,-15276.434763997397
179,-10621.871459757487
180,-8491.851370877997
181,-12049.068282183478
182,-15593.440124308268
183,-15471.847793970353
184,-13968.944830360653
185,-18117.167148590088
186,-15254.770147705078
187,-17310.37375773112
188,-22411.315679022606
189,-18760.539435418097
190,-14552.68079381556
191,-9171.728833650288
192,-18279.484430760513
193,-18936.6641796875
194,-19616.267024077188
195,-18097.728311899547
196,-17740.163357340494
197,-20870.945898844402
198,-27421.78311319987
199,-28486.483527805492
200,-31824.088801375678
201,-41943.992384440106
202,-37217.87248046875
203,-40880.66691813151
204,-38775.78158950806
205,-40791.41185221354
206,-39377.54021443685
207,-46200.8005186671
208,-48200.381424153646
209,-54215.716640625
210,-61399.13520022994
211,-63808.01561422909
212,-67163.69416015624
213,-67121.48903889974
214,-71026.93388097426
215,-76774.53548502605
216,-81784.71966652792
217,-66910.53283691406
218,-75958.72458114105
219,-78468.48765136719
220,-75958.40353027344
221,-76239.28970102164
222,-77807.65750197237
223,-72173.40403889974
224,-71917.43773367745
225,-70065.05080566407
226,-69330.33950032551
227,-65490.97162597656
228,-58021.92502372956
229,-63523.38334789611
230,-67085.9943347168
231,-68941.65526285807
232,-62396.74745183692
233,-65430.39917941144
234,-65229.21269311798
235,-63026.472172387585
236,-64917.66050425155
237,-60735.72637274141
238,-60385.947743326826
239,-65703.17192150297
240,-63924.68916300456
241,-55666.11944745038
242,-60747.20119504163
243,-56875.81864501953
244,-61910.481281686334
245,-63413.02750488281
246,-67353.26672149122
247,-71693.23387044271
248,-74443.51433249081
249,-74182.2577233356
250,-67008.33285644531
251,-66251.51689823972
252,-66349.55737680288
253,-73310.73880592488
254,-57725.309557291665
255,-76912.71097199814
256,-60345.690625
257,-66386.58802001952
258,-65184.12517456055
259,-76013.13918318838
260,-78692.82292724609
261,-84120.18597330729
262,-83756.98547607422
263,-87658.72618652343
264,-90940.57796280867
265,-91873.26055501302
266,-110265.9275390625
267,-91771.11887069487
268,-100598.00264081883
269,-98435.4510123698
270,-109483.13479817708
271,-113055.06563964844
272,-110741.6070670573
273,-121886.05569118923
274,-126286.18433759973
275,-150640.81134114583
276,-156144.75537434896
277,-171635.16696428572
278,-166949.56463541667
279,-172514.15483072915
280,-187601.27427909046
281,-175943.7710755814
282,-195101.76577240566
283,-231759.52498697917
284,-234557.50334318692
285,-241349.66296875
286,-243476.208384901
287,-256377.806640625
288,-214746.39067708334
289,-211704.859765625
290,-223076.49846354168
291,-238890.17828125
292,-251330.757265625
293,-251813.08665707236
294,-287204.1757510859
295,-296187.73150580755
296,-290856.53630514705
297,-287112.45767161885
298,-300784.60401041666
299,-299206.9431152344
300,-314441.80953467154
301,-290952.18666666665
302,-307810.5626302083
303,-318760.3353186881
304,-317563.6890733507
305,-354716.31420736754
306,-371919.69817708334
307,-372870.39233732875
308,-335551.05041666667
309,-337009.8359053498
310,-345526.8759412651
311,-394934.128125
312,-396574.32194767444
313,-346188.1939276756
314,-305961.91015625
315,-339322.4744010417
316,-349925.2549977022
317,-313217.6095052083
318,-264439.26210286457
319,-288553.7453125
320,-253564.65625
321,-262503.7556423611
322,-261858.82669588414
323,-261884.6882421875
324,-254485.2824684633
325,-265520.8890806686
326,-293385.525390625
327,-288669.1313020833
328,-305600.111171875
329,-299070.850234375
330,-298269.44950045075
331,-295601.59394211066
332,-254373.0390625
