,loss
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,-1015.526230948312
25,2684.2983565475
26,3617.374671936035
27,5190.558251953125
28,4873.4521319071455
29,4472.327374714177
30,4564.671622721354
31,5123.962369351773
32,5735.03818359375
33,6504.06503530649
34,7188.776831054687
35,8857.717238092997
36,10259.317741842831
37,10764.43154296875
38,11645.823366477272
39,11606.076404389882
40,13275.589336688701
41,14283.715122767857
42,15445.259828629032
43,15971.065803079044
44,16666.0131640625
45,17803.412624782984
46,18368.128933376734
47,19424.060075431036
48,19598.38936941964
49,20342.119057513297
50,21003.685917295257
51,21521.454963235294
52,21757.32369586614
53,23121.28465661337
54,23625.170613149578
55,24230.782680457745
56,22821.3017578125
57,24097.74140625
58,23121.026227678572
59,24503.201416015625
60,25126.506103515625
61,25444.542578125
62,27755.97131631541
63,27582.554594494046
64,27902.069010416668
65,27730.591153231533
66,27368.645626183712
67,27712.391943359376
68,26779.90561810662
69,28608.256588152984
70,27425.188168174343
71,28423.778223401718
72,28379.079264322918
73,27431.29910714286
74,27772.496484375
75,28477.29296875
76,28400.292394301472
77,28822.554554332386
78,29038.518497242647
79,29303.305434283087
80,29141.40896267361
81,30106.306841681984
82,29209.938337053572
83,29925.925081623136
84,29382.125186011905
85,30116.662405303032
86,30235.951416015625
87,31545.485121783087
88,31702.783621651786
89,31109.3455078125
90,31102.944815942796
91,31081.202173477563
92,30989.749467329544
93,31364.027669270832
94,32697.762033770163
95,30666.505078125
96,31963.35581341912
97,32997.07109375
98,33398.37424616228
99,32090.681878810974
100,33697.1250685307
101,34927.96048177083
102,33987.527977881495
103,32622.58310546875
104,33647.82058189655
105,32624.0015625
106,35041.712382277394
107,34050.50305175781
108,36940.414177389706
109,33408.234375
110,35760.26005045573
111,35555.456619122706
112,33015.28229469477
113,34343.595818014706
114,34756.402822818396
115,34464.11116868623
116,33255.252061631945
117,35448.914963942305
118,36024.76145119863
119,34590.00837053572
120,34758.024939903844
121,35542.50161132812
122,34606.97469075521
123,36508.06796875
124,35037.031901041664
125,35303.52721354167
126,35659.65380859375
127,36457.661865234375
128,37565.80023619186
129,38025.48654513889
130,37124.2802734375
131,37744.028747558594
132,37542.39944773707
133,39844.60684121621
134,38432.275553385414
135,37217.890791223406
136,40080.8125
137,37121.14792351974
138,37878.29595588235
139,39394.84799592391
140,37208.540940504805
141,39346.04037710337
142,38798.454398777176
143,38904.006998697914
144,38874.24624399038
145,38671.2233573718
146,36799.27229256465
147,41105.40993923611
148,37147.500390625
149,40740.77309782609
150,39559.80890012255
151,35581.49763569079
152,41075.30197832661
153,40048.839518229164
154,39769.565557065216
155,38295.53528225807
156,40441.964192708336
157,39008.72705078125
158,39036.063654119316
159,38600.73693426724
160,39488.25967684659
161,40564.648271276594
162,38250.07559742647
163,39613.123417721516
164,37507.16294642857
165,40870.54672475962
166,41364.384306066175
167,40943.8395675505
168,39502.697021484375
169,43075.81571691176
170,42370.658088235294
171,39809.85791015625
172,41365.05308948864
173,39238.519708806816
174,38722.92520680147
175,41167.09366319444
176,41056.40554470486
177,51832.3125
178,39917.71193484042
179,40442.17576299649
180,38425.174879807695
181,41031.775669642855
182,44539.46651204427
183,40460.02713597075
184,40381.40234375
185,38174.46763392857
186,42124.05234375
187,39735.53983191288
188,43480.5712890625
189,41614.71741832386
190,46976.3078125
191,39587.76724330357
192,44701.925889756945
193,42176.379557291664
194,41489.99403782895
195,40763.79497767857
196,42321.345234375
197,38685.52351888021
198,41601.162000868055
199,41381.66580045021
200,40109.379411663926
201,38037.41220703125
202,37724.658854166664
203,39704.15764508928
204,42073.523140285324
205,39783.949884588066
206,40683.865369073275
207,41487.06625828599
208,37876.36929086538
209,39979.68344155844
210,35134.706380208336
211,36064.455357142855
212,37774.357865767044
213,42452.466552734375
214,35858.07919921875
215,36422.8208984375
216,36997.017145201215
217,34927.37958984375
218,35291.52220618207
219,32097.36376953125
220,34872.87448667869
221,36593.22963867187
222,33998.10337611607
223,37773.16880580357
224,40236.195591517855
225,34523.787184495195
226,33642.60287198154
227,36120.257584635416
228,37558.579380580355
229,35939.01171875
230,32887.692700195315
231,35865.10865542763
232,32655.800648082386
233,31973.243753685143
234,35889.548719618055
235,34338.523362379805
236,33788.219401041664
237,31700.369198069853
238,32764.19951171875
239,33080.81872274709
240,30608.04169170673
241,33963.2492203251
242,34521.75653200733
243,29932.668986002605
244,32579.761827256945
245,27882.687481219953
246,32858.90871263587
247,31209.316960515203
248,34895.41538085938
249,31105.25630392957
250,30885.184126930675
251,31391.766493055555
252,30038.570692274305
253,28956.05796185662
254,28153.177666242733
255,28491.054829101562
256,28706.94748263889
257,25291.758272392806
258,28482.913959703947
259,28581.47016143799
260,27132.50438414229
261,26739.634935461956
262,30504.6453125
263,31325.932570684523
264,30429.52945106908
265,32156.451311383928
266,32180.215198863636
267,27091.119921875
268,30458.925432477678
269,29333.121228899276
270,27284.409305695564
271,27345.263671875
272,27603.198825412328
273,26755.383791410008
274,23884.664935568104
275,22683.176199776786
276,26214.927001953125
277,30612.982445126487
278,21571.071115112303
279,30922.260232676632
280,21838.580932617188
281,25929.956260279607
282,28679.54392578125
283,24328.604999248797
284,21970.052899395978
285,27049.684200802363
286,23325.520100911457
287,22147.104031032984
288,23023.016298036317
289,18814.607358186142
290,15536.419001652645
291,19271.765530056422
292,24675.29601520041
293,18939.251746544473
294,23237.709724195076
295,19485.522666015626
296,19992.69353284334
297,21105.317274305555
298,20040.931034088135
299,18032.07994249132
300,17174.792887369793
301,23867.506729789402
302,21434.477392578126
303,19909.277389526367
304,17106.253479003906
305,20861.01198614211
306,18326.27191452753
307,17650.43252286044
308,16599.37762920673
309,10225.02885219029
310,16467.55818211755
311,20921.332918109314
312,16327.405662742822
313,11971.11636352539
314,15970.8216020633
315,12382.128592354911
316,17089.330463610197
317,14934.835871998857
318,12426.18057016226
319,17388.46
320,15273.696420522836
321,10801.354128815407
322,10140.850383060078
323,11746.901170813519
324,8091.576692708333
325,11423.910874310663
326,9212.323899213006
327,8241.564372104882
328,4083.1792638442093
329,8599.820043945312
330,5713.388514592098
331,6792.168903629954
332,6156.359899902343
333,7492.443830818966
334,5560.53988842254
335,2987.9809827302633
336,5241.275620117188
337,766.3569539388021
338,801.1395568847656
339,341.53004286024304
340,1573.6961627828664
341,-2076.4619140625
342,-833.501904296875
343,-130.8157595370678
344,1820.4642690022786
345,1002.0885009765625
346,-25518.53515625
347,-781.814697265625
348,2772.274669300426
349,-505.89661096643516
350,1035.007271560968
351,-5046.79350011489
352,-4280.170754825368
353,-5855.731434923538
