,reward
0,478.0
1,-551.0
2,-593.0
3,-575.0
4,-574.0
5,-574.0
6,-574.0
7,-574.0
8,-575.0
9,-574.0
10,-575.0
11,-575.0
12,-574.0
13,-643.0
14,-578.0
15,-574.0
16,-574.0
17,-573.0
18,-573.0
19,-573.0
20,-573.0
21,-574.0
22,-591.0
23,-574.0
24,-573.0
25,-573.0
26,-574.0
27,-574.0
28,-574.0
29,-574.0
30,-574.0
31,-574.0
32,-574.0
33,-574.0
34,-574.0
35,-573.0
36,-574.0
37,-300.0
38,-844.0
39,-733.0
40,-631.0
41,-300.0
42,-300.0
43,-300.0
44,-783.0
45,-300.0
46,-683.0
47,-300.0
48,-300.0
49,-740.0
50,-300.0
51,-787.0
52,-659.0
53,-300.0
54,-300.0
55,-671.0
56,-664.0
57,-300.0
58,-824.0
59,-764.0
60,-761.0
61,-665.0
62,-634.0
63,-300.0
64,-660.0
65,-621.0
66,-300.0
67,-300.0
68,-300.0
69,-656.0
70,-724.0
71,-300.0
72,-636.0
73,-300.0
74,-812.0
75,-825.0
76,-641.0
77,-674.0
78,-300.0
79,-300.0
80,-300.0
81,-300.0
82,421.0
83,-810.0
84,-620.0
85,-764.0
86,-847.0
87,-300.0
88,-300.0
89,-767.0
90,-838.0
91,-677.0
92,-795.0
93,-300.0
94,-300.0
95,-300.0
96,-300.0
97,-300.0
98,-728.0
99,-300.0
100,-300.0
101,-690.0
102,-300.0
103,-671.0
104,-819.0
105,-300.0
106,-724.0
107,-300.0
108,-786.0
109,-787.0
110,-300.0
111,-782.0
112,-566.0
113,-300.0
114,-300.0
115,-836.0
116,-826.0
117,-300.0
118,-738.0
119,-300.0
120,-583.0
121,-736.0
122,-300.0
123,-673.0
124,-691.0
125,-657.0
126,-300.0
127,-774.0
128,-300.0
129,-300.0
130,-300.0
131,-679.0
132,-300.0
133,-755.0
134,-671.0
135,-300.0
136,-739.0
137,-678.0
138,-625.0
139,-748.0
140,-300.0
141,-599.0
142,-300.0
143,-844.0
144,-604.0
145,-300.0
146,-300.0
147,-300.0
148,-300.0
149,-300.0
150,-816.0
151,-845.0
152,-740.0
153,-300.0
154,-300.0
155,-668.0
156,-300.0
157,-635.0
158,-695.0
159,-300.0
160,-300.0
161,-300.0
162,-629.0
163,-692.0
164,-743.0
165,-729.0
166,-300.0
167,-786.0
168,-300.0
169,-300.0
170,-300.0
171,-300.0
172,-300.0
173,-300.0
174,-635.0
175,-300.0
176,-677.0
177,-834.0
178,-748.0
179,-300.0
180,-764.0
181,-692.0
182,-838.0
183,-300.0
184,-827.0
185,-300.0
186,-623.0
187,-300.0
188,-725.0
189,-764.0
190,-300.0
191,-300.0
192,-300.0
193,-300.0
194,-300.0
195,-728.0
196,-814.0
197,-682.0
198,-779.0
199,-616.0
200,-300.0
201,-784.0
202,-738.0
203,-300.0
204,-847.0
205,-300.0
206,-834.0
207,-750.0
208,-300.0
209,-775.0
210,-807.0
211,-300.0
212,-300.0
213,-300.0
214,-570.0
215,-677.0
216,-300.0
217,-300.0
218,-300.0
219,-300.0
220,-300.0
221,-300.0
222,-758.0
223,-796.0
224,-300.0
225,-300.0
226,-300.0
227,-300.0
228,-840.0
229,-621.0
230,-650.0
231,-710.0
232,-656.0
233,-618.0
234,-650.0
235,-300.0
236,-660.0
237,-300.0
238,-718.0
239,-822.0
240,-817.0
241,-300.0
242,-685.0
243,-300.0
244,-300.0
245,-300.0
246,-300.0
247,-765.0
248,-300.0
249,-705.0
250,-666.0
251,-811.0
252,-730.0
253,-715.0
254,-685.0
255,-789.0
256,-783.0
257,-695.0
258,-300.0
259,-705.0
260,-596.0
261,-697.0
262,-300.0
263,-848.0
264,-300.0
265,-300.0
266,-300.0
267,-300.0
268,-300.0
269,-679.0
270,-697.0
271,252.0
272,-572.0
273,-834.0
274,-300.0
275,-781.0
276,-640.0
277,-300.0
278,-735.0
279,-669.0
280,-809.0
281,-725.0
282,-300.0
283,-629.0
284,-300.0
285,-300.0
286,-300.0
287,-708.0
288,-300.0
289,-300.0
290,-716.0
291,-787.0
292,-745.0
293,-630.0
294,-300.0
295,-300.0
