,reward
0,579.2358783917091
1,-955.2327918732869
2,-1137.9464545564501
3,-966.7983207560221
4,-1403.1863524547175
5,-704.7839844381404
6,-943.6864555440444
7,-749.4679822331806
8,-1097.3250465119854
9,-743.9209142281145
10,-982.8647175415285
11,-788.1218810495826
12,561.9997390698951
13,-878.8338089844142
14,-1366.0305580829965
15,-715.9280230084896
16,-975.4488299636785
17,-1427.3849959513734
18,-704.4329576085794
19,-1410.243835034568
20,-979.963756641189
21,-1172.0858411908728
22,-1036.60257387466
23,-1457.417864995313
24,-1395.6320091954472
25,-668.1655365849746
26,-994.5237401912372
27,-1148.6134725590916
28,-1260.1576161944636
29,-1334.0670918315395
30,-964.1381136795434
31,-1363.6129876931182
32,-943.369740691687
33,-1358.8261921036008
34,-1309.2461339188058
35,-952.4337486176939
36,-1791.1187205151828
37,-1135.7294245089754
38,-940.4650287576778
39,-702.4311930761369
40,-876.0169239384384
41,-1008.5777130688991
42,-822.9322045995514
43,-613.5216962890397
44,-776.0213720781778
45,-741.6649412502155
46,-800.9220954113871
47,-988.8588632050064
48,-703.6307440402627
49,-652.2575367585072
50,-797.0442520546749
51,-933.2457056355606
52,-679.4869430367515
53,-1621.2881025545248
54,-718.3925920162492
55,-1056.5332478969822
56,-1042.7810454837409
57,-714.6027396367917
58,-780.9250863336897
59,-687.8179606170086
60,-1026.9579220018916
61,-761.9257020243322
62,-1046.7108281150884
63,-1183.330563796291
64,-734.8105318388664
65,-947.137750204512
66,-821.9029249514479
67,-954.563756923856
68,-682.6878889182996
69,-790.8602739203131
70,-753.6428507551041
71,-478.6322780086151
72,-704.7500672435194
73,-1183.111485726156
74,727.8904006922082
75,-849.9684226891992
76,-723.8744656785827
77,-881.7349567304816
78,-768.8071404267173
79,-729.1661259153618
80,664.9972081025402
81,-1214.1258168908143
82,-523.2891372645404
83,-650.8690692682167
84,-920.6149051031738
85,-1110.856088556287
86,-887.1169519902003
87,-637.5293679119881
88,-1525.0710472334938
89,-1317.1074855306783
90,-1201.7675070168339
91,-628.4580241534053
92,-992.4406919536016
93,-822.2918599896066
94,581.986193933477
95,-1086.5746078031912
96,-908.7583421838794
97,-722.5903146747703
98,-634.944502457847
99,-627.0706644222532
100,-960.552103346724
101,-512.4289553146995
102,-1060.605563378912
103,-702.215603743703
104,-719.0437344864035
105,-762.1427377306404
106,-613.6842931827406
107,-684.3982610268561
108,-754.8041768063897
109,-735.9498194149215
110,-656.4789458978707
111,-821.9409349925843
112,-690.4353606116199
113,-572.6726454067486
114,-604.8189464575751
115,-619.3213212216264
116,-739.4667284463364
117,-945.9156615716495
118,-1166.8401234856274
119,628.5115711697736
120,-721.4253343926032
121,-1358.3002655523255
122,-825.3083434804767
123,-558.2725220994336
124,-869.8071369690551
125,-800.9216367365967
126,-986.5828885879953
127,-894.1287593462797
128,-1086.2007631266706
129,-1381.6319903194424
130,-801.9186419023456
131,-530.6131141908088
132,-710.9960141142625
133,-753.7770529270483
134,-460.74651407998607
135,-721.2194807276927
136,-552.4838180196174
137,-681.4299552081418
138,-909.260514964735
139,599.6834378505927
140,-999.3270433617415
141,-744.9667291614019
142,-567.4920492567157
143,-552.8442189809767
144,-978.9144770877599
145,-922.6335216328824
146,-764.9737788333335
147,263.97285963845115
148,-1148.18481334196
149,-888.0352452174426
150,-631.9153112062808
151,-944.5738778283031
152,-670.4060624284815
153,-631.4936856004664
154,-520.5144264038089
155,-873.7141918490154
156,-720.3195739269067
157,-852.6659800131472
158,595.7055304814394
159,-689.4383808297239
160,686.9031805700934
161,-659.8194544938882
162,-599.6216375751396
163,613.2947891030326
164,885.2769358639132
165,-1193.441398424085
166,-568.0217482057268
167,-1053.2992341818583
168,-585.7117673706634
169,-951.6064031825694
170,-660.264128644415
171,514.3364383072172
172,-574.8401736085968
173,-556.493941461149
174,619.843392861269
175,-924.0884184131492
176,-578.503254316222
177,-1255.3165926580784
178,-1044.069331367806
179,-805.7962019176839
180,-1087.7486284089346
181,-642.9637116134094
182,-751.0538339980293
183,-613.7682033197494
184,-1386.2081837000912
185,-965.9306770426499
186,-647.251099804061
187,-1033.7377932976492
188,787.9994854109354
189,-763.4093943679934
190,-1135.673630159347
191,-947.8820387208431
192,-646.7719915524358
193,59.37400727461221
194,-1174.3353331792778
195,-632.5399967380091
196,-836.4769172428837
197,-1124.4914653217418
198,501.1301335942069
199,-1077.2139205713815
200,713.6466511744267
201,712.2064200748208
202,-752.0590281735788
203,659.9530116384732
204,-1346.4723615168075
205,-838.5917192790182
206,405.02160615059995
207,684.3798012975075
208,-628.0775301119957
209,525.2381574457739
210,-583.3448763915947
211,-1124.8111596525948
212,-695.485564153492
213,489.08997193559827
214,-78.43414215452401
215,-995.123064374647
216,481.05627784513024
217,718.951246162527
218,671.9993869872644
219,-874.8543393734624
220,-767.8987714185662
221,668.0173849568882
222,451.06889930159025
223,-759.6064805166702
224,197.52423972858526
225,-550.0
226,270.8851710957874
227,-817.2243003904928
228,420.13646166113
229,-719.5090710545929
230,-959.7366807325665
231,709.9339041400308
232,-813.1596108082969
233,303.16462617101115
234,701.8774737057151
235,-622.9596527704596
236,-865.3991184385957
237,261.73143865880604
238,685.9999999999934
239,-803.8753158085722
240,536.1864454155617
241,-471.322834631085
242,-707.486534610448
243,151.75793409819482
244,-699.6645261061851
245,510.05048303250555
246,771.464720977194
247,161.1261003788485
248,623.9042555817684
249,-550.0
250,-1013.6434535738508
251,-755.0752673440786
252,586.7965411427978
253,-813.6193233270748
254,761.9985739288876
255,837.9927934661368
256,-819.0996648518953
257,-800.1259712718548
258,487.98187325064816
259,-664.4962170988467
260,400.0283220091062
261,-645.1978073926534
262,725.9998000129091
263,797.2354730991676
264,-961.287822854627
265,407.65447003375647
266,-550.0
267,644.7266935673812
268,1010.9297997857391
269,901.9999151743966
270,-662.45714936324
271,-1414.051393001835
272,-523.1211315211399
273,741.7103167767941
274,-644.7968784063655
275,511.4630933797786
276,-1015.9624510815052
277,-901.5197365999666
278,-1224.503775202701
279,366.1690800656453
280,-621.455347572242
281,799.9999349509335
282,627.9112959900799
283,-1233.3494525626047
284,749.9831577693258
285,417.4793876537619
286,855.8295764249519
287,-595.0465934438685
288,747.9907008945925
289,451.6367249758588
290,-550.0
291,745.8350394706642
292,464.1078329312136
293,-550.0
294,553.9916819788123
295,-815.7313527068441
296,581.995662455396
297,236.864892211552
298,617.9999999164979
299,703.997266996802
300,776.1727128922896
301,-873.5402863704387
302,528.7980225252857
303,-702.0190841336976
304,-1142.1593284797664
305,-711.3131158366116
306,-165.43196727112638
307,843.1252725243946
308,-769.3731817182532
309,563.9989514118935
310,-827.7681414313747
311,-1373.6781696064463
312,769.9953796535931
313,733.9999854889575
314,-876.896134316095
315,-798.5627127267535
316,420.197229180194
317,609.5025178059084
318,425.2976741305732
319,659.1586449224467
320,-595.4314941013747
321,105.97005764506997
322,663.3765790934858
323,-546.1469914460731
324,661.169128232766
325,-792.4224631902136
326,803.9995639781514
327,851.3855977163555
328,-784.6283302357085
329,588.6737205769421
330,591.806616407904
331,-1259.9256529694806
332,771.258026542374
333,791.92153864759
334,474.55935983304
335,634.2450382434545
336,-1419.2295080731435
337,-793.2453835140113
338,-996.7586595275825
339,577.159985167023
340,-1036.5214581572036
341,655.2618818996485
342,412.8774622273994
343,-800.2710617526666
344,-1382.430352910747
345,721.9927473605869
346,-829.991960498553
347,601.515863858178
348,659.6758293863141
349,599.9756886836411
350,-1068.7489655034638
351,490.64613984729505
352,-505.2116818806977
353,463.7426446900028
354,765.9249301638779
355,-1185.7427764375684
356,725.9949345313937
357,729.8403452810114
358,-1247.823498137646
359,731.9959761344368
360,803.9999993974404
361,-754.3370992293087
362,542.7490560910979
363,739.9999928327466
364,911.9672175763037
365,695.9919205177213
366,649.8387186805676
367,667.9952555868199
368,773.9892324419425
369,623.6880101853633
370,572.5494988616191
371,-717.5869751653825
372,429.05957205410715
373,767.172223327083
374,-664.1905661486528
375,737.802544265954
376,843.966321170491
377,589.702504987513
378,698.6099997175586
379,742.0954586976441
380,-1020.1025885685451
381,518.1165118471583
382,668.0000389756191
383,-800.072928621491
384,717.8430995043537
385,-749.6854747429884
386,587.9938671544261
387,-858.8370679209816
388,556.0455496847305
389,747.9999937664753
390,-1291.3459648800706
391,539.9999373625108
392,354.79944189054675
393,-1030.2113764156356
394,641.655886496981
395,659.7426383746189
396,191.55078908459922
397,-907.3350154872476
398,-754.6785360237171
399,-794.0772318366433
400,491.2816736248578
401,-736.8683610638827
402,775.8040557015615
403,717.8246183614643
404,703.5007239790793
405,820.0404825639166
406,-1380.5710506221442
407,-1328.639240161628
408,729.7089897907985
409,-584.6876839790042
410,755.261095045573
411,566.3031951607547
412,903.8856593181788
413,-785.3991874999837
414,-1233.6453443139314
415,750.6734265715211
416,622.262265043732
417,116.59179062637668
418,719.8137942403955
419,813.8017969710196
420,-884.0826636047269
421,-566.1881693022069
422,736.6855771292437
423,733.7305038306893
424,777.9047528874705
425,664.1563091330208
426,304.8386590242324
427,676.2138677231683
428,1042.7598585132282
429,-671.8425456581466
430,761.9981547575788
431,643.9999997009342
432,-997.5202471611142
433,-1269.8022518464836
434,501.67008090110346
435,439.1310561916864
436,-530.6105688893443
437,582.9601142438587
438,-1224.265698434296
439,-1322.9771913006246
440,745.9982694988851
441,-675.9457213524358
442,652.2673071109134
443,892.159465282791
444,416.198331827411
445,855.4922226692661
446,-1063.6017989063087
447,-1177.650965259819
448,-664.5944278632373
449,765.9981285450793
450,-505.4252468263488
451,681.9974534965602
452,821.9535845606047
453,-743.651467677395
454,-1118.1500349541118
455,252.41514561128116
456,-949.1821522563273
457,271.3688996578602
458,873.9116776150659
459,-1702.248745803767
460,785.9966388474782
461,911.9202070911151
462,-743.098280171512
463,583.2449613338121
464,-838.0149516110455
465,735.9992371961298
466,868.6487955801157
467,297.4944112155064
468,682.594806811871
469,617.5669097620064
470,250.60067877004616
471,-671.203767301769
472,190.4107546542757
473,700.6703505721498
474,-514.2914063166279
475,-520.9082051401031
476,180.26674042170413
477,831.3633426689828
478,-540.7090129704168
479,715.5315245266141
480,-1149.5391610656916
481,504.6281187654942
482,644.2362682997895
483,-1082.5039366387318
484,715.9998308360914
485,-1097.0069128178352
486,797.9832242609084
487,736.9843089653137
488,-653.8901346861469
489,-765.3000375254838
490,311.3779911149643
491,677.9985843937018
492,-599.9466260340041
493,24.316407262488724
494,-1221.0789416228786
495,-1615.9504419530867
496,683.4460219635687
497,-1004.7813475878377
498,-1281.0823637807127
499,731.9989944630152
500,827.99972942746
501,843.9999996266214
502,941.9220191741096
503,-1333.5164013279332
504,775.9995496915578
505,583.2389399081708
506,-1290.198968849178
507,761.9967150362198
508,651.8385594751887
509,647.9967586679203
510,613.9999998377021
511,-1234.16027532315
512,-1162.9567280044862
513,-1278.2767160759156
514,528.8830020660687
515,-775.6902314070295
516,735.9972214876149
517,746.3837673798237
518,629.6161242457597
519,-612.3736166745745
520,721.6148581933592
521,794.2727051108939
522,-1219.5626595446706
523,625.5278914184073
524,641.9999996948593
525,-1149.2970709573726
526,745.9983137115623
527,613.99193126018
528,-600.4509904908557
529,709.8246346584694
530,-1191.0412146306458
531,527.9950393926114
532,196.76037524008854
533,625.5844583318078
534,-660.1413847416301
535,431.8289532758982
536,623.2118810043243
537,-638.7259320575988
538,665.9953328152163
539,818.3272510114443
540,690.0338879899903
541,-1250.9664969595456
542,549.999300426673
543,643.8354774100587
544,-996.5882592469696
545,673.8342734794663
546,759.995985545025
547,-1854.3292000868223
548,729.838433656984
549,-575.6243568173215
550,497.31546723896
551,-1230.8977212735144
552,651.9999658982241
553,719.9977867995337
554,675.6224276823509
555,-1189.3425258208624
556,705.0039941072589
557,765.690323035119
558,735.9997630305962
559,-786.345944802207
560,465.4510567660129
561,-788.8028209969673
562,297.3231117755708
563,553.2601356813724
