,reward
0,479.0
1,-551.0
2,-593.0
3,-574.0
4,-573.0
5,-574.0
6,-574.0
7,-574.0
8,-574.0
9,-636.0
10,-574.0
11,-636.0
12,-574.0
13,-574.0
14,-574.0
15,-574.0
16,-636.0
17,-574.0
18,-574.0
19,-574.0
20,-585.0
21,-702.0
22,-685.0
23,-620.0
24,-300.0
25,-666.0
26,-629.0
27,-698.0
28,-779.0
29,-843.0
30,-300.0
31,-300.0
32,-742.0
33,-300.0
34,-300.0
35,-300.0
36,-300.0
37,-300.0
38,-300.0
39,-832.0
40,-588.0
41,-784.0
42,-842.0
43,-710.0
44,-300.0
45,-300.0
46,-813.0
47,-300.0
48,-300.0
49,-674.0
50,-739.0
51,-736.0
52,-712.0
53,-300.0
54,-300.0
55,-300.0
56,-300.0
57,-570.0
58,-300.0
59,-300.0
60,-300.0
61,-300.0
62,-300.0
63,-841.0
64,-300.0
65,-720.0
66,-787.0
67,-712.0
68,-738.0
69,-627.0
70,-571.0
71,-300.0
72,-300.0
73,-300.0
74,-300.0
75,-646.0
76,-300.0
77,-300.0
78,-817.0
79,-811.0
80,-690.0
81,-300.0
82,-300.0
83,-300.0
84,-300.0
85,-580.0
86,-300.0
87,-300.0
88,-663.0
89,-847.0
90,-569.0
91,-300.0
92,-826.0
93,-846.0
94,-772.0
95,-300.0
96,-300.0
97,-653.0
98,-620.0
99,-300.0
100,-627.0
101,-601.0
102,-649.0
103,-598.0
104,-821.0
105,-700.0
106,377.0
107,-562.0
108,-300.0
109,-843.0
110,-745.0
111,-300.0
112,-672.0
113,-300.0
114,-300.0
115,-793.0
116,-300.0
117,-755.0
118,-586.0
119,-300.0
120,-647.0
121,-642.0
122,-606.0
123,-564.0
124,-785.0
125,-599.0
126,-655.0
127,-300.0
128,-300.0
129,-612.0
130,-633.0
131,-734.0
132,-300.0
133,-300.0
134,-797.0
135,-300.0
136,-300.0
137,-849.0
138,-300.0
139,-300.0
140,-300.0
141,-300.0
142,-661.0
143,-811.0
144,-300.0
145,-300.0
146,-646.0
147,-683.0
148,-300.0
149,-639.0
150,-603.0
151,-777.0
152,-300.0
153,-705.0
154,-300.0
155,-629.0
156,-300.0
157,-827.0
158,-300.0
159,-600.0
160,-785.0
161,-769.0
162,-589.0
163,-300.0
164,-300.0
165,-300.0
166,-668.0
167,-810.0
168,-801.0
169,-300.0
170,-609.0
171,-773.0
172,-300.0
173,-300.0
174,-300.0
175,-300.0
176,-653.0
177,-300.0
178,-300.0
179,-598.0
180,-300.0
181,-570.0
182,-755.0
183,-794.0
184,-733.0
185,-300.0
186,-300.0
187,-791.0
188,-828.0
189,-300.0
190,-300.0
191,-692.0
192,-300.0
193,-828.0
194,-672.0
195,-300.0
196,-300.0
197,-606.0
198,-649.0
199,-300.0
200,-821.0
201,-750.0
202,-300.0
203,410.0
204,-550.0
205,-300.0
206,-644.0
207,-768.0
208,-771.0
209,-750.0
210,-789.0
211,-604.0
212,-300.0
213,-300.0
214,-300.0
215,-300.0
216,-300.0
217,-300.0
218,-634.0
219,-647.0
220,-740.0
221,-300.0
222,-682.0
223,-300.0
224,-751.0
225,-707.0
226,-821.0
227,-300.0
228,-613.0
229,-613.0
230,-839.0
231,-628.0
232,-639.0
233,-748.0
234,-300.0
235,-300.0
236,-646.0
237,-300.0
238,-300.0
239,416.0
240,-556.0
241,-817.0
242,-656.0
243,-623.0
244,-300.0
245,-300.0
246,-300.0
247,-794.0
248,-796.0
249,-818.0
250,-300.0
251,-652.0
252,-721.0
253,-619.0
254,-300.0
255,-300.0
256,-300.0
257,-300.0
258,-300.0
259,-300.0
