,reward
0,589.9792686797545
1,-571.1535418251343
2,-736.7018791900208
3,-616.1489411741557
4,-748.6920552752474
5,-747.3903633836903
6,-745.2571584345801
7,-1170.4611657597677
8,-550.9420551395386
9,-480.54841272215265
10,-745.9220405323914
11,571.9994680442824
12,-554.530359169815
13,-1169.2364715846634
14,-744.3268794916128
15,-452.7924059095772
16,-743.879149681516
17,-474.49531036580817
18,-744.4915384360645
19,-1168.65440670927
20,-743.9123326938659
21,-472.9827983316402
22,-1168.8530057241492
23,-836.9024749157335
24,-678.7602859422398
25,-880.3625375960755
26,-1041.560554300693
27,-950.0711577516482
28,-582.3182008190554
29,-748.2748962984822
30,-684.3012566566554
31,-650.6722905538287
32,-1158.187314685581
33,-594.0001118193536
34,-724.224220751004
35,-798.6968233648004
36,-950.259907098511
37,-536.0000001239276
38,-983.3448161903614
39,-516.0252734270133
40,-482.0000008217253
41,-1064.0795662389266
42,-436.73183628379945
43,-778.7680236328214
44,-997.5926453657692
45,-822.8020926481577
46,-816.7062160145864
47,-977.0690079300873
48,-424.1901116475431
49,-978.9108582324797
50,-416.0000356821334
51,-490.0005886722063
52,-584.9107134688596
53,-438.03850139919473
54,-454.00024869375676
55,-912.6223645862683
56,-416.0052689327789
57,-630.4190904960726
58,-875.538981773253
59,-514.000025762157
60,-614.0308340061583
61,-803.7686013208497
62,-1092.3487770244878
63,-484.010748935234
64,-522.0008451426547
65,-524.029002658433
66,-842.0491136807202
67,-693.5170909471781
68,501.9999727071973
69,-603.8367955749858
70,-602.382829639921
71,-476.1307312493981
72,-400.3437023836274
73,-484.0000761454286
74,-484.04749951130384
75,-950.7233398170815
76,-751.9705821580801
77,-460.0000388256618
78,-1136.96000341865
79,-520.0001071103071
80,-454.0591577356534
81,-418.0001000137738
82,-466.00004243223276
83,237.82911989640047
84,-549.1043630524608
85,-476.0049322039849
86,-1034.2836735264505
87,-764.1444078644597
88,-637.84483043195
89,-720.4170090955716
90,-1054.8267412110063
91,-907.1280012045813
