,loss
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,7189.321363358271
35,26319.758072916666
36,24948.91670735677
37,24083.119309895832
38,24940.299479166668
39,25091.235045572917
40,25518.079584053852
41,25590.05994140625
42,26109.602584635417
43,27424.659401041667
44,28797.820397135416
45,30354.509740149457
46,31430.201056985294
47,31859.585753435866
48,32164.579232283464
49,32184.816822916666
50,33248.4073828125
51,34570.565889246325
52,36101.69311197917
53,36797.588515625
54,38605.60139902258
55,39168.05033854167
56,42618.414765625
57,42891.51732610887
58,43185.61822265625
59,44231.733412590576
60,43997.444674479164
61,44418.29942147943
62,44550.294933230376
63,43312.09913635254
64,44169.56741365132
65,44137.28445353836
66,43873.05033203125
67,45515.4515625
68,43974.446517774166
69,44665.83167317708
70,44130.991614583334
71,44161.07860677083
72,43565.999596354166
73,43451.32759114583
74,43185.30934895833
75,43178.250052083335
76,37809.4880232901
77,30661.180462381115
78,28322.756623096957
79,27338.906968060663
80,27534.559204101562
81,27868.06453804348
82,28009.644593583776
83,26946.830332880436
84,28106.961951622598
85,27519.460688920455
86,29270.51596069336
87,28697.209435096152
88,28154.968794389206
89,26983.326900652984
90,27191.920090247844
91,26627.045953714623
92,23173.882000990317
93,23105.60786033163
94,22201.505619517542
95,23124.434920400945
96,21147.681884765625
97,23780.227824253318
98,22879.19323012408
99,21761.96234375
100,20209.840983072918
101,20006.222173996914
102,16888.46634148316
103,14034.447672526041
104,12352.857840401786
105,14265.885678498642
106,11561.622866716056
107,8802.884978649663
108,7715.372438254932
109,5696.150284681863
110,3876.489224341608
111,2295.8385548015217
112,1088.0668997628347
113,491.77015474759617
114,-963.9438836929646
115,-3367.1182947794596
116,-6472.2983087033645
117,-8658.594965524384
118,-10476.70204671224
119,-10532.541485126201
120,-11045.05114539195
121,-12000.455152294304
122,-13346.383779488358
123,-14936.737969882246
124,-15580.817864583334
125,-16727.21129869435
126,-18854.062077702703
127,-19287.336263020832
128,-18642.601888020832
129,-19539.49194089331
130,-21061.127102322047
131,-22285.408085078983
132,-23827.626638104837
133,-23754.327084748642
134,-24249.371812352594
135,-25701.179361979168
136,-24464.126519097223
137,-24919.736514136905
138,-26952.971051206685
139,-28024.810390625
140,-29397.716135817307
141,-30890.8000090843
142,-30916.873133042278
143,-32380.84292534722
144,-32343.8231714221
145,-35087.73028846154
146,-34519.137586805555
147,-35838.801630434784
148,-35796.803110881025
149,-37390.63018973215
150,-38032.82580336085
151,-37925.50135216346
152,-38152.38175455729
153,-39749.245190065296
154,-40360.81494140625
155,-40241.635336538464
156,-41965.613172743055
157,-42663.569886363635
158,-43928.54171080508
159,-45053.4502738865
160,-45843.968070652176
161,-47229.57147381757
162,-48491.590625
163,-49279.860924030174
164,-51302.762295081964
165,-51823.30491394927
166,-53328.01474808674
167,-52852.45110887097
168,-54784.68303571428
169,-54775.53245192308
170,-56316.01878720238
171,-57242.25099927326
172,-57510.74619140625
173,-57786.694035456734
174,-59781.361708603894
175,-62150.69272667253
176,-62732.86675347222
177,-61929.186967329544
178,-62856.23468338816
179,-63938.859509698275
180,-64202.58713942308
181,-64646.841796875
182,-64283.71337890625
183,-65915.05208333333
184,-67420.0302019817
185,-66732.96390086207
186,-67431.07970120614
187,-66876.35323660714
188,-68989.330078125
189,-69980.62954101563
190,-69478.15876116071
191,-70511.79296875
192,-73043.703125
193,-73327.36526537698
194,-73753.29575892857
195,-74551.01146673386
196,-74127.96848060345
197,-76785.765625
198,-75676.7662109375
199,-76300.07483552632
200,-77515.9912109375
201,-77849.55486111112
202,-78020.00890261628
203,-78302.91338900862
204,-79196.72090517242
205,-80284.54564732143
206,-82622.51432291667
207,-81468.015625
208,-81833.75985054347
209,-81388.71840277778
210,-83871.55819310897
211,-83685.99894831731
212,-84640.19497282608
213,-86308.38825757576
214,-87490.51953125
215,-85914.65170784884
216,-88297.916015625
217,-87054.42447916667
218,-87484.6673828125
219,-91027.22265625
220,-88644.42806603774
221,-90678.32632211539
222,-93494.08203125
223,-92571.65648674243
224,-91796.46253551137
225,-92874.76432291667
226,-93322.54459635417
227,-93811.7146484375
228,-93149.58984375
229,-94874.62979403409
230,-95850.89025297618
231,-93803.36588541667
232,-95506.99626358696
233,-96571.18606085527
234,-98906.43126662234
235,-99149.72239583333
236,-99587.81084280302
237,-98385.75572916666
238,-101075.90092329546
239,-101651.83877840909
240,-101366.0765625
241,-102117.54672181372
242,-103651.64390120968
243,-104665.57686491935
244,-105392.40569196429
245,-104454.76022376544
246,-105689.29910714286
247,-105777.28330592105
248,-108045.63210227272
249,-109012.85023584905
250,-111674.45598958334
251,-112403.802734375
252,-111683.63589638157
253,-113445.30133928571
254,-114194.59396701389
255,-114818.45353618421
256,-114532.72235576923
257,-113904.00238715278
258,-113240.56591796875
259,-114713.7814453125
260,-116365.2080792683
261,-117255.63229166667
262,-119689.94580078125
263,-118798.49896816038
264,-117963.48207720589
265,-118469.278125
266,-120937.33425632911
267,-121955.65680803571
268,-122042.8284375
269,-123769.1889565678
270,-124789.06651182432
271,-125906.62393465909
272,-126190.07438858696
273,-126820.6142578125
274,-125690.60535037878
275,-126865.64601934524
276,-126420.56328125
277,-127295.84957386364
278,-130723.40480324074
279,-131272.06197212837
280,-131377.20546875
281,-134163.57725694444
282,-132371.78443287036
283,-135516.0263671875
284,-135059.7232142857
285,-135033.54947916666
286,-137110.844921875
287,-137835.10297309028
288,-137495.11129981885
289,-139961.98384712837
290,-139432.88994565216
291,-140078.93481445312
292,-141410.55508814103
293,-144264.63926630435
294,-141546.0111607143
295,-142971.95475260416
296,-143099.296875
297,-143233.97512335525
298,-145719.80864876762
299,-144516.55952380953
300,-145139.2138221154
301,-146091.1322544643
302,-143395.43223110464
303,-146700.14232336957
304,-146482.9640625
305,-145281.08816964287
306,-148766.0100132042
307,-151885.09930555554
308,-151907.9828125
309,-151826.6714527027
310,-152544.19965277778
311,-153214.69891826922
312,-153600.72510593222
313,-153880.77805397726
314,-156585.51484375
315,-155944.06857638888
316,-158216.1544237013
317,-157932.7005739796
318,-157614.20265151514
319,-160535.03377525252
320,-160410.18880208334
321,-157520.45523648648
322,-162205.1600609756
323,-163075.71458333332
324,-162888.9734375
325,-162603.80180921053
326,-164141.50475543478
327,-167046.1114130435
328,-168056.43070652173
329,-167951.37881944445
330,-167813.79166666666
331,-168253.50664893616
332,-171297.08782327586
333,-172161.1937099359
334,-172814.74714176828
335,-174596.9575892857
336,-174888.71774193548
