,reward
0,478.0
1,-555.0
2,-577.0
3,-577.0
4,-577.0
5,-577.0
6,-577.0
7,-577.0
8,-577.0
9,-576.0
10,-577.0
11,-577.0
12,-577.0
13,-577.0
14,-636.0
15,-577.0
16,-577.0
17,-577.0
18,-577.0
19,-577.0
20,-577.0
21,-577.0
22,-577.0
23,473.0
24,-550.0
25,-577.0
26,-577.0
27,-577.0
28,-636.0
29,-300.0
30,-300.0
31,489.0
32,363.0
33,-605.0
34,-589.0
35,403.0
36,436.0
37,-680.0
38,-828.0
39,-568.0
40,355.0
41,-609.0
42,333.0
43,-556.0
44,-569.0
45,-582.0
46,462.0
47,-786.0
48,-300.0
49,-790.0
50,-594.0
51,250.0
52,-575.0
53,-672.0
54,454.0
55,-583.0
56,-656.0
57,351.0
58,-566.0
59,336.0
60,-646.0
61,367.0
62,-612.0
63,-570.0
64,-585.0
65,430.0
66,416.0
67,-554.0
68,439.0
69,-613.0
70,387.0
71,-596.0
72,422.0
73,418.0
74,-558.0
75,-576.0
76,-573.0
77,-573.0
78,-569.0
79,-570.0
80,-571.0
81,404.0
82,-550.0
83,-580.0
84,-594.0
85,-591.0
86,-569.0
87,-574.0
88,408.0
89,440.0
90,467.0
91,-598.0
92,369.0
93,-647.0
94,451.0
95,-625.0
96,483.0
97,-554.0
98,-572.0
99,470.0
100,-589.0
101,465.0
102,433.0
103,-567.0
104,-571.0
105,-571.0
106,457.0
107,469.0
108,442.0
109,-578.0
110,457.0
111,-576.0
112,459.0
113,-588.0
114,462.0
115,-600.0
116,-575.0
117,-566.0
118,449.0
119,-564.0
120,-575.0
121,-568.0
122,393.0
123,-604.0
124,-568.0
125,458.0
126,-610.0
127,458.0
128,-560.0
129,-579.0
130,-566.0
131,-577.0
132,-575.0
133,479.0
134,-552.0
135,-619.0
136,480.0
137,423.0
138,462.0
139,451.0
140,460.0
141,-584.0
142,-637.0
143,-568.0
144,456.0
145,-590.0
146,-575.0
147,474.0
148,437.0
149,461.0
150,-586.0
151,455.0
152,-595.0
153,-573.0
154,462.0
155,440.0
156,-563.0
157,-574.0
158,467.0
159,445.0
160,467.0
161,468.0
162,439.0
163,454.0
164,-584.0
165,483.0
166,-552.0
167,-575.0
168,460.0
169,428.0
170,466.0
171,-555.0
172,461.0
173,443.0
174,427.0
175,-618.0
176,-621.0
177,-587.0
178,443.0
179,-563.0
180,-622.0
181,455.0
182,-600.0
183,482.0
184,-552.0
185,455.0
186,-615.0
187,490.0
188,430.0
189,-562.0
190,-575.0
191,481.0
192,470.0
193,469.0
194,434.0
195,433.0
196,454.0
197,465.0
198,-569.0
199,454.0
200,-597.0
201,462.0
202,466.0
203,422.0
204,-569.0
205,469.0
206,430.0
207,430.0
208,450.0
209,457.0
210,465.0
211,408.0
212,466.0
213,440.0
214,-614.0
215,458.0
216,-590.0
217,487.0
218,435.0
219,-608.0
220,477.0
221,465.0
222,-563.0
223,457.0
224,454.0
225,469.0
226,446.0
227,439.0
228,-602.0
229,-572.0
230,-581.0
231,453.0
232,418.0
233,451.0
234,455.0
235,-583.0
236,-568.0
237,457.0
238,-612.0
239,457.0
240,-567.0
241,454.0
242,-581.0
243,462.0
244,-602.0
245,-577.0
246,-581.0
247,444.0
248,-562.0
249,455.0
250,-571.0
251,462.0
252,428.0
253,432.0
254,452.0
255,-574.0
256,-570.0
257,465.0
258,-604.0
259,-570.0
260,-573.0
261,-576.0
262,-573.0
263,464.0
264,415.0
265,443.0
266,458.0
267,436.0
268,-566.0
269,-573.0
270,453.0
271,-571.0
272,450.0
273,-617.0
274,443.0
275,-646.0
276,445.0
277,-566.0
278,462.0
279,442.0
280,427.0
281,464.0
282,-577.0
283,464.0
284,-573.0
285,463.0
286,451.0
287,441.0
288,-551.0
289,451.0
290,412.0
291,414.0
292,-573.0
293,459.0
294,-568.0
295,451.0
296,422.0
297,-572.0
298,459.0
299,-570.0
300,-575.0
301,458.0
302,-595.0
303,448.0
304,429.0
305,-575.0
306,-570.0
307,461.0
308,429.0
309,466.0
310,447.0
311,-573.0
312,448.0
313,454.0
314,451.0
315,409.0
316,422.0
317,427.0
318,-580.0
319,458.0
320,469.0
321,432.0
322,-581.0
323,457.0
324,-603.0
325,453.0
326,441.0
327,443.0
328,-585.0
329,480.0
330,-550.0
331,476.0
332,-565.0
