,reward
0,579.8192106237276
1,-1825.2394515127612
2,-1283.7045877609899
3,-1192.6001459852719
4,-987.7619232541233
5,-798.358591549128
6,-510.67806862253985
7,-1244.754686210384
8,-1038.9693097416123
9,-1336.5396543531083
10,579.6408115886722
11,-1448.4343690910396
12,-1473.9126122656771
13,-1493.5671301295943
14,-692.2754401452473
15,-1550.2999780441542
16,-440.0000023565783
17,-477.0903615679628
18,-462.00021348961377
19,-514.0004905906882
20,-422.000006270929
21,-528.0264312951805
22,-909.1268565117514
23,-528.0040728848328
24,-1477.9771546616844
25,-1340.872476233121
26,-596.4396129776873
27,-364.011473259457
28,-734.195911071551
29,-993.0435062157558
30,-529.5032233012689
31,-983.7579217843299
32,-416.00058466915215
33,-1260.7854009892576
34,-463.6216306028346
35,-1381.0557625045544
36,-405.40559626232437
37,-1771.9786460691544
38,-488.0000007962765
39,-498.9980909772601
40,-394.01946718891054
41,-1290.3216250684968
42,-436.0331013528074
43,-472.2172726007821
44,-828.7440177538242
45,-616.0038960884203
46,-436.00002766545487
47,-412.4338736954211
48,-500.00002857087696
49,405.999996223348
50,-689.8995899729459
51,-707.7625314607164
52,-494.04033754026705
53,-448.00003823986737
54,-803.6599128733708
55,-1018.3668057872851
56,-448.00000049722206
57,-508.0665185265378
58,-382.0019301094454
59,-410.0009309600686
60,-516.0000082936593
61,-1719.978440402136
62,-428.0000047296357
63,-528.0000000734692
64,-403.9138824416129
65,-326.0004607933136
66,17.128272626459136
67,-721.1289391272969
68,385.9991277839795
69,-1317.7262600269328
70,-514.0011714994206
71,-448.0000002603153
72,-768.5107953944005
73,-530.0000028405589
74,-456.0000011038168
75,-572.0001899264854
76,-416.00116186410685
77,-432.00422956673157
78,-1893.2511143217728
79,-590.053899374513
80,-514.346917272071
81,-330.00367077066613
82,-1430.9698711593655
83,-1096.7977481092362
84,-1127.0799798727621
85,-402.00438797442627
86,-520.0000825134119
87,-1213.525866311673
88,-478.00003692479993
89,-730.8217455426385
90,-645.7391087963547
91,-418.00000000863287
92,-372.8517718391815
93,-400.2383765199225
94,-438.0002648564528
95,-469.933639086314
96,-813.7667388062783
97,-1208.602162857213
98,-488.000267463946
99,-1269.398884058499
100,-479.85965824945197
101,-470.00000037957335
102,-446.0000096465812
103,-454.0000026875106
104,-794.091684678112
105,-472.00008861811887
106,-822.7948895405167
107,-1697.5857988141
108,-846.1544277336552
109,-1158.500687920473
110,-415.3597105541114
111,-416.06146947154485
112,-494.0993601579479
113,-602.5900205295272
114,-1193.0160346168743
115,-1147.4488812671452
116,-534.0048667183196
117,-520.2191813974051
118,-395.19236699612424
119,-514.0076413522572
120,-350.00000750171085
121,-556.4551026264314
122,-840.0147915602041
123,-952.5282933393478
124,-390.0000150037759
125,-844.3806394862781
126,-492.0179405570635
127,-478.0000004676285
128,-546.0000005490004
129,-490.00062420176386
130,-570.8684943294174
131,-652.6322018233973
132,-314.0000901566205
133,331.851019853343
134,-796.6198178807394
135,-1138.9981405328122
136,-350.0740952688905
137,-870.2386749405839
138,-482.00000986644073
139,-1594.014721292733
140,-442.0000000200854
141,-1131.633081632002
142,-1424.8452702522588
143,-444.00008740000794
144,-460.0001131441192
145,-522.0452236246956
146,-436.17436118748435
147,-514.0704206481375
148,-1106.6987222802086
149,-539.0817916896009
150,-599.7092629502064
151,-1365.6071672366397
152,-438.1009444802749
153,-514.0000234539286
154,-512.0086941121448
155,-838.3218895928342
156,-963.2313533891852
157,-891.7254244296716
158,-508.99411600050774
159,-691.4884063190468
160,-434.0374248969808
161,-931.2312951079117
162,-530.1174938733856
163,-408.1266875260441
164,-538.0043679149267
165,-464.00004940895116
166,-412.1893112188405
167,-1466.910659516932
168,-946.4417980278979
169,-486.01256350776663
170,-1083.5411743284176
171,-430.0000005373225
172,-1655.3908695975813
173,-1520.114654163523
174,-488.000136994418
175,-567.7816955797351
176,-1038.4770609636785
177,-822.3691098099445
178,-1759.092174712499
179,-406.0000092209047
180,-1112.0278803898673
181,-1477.58674076255
182,-599.3195428645074
